Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Álex Remiro-Real Sociedad;Hamari Traoré-Real Sociedad;Jon Martín-Real Sociedad;Aritz Elustondo-Real Sociedad;Aihen Muñoz-Real Sociedad;Beñat Turrientes-Real Sociedad;Takefusa Kubo-Real Sociedad;Pablo Marín-Real Sociedad;Luka Sučić-Real Sociedad;Sergio Gómez Martín-Real Sociedad;Mikel Oyarzabal-Real Sociedad;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Jon Aramburu-Real Sociedad;Martín Zubimendi-Real Sociedad;Ander Barrenetxea Muguruza-Real Sociedad;Igor Zubeldia-Real Sociedad;Javier López Carballo-Real Sociedad;Jon Ander Olasagasti-Real Sociedad;Nayef Aguerd-Real Sociedad;Orri Óskarsson-Real Sociedad;Brais Méndez-Real Sociedad;Sheraldo Becker-Real Sociedad;Unai Marrero-Real Sociedad;Arsen Zajarián-Real Sociedad;Jon Pacheco-Real Sociedad;Jon Balda-Real Sociedad;Álvaro Odriozola-Real Sociedad;Urko González de Zárate-Real Sociedad;Umar Sadiq-Real Sociedad;Jon Magunazelaia-Real Sociedad;Luken Beitia-Real Sociedad;Kieran Tierney-Real Sociedad;Mikel Merino-Real Sociedad;Javi Galán-Real Sociedad;Robin Le Normand-Real Sociedad;André Silva-Real Sociedad;Alberto Dadie-Real Sociedad;Momo Cho-Real Sociedad;Carlos Fernández Luna-Real Sociedad;Andoni Gorosabel-Real Sociedad;Diego Rico-Real Sociedad;Asier Illarramendi-Real Sociedad;Alexander Sørloth-Real Sociedad;David Silva-Real Sociedad
2025-04-20;Real Sociedad;1;7;1;46;37;Villarreal;1;4;4;20;4;5;0.42;0.58;381;0.83;12;12;1;4;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10;0.028999999999999998;0.08333333333333333;316;0.0379746835443038;752.3809523809524;1.0;9.523809523809524;-16;-0.15999999999999998;-6;-3;0;0.010498687664041995;0.5;0.21;2.0;1;1;2;0;1;0;1;0;0.5;0.5;0.005249343832020997;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Real Sociedad;1;3;4;46;40;R.C.D. Mallorca;3;1;15;7;4;3;0.66;0.34;520;0.84;11;12;3;1;0;0;8;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2;0.04857142857142858;0.2727272727272727;437;0.02517162471395881;662.1212121212121;0.5333333333333333;12.121212121212121;8;0.32;6;2;-1;0.028846153846153848;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Real Sociedad;1;7;1;46;50;U. D. Las Palmas;2;0;13;13;8;5;0.48;0.52;377;0.8;10;8;2;0;0;0;4;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;5;0.04;0.2;302;0.033112582781456956;629.1666666666667;0.3076923076923077;8.333333333333334;0;-0.040000000000000036;-1;2;2;0.034482758620689655;0.23076923076923078;0.16;1.3333333333333333;1;2;3;1;0;0;1;0;0.23076923076923078;0.375;0.007957559681697613;4.333333333333333;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Real Sociedad;19;7;3;46;12;Real Madrid;4;1;11;26;5;10;0.41;0.59;496;0.86;23;6;4;1;0;0;6;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;10;0.022692307692307692;0.17391304347826086;427;0.053864168618266976;1041.4634146341464;0.5454545454545454;14.634146341463415;-15;-0.18;-4;3;17;0.02217741935483871;0.36363636363636365;0.1025;1.5;1;3;4;0;1;0;1;0;0.36363636363636365;0.8;0.008064516129032258;2.75;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Real Sociedad;1;7;3;46;51;Valladolid;2;3;12;12;2;5;0.56;0.44;471;0.87;20;10;2;3;0;0;3;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;6;0.03666666666666667;0.1;410;0.04878048780487805;732.1428571428571;0.25;5.357142857142857;0;0.12000000000000005;-3;-1;10;0.025477707006369428;0.16666666666666666;0.28;1.5;1;1;2;1;0;0;0;1;0.16666666666666666;1.0;0.004246284501061571;6.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Real Sociedad;1;7;3;46;42;Rayo Vallecano;2;3;8;10;4;5;0.44;0.56;362;0.74;9;16;2;3;0;0;4;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;4;0.05600000000000001;0.2222222222222222;268;0.033582089552238806;609.0909090909091;0.5;9.090909090909092;-2;-0.12000000000000005;0;-1;-7;0.022099447513812154;0.25;0.22;2.0;1;1;2;0;1;0;1;0;0.25;0.5;0.0055248618784530384;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Real Sociedad;5;0;17;46;62;Manchester United;8;2;8;25;3;10;0.4;0.6;325;0.75;13;6;7;2;1;0;4;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;6;0.024;0.6153846153846154;244;0.05327868852459016;610.0;0.5;10.0;-17;-0.19999999999999996;-2;6;7;0.024615384615384615;0.125;0.4;4.0;1;0;1;0;0;1;1;0;0.125;0.3333333333333333;0.003076923076923077;8.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Real Sociedad;1;7;3;46;43;Sevilla;2;1;7;9;2;4;0.62;0.38;526;0.83;14;12;2;1;0;0;6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;3;0.042222222222222223;0.14285714285714285;437;0.032036613272311214;704.8387096774194;0.8571428571428571;9.67741935483871;-2;0.24;3;1;2;0.013307984790874524;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Real Sociedad;5;0;6;46;62;Manchester United;1;1;13;13;3;5;0.55;0.45;446;0.82;11;13;1;1;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2;0.03461538461538462;0.09090909090909091;366;0.030054644808743168;665.4545454545454;0.46153846153846156;10.909090909090908;0;0.10000000000000003;4;0;-2;0.02914798206278027;0.07692307692307693;0.55;6.0;0;1;1;0;1;0;0;1;0.07692307692307693;0.3333333333333333;0.002242152466367713;13.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Real Sociedad;1;7;7;46;10;Barcelona;1;0;0;33;0;10;0.23;0.77;228;0.71;6;15;0;0;1;0;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;12;0.023333333333333334;0.16666666666666666;162;0.037037037037037035;704.3478260869565;0.0;0.0;-33;-0.54;-12;1;-9;0.0;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
