Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Yehvann Diouf-Reims;Aurélio Buta-Reims;Joseph Okumu-Reims;Mory Gbane-Reims;Cédric Kipré-Reims;Sergio Akieme Rodríguez-Reims;Junya Ito-Reims;Valentin Atangana-Reims;Amadou Koné-Reims;Keito Nakamura-Reims;Jordan Siebatcheu-Reims;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Hiroki Sekine-Reims;Nhoa Sangui-Reims;Malcolm Jeng-Reims;Hafiz Umar Ibrahim-Reims;Mamadou Diakhon-Reims;John Joe Patrick Finn-Reims;Teddy Teuma-Reims;Oumar Diakité-Reims;Alexandre Olliero-Reims;Marshall Munetsi-Reims;Amine Salama-Reims;Thibault De Smet-Reims;Emmanuel Agbadou-Reims;Gabriel Moscardo-Reims;Niama Pape Sissoko-Reims;Yaya Fofana-Reims;Abdoul Koné-Reims;Yunis Abdelhamid-Reims;Benjamin Stambouli-Reims;Thérence Koudou-Reims;Amir Richardson-Reims;Reda Khadra-Reims;Thomas Foket-Reims;Mohamed Daramy-Reims;Josh Wilson-Esbrand-Reims;Azor Matusiwa-Reims;Maxime Busi-Reims;Ibrahim Diakité-Reims;Check Keita-Reims;Jens Cajuste-Reims;Alexis Flips-Reims;Folarin Balogun-Reims;Dion Lopy-Reims;Kaj Sierhuis-Reims;Kamory Doumbia-Reims;Mitchell van Bergen-Reims;Arbër Zeneli-Reims;Myziane Maolida-Reims;Andreaw Gravillon-Reims;Rafik Guitane-Reims;Bradley Locko-Reims;Noah Holm-Reims;Patrick Pentz-Reims
2025-04-27;Reims;2;9;9;766;775;Montpellier;3;3;8;12;3;2;0.46;0.54;450;0.85;13;17;3;3;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.045000000000000005;0.23076923076923078;382;0.034031413612565446;830.4347826086956;0.625;10.869565217391305;-4;-0.08000000000000002;0;0;-4;0.017777777777777778;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Reims;2;9;17;766;772;Toulouse;1;1;8;18;2;6;0.53;0.47;506;0.87;11;12;1;0;0;1;0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.02611111111111111;0.09090909090909091;440;0.025;830.188679245283;0.0;0.0;-10;0.06000000000000005;-9;0;-1;0.015810276679841896;0.125;0.53;0.0;1;0;1;1;0;0;0;1;0.125;0.5;0.001976284584980237;8.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-11;Reims;2;9;6;766;765;Lens;0;1;10;37;2;14;0.29;0.71;280;0.72;7;9;0;1;0;0;2;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.019189189189189187;0.0;202;0.034653465346534656;696.551724137931;0.2;6.8965517241379315;-27;-0.42;-7;-1;-2;0.03571428571428571;0.2;0.145;1.0;1;1;2;1;0;0;1;0;0.2;1.0;0.007142857142857143;5.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Reims;2;9;6;766;767;Racing de Estrasburgo;3;3;14;13;7;4;0.48;0.52;421;0.83;11;9;2;2;1;1;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;7;0.04;0.2727272727272727;349;0.03151862464183381;727.0833333333334;0.2857142857142857;8.333333333333334;1;-0.040000000000000036;-3;0;2;0.0332541567695962;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Reims;13;3;0;766;-1;Association Sportive de Cannes Football;1;2;11;17;5;4;0.38;0.62;315;0.66;11;13;1;2;0;0;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;10;0.036470588235294116;0.09090909090909091;208;0.052884615384615384;547.3684210526316;0.09090909090909091;2.6315789473684212;-6;-0.24;-9;-1;-2;0.03492063492063492;0.18181818181818182;0.19;0.5;1;1;2;1;0;0;1;0;0.18181818181818182;0.4;0.006349206349206349;5.5;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Reims;2;9;17;766;764;Marsella;0;0;7;20;5;8;0.19;0.81;195;0.57;6;9;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;12;0.0405;0.0;111;0.05405405405405406;584.2105263157895;0.0;0.0;-13;-0.6200000000000001;-12;0;-3;0.035897435897435895;0.42857142857142855;0.06333333333333334;0.0;1;2;3;1;0;0;0;1;0.42857142857142855;0.6;0.015384615384615385;2.3333333333333335;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Reims;2;5;0;766;5;Stade Brestois;3;2;12;11;2;0;0.28;0.72;256;0.72;13;9;3;1;0;1;4;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;4;0.06545454545454545;0.23076923076923078;184;0.07065217391304347;657.1428571428571;0.3333333333333333;14.285714285714285;1;-0.43999999999999995;0;1;4;0.046875;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Reims;2;3;9;766;770;Auxerre;1;1;17;13;4;9;0.57;0.43;431;0.83;9;13;1;1;0;0;6;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;12;0.03307692307692307;0.1111111111111111;358;0.025139664804469275;628.0701754385965;0.35294117647058826;10.526315789473685;4;0.13999999999999996;-6;0;-4;0.03944315545243619;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-28;Reims;2;4;3;766;4;Mónaco;0;0;9;23;5;9;0.43;0.57;443;0.82;7;7;0;0;0;0;2;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;7;0.024782608695652172;0.0;363;0.01928374655647383;844.1860465116279;0.2222222222222222;4.651162790697675;-14;-0.13999999999999996;-5;0;0;0.020316027088036117;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Reims;13;1;3;766;771;Angers;5;4;10;17;3;4;0.52;0.48;506;0.83;12;19;5;4;0;0;1;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;5;0.028235294117647056;0.4166666666666667;420;0.02857142857142857;807.6923076923076;0.1;1.923076923076923;-7;0.040000000000000036;-4;1;-7;0.019762845849802372;0.1;0.52;1.0;0;1;1;0;1;0;1;0;0.1;0.3333333333333333;0.001976284584980237;10.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
