Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
2025-12-29;Roma;4;17;3;74;25;Milan;12;5;55;426;88;8;4;0;5;Mile Svilar;Portero;Gianluca Mancini;Defensor;Mats Hummels;Defensor;Evan N’Dicka;Defensor;Alexis Saelemaekers;Mediocampista;Manu Koné;Mediocampista;Leandro Paredes;Mediocampista;José Ángel Esmorís Tasende;Mediocampista;Paulo Dybala;Mediocampista;Niccolò Pisilli;Mediocampista;Artem Dovbyk;Delantero;1;0;1;0;1;0;1;0
2025-03-16;Roma;4;17;23;74;79;Cagliari;13;1;61;636;86;4;0;0;8;Mile Svilar;Portero;Devyne Rensch;Defensor;Gianluca Mancini;Defensor;Evan N’Dicka;Defensor;Alexis Saelemaekers;Mediocampista;Manu Koné;Mediocampista;Leandro Paredes;Mediocampista;José Ángel Esmorís Tasende;Mediocampista;Matías Soulé;Mediocampista;Tommaso Baldanzi;Mediocampista;Artem Dovbyk;Delantero;0;1;1;1;0;0;0;1
2025-03-13;Roma;5;17;3;74;38;Athletic;5;2;30;264;68;4;4;1;2;Mile Svilar;Portero;Gianluca Mancini;Defensor;Mats Hummels;Defensor;Evan N’Dicka;Defensor;Devyne Rensch;Mediocampista;Bryan Cristante;Mediocampista;Leandro Paredes;Mediocampista;José Ángel Esmorís Tasende;Mediocampista;Paulo Dybala;Mediocampista;Tommaso Baldanzi;Mediocampista;Artem Dovbyk;Delantero;0;1;1;0;0;1;1;0
2025-03-09;Roma;4;17;17;74;75;Empoli;15;6;64;643;88;11;0;0;9;Mile Svilar;Portero;Victor Nelsson;Defensor;Mats Hummels;Defensor;Evan N’Dicka;Defensor;Saud Abdulhamid;Mediocampista;Leandro Paredes;Mediocampista;Manu Koné;Mediocampista;Anass Salah-Eddine;Mediocampista;Matías Soulé;Mediocampista;Lorenzo Pellegrini;Mediocampista;Eldor Shomurodov;Delantero;1;0;1;1;0;0;1;0
2025-03-06;Roma;5;17;3;74;38;Athletic;12;5;59;554;84;12;1;0;1;Mile Svilar;Portero;Zeki Çelik;Defensor;Gianluca Mancini;Defensor;Evan N’Dicka;Defensor;Devyne Rensch;Mediocampista;Niccolò Pisilli;Mediocampista;Bryan Cristante;Mediocampista;José Ángel Esmorís Tasende;Mediocampista;Paulo Dybala;Mediocampista;Tommaso Baldanzi;Mediocampista;Artem Dovbyk;Delantero;0;2;2;1;0;0;0;1
2025-03-02;Roma;4;17;0;74;78;Como;11;4;47;512;86;6;2;0;1;Mile Svilar;Portero;Zeki Çelik;Defensor;Gianluca Mancini;Defensor;Evan N’Dicka;Defensor;Matías Soulé;Mediocampista;Manu Koné;Mediocampista;Leandro Paredes;Mediocampista;José Ángel Esmorís Tasende;Mediocampista;Paulo Dybala;Mediocampista;Lorenzo Pellegrini;Mediocampista;Eldor Shomurodov;Delantero;0;2;2;1;0;0;0;1
2025-02-24;Roma;4;17;17;74;80;Monza;23;6;65;723;91;6;0;0;6;Mile Svilar;Portero;Gianluca Mancini;Defensor;Mats Hummels;Defensor;Evan N’Dicka;Defensor;Alexis Saelemaekers;Mediocampista;Bryan Cristante;Mediocampista;Niccolò Pisilli;Mediocampista;José Ángel Esmorís Tasende;Mediocampista;Tommaso Baldanzi;Mediocampista;Matías Soulé;Mediocampista;Eldor Shomurodov;Delantero;2;2;4;1;0;0;0;1
2025-02-20;Roma;5;17;6;74;95;Porto;19;6;56;515;89;12;2;0;5;Mile Svilar;Portero;Zeki Çelik;Defensor;Gianluca Mancini;Defensor;Evan N’Dicka;Defensor;Stephan El Shaarawy;Mediocampista;Manu Koné;Mediocampista;Leandro Paredes;Mediocampista;José Ángel Esmorís Tasende;Mediocampista;Paulo Dybala;Mediocampista;Lorenzo Pellegrini;Mediocampista;Eldor Shomurodov;Delantero;2;1;3;1;0;0;0;1
2025-02-16;Roma;4;2;0;74;76;Parma;16;4;72;713;92;5;3;0;10;Mile Svilar;Portero;Zeki Çelik;Defensor;Gianluca Mancini;Defensor;Evan N’Dicka;Defensor;Alexis Saelemaekers;Mediocampista;Lucas Gourna-Douath;Mediocampista;Leandro Paredes;Mediocampista;Manu Koné;Mediocampista;Anass Salah-Eddine;Mediocampista;Matías Soulé;Delantero;Eldor Shomurodov;Delantero;1;0;1;1;0;0;1;0
2025-02-13;Roma;5;2;17;74;95;Porto;15;4;42;384;82;16;6;1;6;Mile Svilar;Portero;Zeki Çelik;Defensor;Gianluca Mancini;Defensor;Evan N’Dicka;Defensor;Alexis Saelemaekers;Mediocampista;Manu Koné;Mediocampista;Bryan Cristante;Mediocampista;Lorenzo Pellegrini;Mediocampista;José Ángel Esmorís Tasende;Mediocampista;Paulo Dybala;Delantero;Artem Dovbyk;Delantero;1;0;1;0;1;0;1;0
