Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Gautier Larsonneur-Saint-Étienne;Dennis Appiah-Saint-Étienne;Maxime Bernauer-Saint-Étienne;Mickaël Nade-Saint-Étienne;Léo Pétrot-Saint-Étienne;Benjamin Bouchouari-Saint-Étienne;Pierre Ekwah-Saint-Étienne;Aïmen Moueffek-Saint-Étienne;Irvin Cardona-Saint-Étienne;Lucas Stassin-Saint-Étienne;Zuriko Davitashvili-Saint-Étienne;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Yvann Maçon-Saint-Étienne;Florian Tardieu-Saint-Étienne;Dylan Batubinsika-Saint-Étienne;Djylian N'Guessan-Saint-Étienne;Pierre Cornud-Saint-Étienne;Augustine Boakye-Saint-Étienne;Louis Mouton-Saint-Étienne;Mathis Amougou-Saint-Étienne;Lamine Fomba-Saint-Étienne;Mathieu Cafaro-Saint-Étienne;Brice Maubleu-Saint-Étienne;Kévin Pedro-Saint-Étienne;Yunis Abdelhamid-Saint-Étienne;Ibrahim Sissoko-Saint-Étienne;Ben Old-Saint-Étienne;Ayman Aiki-Saint-Étienne;Marwann Nzuzi-Saint-Étienne;Beres Owusu-Saint-Étienne;Dylan Chambost-Saint-Étienne;Etienne Green-Saint-Étienne;Anthony Briançon-Saint-Étienne;Nathanaël Mbuku-Saint-Étienne;Thomas Monconduit-Saint-Étienne;Ibrahima Wadji-Saint-Étienne;Mahmoud Bentayg-Saint-Étienne;Maxence Rivera-Saint-Étienne;Gaëtan Charbonnier-Saint-Étienne;Stéphane Diarra-Saint-Étienne;Victor Lobry-Saint-Étienne;Niels Nkounkou-Saint-Étienne;Jean-Philippe Krasso-Saint-Étienne;Saïdou Sow-Saint-Étienne;Kader Bamba-Saint-Étienne;Jimmy Giraudon-Saint-Étienne;Boubacar Fall-Saint-Étienne;Abdoulaye Bakayoko-Saint-Étienne;Matthieu Dreyer-Saint-Étienne;Anas Namri-Saint-Étienne;Lenny Pintor-Saint-Étienne;Sergi Palencia-Saint-Étienne;Gabriel Silva-Saint-Étienne;Mahdi Camara-Saint-Étienne;Yvan Neyou-Saint-Étienne;Adil Aouchiche-Saint-Étienne;Zaydou Youssouf-Saint-Étienne;Denis Bouanga-Saint-Étienne
2025-04-13;Saint-Étienne;2;0;3;773;5;Stade Brestois;2;4;9;13;4;6;0.61;0.39;479;0.85;21;18;2;4;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.03;0.0952380952380952;407;0.0515970515970515;667.2131147540983;0.7777777777777778;11.475409836065571;-4;0.2199999999999999;-2;-2;3;0.0187891440501043;0.3333333333333333;0.2033333333333333;2.333333333333333;2;1;3;0;1;0;0;1;0.3333333333333333;0.75;0.0062630480167014;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Saint-Étienne;2;0;29;773;765;Lens;2;3;8;20;3;5;0.39;0.61;340;0.72;20;14;2;3;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;6;0.0305;0.1;245;0.0816326530612244;628.2051282051282;0.375;7.692307692307692;-12;-0.2199999999999999;-3;-1;6;0.0235294117647058;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Saint-Étienne;2;0;0;773;19;PSG;2;0;11;22;2;10;0.46;0.54;482;0.82;9;12;2;0;0;0;3;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;6;0.0245454545454545;0.2222222222222222;395;0.0227848101265822;858.695652173913;0.2727272727272727;6.521739130434782;-11;-0.08;-3;2;-3;0.0228215767634854;0.0909090909090909;0.46;3.0;1;0;1;0;0;1;0;1;0.0909090909090909;0.5;0.0020746887966804;11.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Saint-Étienne;2;3;3;773;774;Le Havre;3;2;12;13;3;7;0.54;0.46;419;0.84;17;9;3;2;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.0353846153846153;0.1764705882352941;352;0.0482954545454545;651.8518518518518;0.5;11.11111111111111;-1;0.08;1;1;8;0.0286396181384248;0.0833333333333333;0.54;6.0;1;0;1;0;1;0;1;0;0.0833333333333333;0.3333333333333333;0.0023866348448687;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Saint-Étienne;2;3;17;773;109;Niza;2;1;12;16;3;9;0.63;0.37;685;0.87;10;11;2;1;0;0;3;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.023125;0.2;596;0.0167785234899328;946.031746031746;0.25;4.761904761904762;-4;0.26;-1;1;-1;0.0175182481751824;0.0833333333333333;0.63;3.0;1;0;1;0;0;1;0;1;0.0833333333333333;0.3333333333333333;0.0014598540145985;12.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Saint-Étienne;2;0;3;773;771;Angers;3;0;19;13;8;4;0.62;0.38;557;0.85;13;16;3;0;0;0;4;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;3;0.0292307692307692;0.2307692307692307;473;0.0274841437632135;762.9032258064516;0.2105263157894736;6.451612903225807;6;0.24;1;3;-3;0.0341113105924596;0.1578947368421052;0.2066666666666666;1.3333333333333333;1;2;3;0;1;0;0;1;0.1578947368421052;0.375;0.0053859964093357;6.333333333333333;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Saint-Étienne;2;0;29;773;764;Marsella;1;1;7;28;2;14;0.29;0.71;350;0.8;9;14;1;1;0;0;3;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;14;0.0253571428571428;0.1111111111111111;280;0.0321428571428571;965.5172413793103;0.4285714285714285;10.344827586206897;-21;-0.42;-11;0;-5;0.02;0.1428571428571428;0.29;3.0;0;1;1;0;0;1;1;0;0.1428571428571428;0.5;0.0028571428571428;7.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Saint-Étienne;2;0;17;773;768;Rennes;1;5;9;21;3;9;0.54;0.46;531;0.85;13;6;1;5;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;4;0.0219047619047619;0.0769230769230769;451;0.0288248337028824;835.1851851851851;0.2222222222222222;3.7037037037037033;-12;0.08;-2;-4;7;0.0169491525423728;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Saint-Étienne;2;0;3;773;15;LOSC;2;1;9;29;2;13;0.32;0.68;305;0.73;12;11;1;1;1;0;1;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;7;0.0234482758620689;0.1666666666666666;223;0.0538116591928251;696.875;0.1111111111111111;3.125;-20;-0.36;-6;1;1;0.0295081967213114;0.1111111111111111;0.32;1.0;1;0;1;0;0;1;1;0;0.1111111111111111;0.5;0.0032786885245901;9.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-24;Saint-Étienne;2;0;9;773;770;Auxerre;0;2;8;11;3;5;0.64;0.36;615;0.83;13;15;0;2;0;0;4;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;3;0.0327272727272727;0.0;510;0.0254901960784313;796.875;0.5;6.25;-3;0.28;1;-2;-2;0.0130081300813008;0.125;0.64;4.0;1;0;1;0;1;0;1;0;0.125;0.3333333333333333;0.0016260162601626;8.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
