Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
22/11/24;Fluminense;10;3;2;197;644;Fortaleza;10;5;74;678;90;9;1;0;8;Fábio Deivson Lopes Maciel;Portero;Samuel Xavier;Defensor;Thiago Silva;Defensor;Thiago dos Santos;Defensor;Diogo Barbosa;Defensor;Matheus Martinelli;Mediocampista;Vinícius Moreira de Lima;Mediocampista;Jhon Arias;Mediocampista;Paulo Henrique Ganso;Mediocampista;Marcos da Silva;Mediocampista;Kauã Elias;Delantero;1;1;2;0;1;0;0;1
8/11/24;Fluminense;10;3;3;197;641;Internacional;9;2;48;455;81;10;1;0;4;Vitor Eudes;Portero;Samuel Xavier;Defensor;Thiago Silva;Defensor;Manoel Messias Silva Carvalho;Defensor;Diogo Barbosa;Defensor;Matheus Martinelli;Mediocampista;Facundo Bernal;Mediocampista;Claudio Rodrigues Gomes;Mediocampista;Vinícius Moreira de Lima;Mediocampista;Marcos da Silva;Mediocampista;Germán Cano;Delantero;0;0;0;0;0;1;1;0
1/11/24;Fluminense;10;3;3;197;206;Grêmio;18;7;63;562;87;15;6;1;8;Fábio Deivson Lopes Maciel;Portero;Samuel Xavier;Defensor;Thiago Silva;Defensor;Thiago dos Santos;Defensor;Diogo Barbosa;Defensor;Matheus Martinelli;Mediocampista;Vinícius Moreira de Lima;Mediocampista;Jhon Arias;Mediocampista;Paulo Henrique Ganso;Mediocampista;Marcos da Silva;Mediocampista;Kauã Elias;Delantero;1;1;2;0;1;0;0;1
26/10/24;Fluminense;10;3;3;197;693;Vitória;11;4;51;426;85;7;2;0;5;Fábio Deivson Lopes Maciel;Portero;Samuel Xavier;Defensor;Manoel Messias Silva Carvalho;Defensor;Thiago dos Santos;Defensor;Diogo Barbosa;Defensor;Victor Hugo Ramos de Souza;Mediocampista;Matheus Martinelli;Mediocampista;Jhon Arias;Mediocampista;Paulo Henrique Ganso;Mediocampista;Vinícius Moreira de Lima;Mediocampista;Kauã Elias;Delantero;0;1;1;0;0;1;1;0
22/10/24;Fluminense;10;3;17;197;649;Paranaense;14;5;76;727;89;9;3;0;5;Fábio Deivson Lopes Maciel;Portero;Samuel Xavier;Defensor;Manoel Messias Silva Carvalho;Defensor;Thiago dos Santos;Defensor;Diogo Barbosa;Defensor;Facundo Bernal;Mediocampista;Matheus Martinelli;Mediocampista;Jhon Arias;Mediocampista;Paulo Henrique Ganso;Mediocampista;Vinícius Moreira de Lima;Mediocampista;Kauã Elias;Delantero;0;1;1;1;0;0;0;1
17/10/24;Fluminense;10;3;3;197;214;Flamengo;12;3;39;350;78;15;3;0;1;Fábio Deivson Lopes Maciel;Portero;Samuel Xavier;Defensor;Manoel Messias Silva Carvalho;Defensor;Thiago dos Santos;Defensor;Diogo Barbosa;Defensor;Facundo Bernal;Mediocampista;Matheus Martinelli;Mediocampista;Marquinhos;Mediocampista;Paulo Henrique Ganso;Mediocampista;Vinícius Moreira de Lima;Mediocampista;Kauã Elias;Delantero;0;2;2;1;0;0;1;0
29/9/24;Fluminense;10;3;0;197;776;Atlético Goianiense;13;2;61;494;85;14;2;1;3;Fábio Deivson Lopes Maciel;Portero;Samuel Xavier;Defensor;Antônio Carlos Cunha Capocasali Júnior;Defensor;Thiago dos Santos;Defensor;Diogo Barbosa;Defensor;Matheus Martinelli;Mediocampista;Facundo Bernal;Mediocampista;Jhon Arias;Mediocampista;Paulo Henrique Ganso;Mediocampista;Marcos da Silva;Mediocampista;Germán Cano;Delantero;0;0;0;0;0;1;1;0
25/9/24;Fluminense;11;3;29;197;220;Atlético Mineiro;3;0;33;263;70;5;4;0;1;Fábio Deivson Lopes Maciel;Portero;Samuel Xavier;Defensor;Thiago Silva;Defensor;Thiago dos Santos;Defensor;Diogo Barbosa;Defensor;Matheus Martinelli;Mediocampista;Facundo Bernal;Mediocampista;Jhon Arias;Mediocampista;Paulo Henrique Ganso;Mediocampista;Kevin Serna;Mediocampista;Kauã Elias;Delantero;0;0;0;0;0;1;1;0
21/9/24;Fluminense;10;3;3;197;210;Botafogo;13;5;49;411;85;13;1;0;5;Fábio Deivson Lopes Maciel;Portero;Samuel Xavier;Defensor;Antônio Carlos Cunha Capocasali Júnior;Defensor;Manoel Messias Silva Carvalho;Defensor;Marcelo Vieira;Defensor;Matheus Martinelli;Mediocampista;Facundo Bernal;Mediocampista;Jhon Arias;Mediocampista;Vinícius Moreira de Lima;Mediocampista;Kevin Serna;Mediocampista;Germán Cano;Delantero;0;0;0;0;0;1;0;1
18/9/24;Fluminense;11;3;2;197;220;Atlético Mineiro;13;3;52;496;88;16;3;0;7;Fábio Deivson Lopes Maciel;Portero;Samuel Xavier;Defensor;Thiago Silva;Defensor;Thiago dos Santos;Defensor;Diogo Barbosa;Defensor;Matheus Martinelli;Mediocampista;Facundo Bernal;Mediocampista;Jhon Arias;Mediocampista;Paulo Henrique Ganso;Mediocampista;Kevin Serna;Mediocampista;Kauã Elias;Delantero;0;1;1;1;0;0;0;1
