Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
23/11/24;Juventude;10;0;6;779;656;Cuiabá;19;4;60;503;84;9;0;0;6;Gabriel Vasconcelos Ferreira;Portero;Ewerthon Diógenes da Silva;Defensor;Danilo Boza;Defensor;Lucas Freitas;Defensor;Alan Ruschel;Defensor;Jadson Alves dos Santos;Mediocampista;Ronaldo da Silva Souza;Mediocampista;Luis Mandaca;Mediocampista;Lucas Barbosa;Delantero;Gabriel Pereira Taliari;Delantero;Edson Carioca;Delantero;0;1;1;0;1;0;0;1
20/11/24;Juventude;10;3;13;779;206;Grêmio;11;5;43;355;78;16;5;0;4;Gabriel Vasconcelos Ferreira;Portero;João Lucas de Almeida Carvalho;Defensor;Danilo Boza;Defensor;Lucas Freitas;Defensor;Ewerthon Diógenes da Silva;Defensor;Jadson Alves dos Santos;Mediocampista;Ronaldo da Silva Souza;Mediocampista;Lucas Barbosa;Mediocampista;Luis Mandaca;Mediocampista;Erick Samuel Correa Farias;Mediocampista;Gabriel Pereira Taliari;Delantero;1;1;2;0;1;0;1;0
9/11/24;Juventude;10;3;0;779;697;Bahía;20;8;38;315;80;11;3;0;7;Gabriel Vasconcelos Ferreira;Portero;João Lucas de Almeida Carvalho;Defensor;Rodrigo Sam;Defensor;Danilo Boza;Defensor;Lucas Freitas;Defensor;Jadson Alves dos Santos;Mediocampista;Ronaldo da Silva Souza;Mediocampista;Lucas Barbosa;Mediocampista;Luis Mandaca;Mediocampista;Edson Carioca;Mediocampista;Gilberto Oliveira Souza Júnior;Delantero;0;2;2;1;0;0;0;1
2/11/24;Juventude;10;3;30;779;644;Fortaleza;17;6;60;428;83;7;3;0;5;Gabriel Vasconcelos Ferreira;Portero;João Lucas de Almeida Carvalho;Defensor;Danilo Boza;Defensor;José Marcos Alves Luis;Defensor;Lucas Freitas;Defensor;Jadson Alves dos Santos;Mediocampista;Ronaldo da Silva Souza;Mediocampista;Lucas Barbosa;Mediocampista;Luis Mandaca;Mediocampista;Edson Carioca;Mediocampista;Gilberto Oliveira Souza Júnior;Delantero;0;0;0;0;0;1;0;1
20/10/24;Juventude;10;3;3;779;217;Palmeiras;25;6;53;342;83;15;2;0;7;Mateus Claus;Portero;João Lucas de Almeida Carvalho;Defensor;Danilo Boza;Defensor;José Marcos Alves Luis;Defensor;Alan Ruschel;Defensor;Jadson Alves dos Santos;Mediocampista;Ronaldo da Silva Souza;Mediocampista;Lucas Barbosa;Mediocampista;Luis Mandaca;Mediocampista;Edson Carioca;Mediocampista;Ronie Carrillo;Delantero;1;2;3;0;0;1;0;1
5/10/24;Juventude;10;3;3;779;777;Vasco da Gama;17;5;45;325;74;13;3;0;6;Gabriel Vasconcelos Ferreira;Portero;João Lucas de Almeida Carvalho;Defensor;Danilo Boza;Defensor;José Marcos Alves Luis;Defensor;Alan Ruschel;Defensor;Jadson Alves dos Santos;Mediocampista;Dudu Vieira;Mediocampista;Lucas Barbosa;Mediocampista;Luis Mandaca;Mediocampista;Edson Carioca;Mediocampista;Gilberto Oliveira Souza Júnior;Delantero;1;0;1;0;1;0;1;0
29/9/24;Juventude;10;3;7;779;659;Bragantino;12;6;53;378;83;9;1;0;4;Gabriel Vasconcelos Ferreira;Portero;João Lucas de Almeida Carvalho;Defensor;Danilo Boza;Defensor;Lucas Freitas;Defensor;Alan Ruschel;Defensor;Ronaldo da Silva Souza;Mediocampista;Luís Felipe Oyama;Mediocampista;Jadson Alves dos Santos;Mediocampista;Nené;Mediocampista;Edson Carioca;Mediocampista;Gilberto Oliveira Souza Júnior;Delantero;0;1;1;0;1;0;0;1
21/9/24;Juventude;10;3;3;779;693;Vitória;11;2;65;469;86;15;4;0;5;Gabriel Vasconcelos Ferreira;Portero;João Lucas de Almeida Carvalho;Defensor;Yan Souto;Defensor;José Marcos Alves Luis;Defensor;Alan Ruschel;Defensor;Jadson Alves dos Santos;Mediocampista;Ronaldo da Silva Souza;Mediocampista;Lucas Barbosa;Mediocampista;Nené;Mediocampista;Marcelinho;Mediocampista;Gilberto Oliveira Souza Júnior;Delantero;0;0;0;0;0;1;1;0
15/9/24;Juventude;10;3;3;779;197;Fluminense;12;5;54;432;82;8;5;0;8;Gabriel Vasconcelos Ferreira;Portero;João Lucas de Almeida Carvalho;Defensor;Danilo Boza;Defensor;José Marcos Alves Luis;Defensor;Alan Ruschel;Defensor;Ronaldo da Silva Souza;Mediocampista;Jadson Alves dos Santos;Mediocampista;Lucas Barbosa;Mediocampista;Nené;Mediocampista;Erick Samuel Correa Farias;Mediocampista;Ronie Carrillo;Delantero;0;2;2;1;0;0;0;1
11/9/24;Juventude;12;0;3;779;652;Corinthians;10;2;30;241;65;19;3;0;2;Gabriel Vasconcelos Ferreira;Portero;João Lucas de Almeida Carvalho;Defensor;Danilo Boza;Defensor;José Marcos Alves Luis;Defensor;Alan Ruschel;Defensor;Jadson Alves dos Santos;Mediocampista;Ronaldo da Silva Souza;Mediocampista;Luís Felipe Oyama;Mediocampista;Lucas Barbosa;Delantero;Ronie Carrillo;Delantero;Erick Samuel Correa Farias;Delantero;1;0;1;0;0;1;1;0
