Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
8/2/24;Mönchengladbach;9;3;1;172;87;Frankfurt;8;3;53;522;83;10;3;0;6;Moritz Nicolas;Portero;Joe Scally;Defensora;Marvin Friedrich;Defensor;Ko Itakura;Defensor;Lukas Ullrich;Defensor;Julian Weigl;Mediocampista;Florian Neuhaus;Mediocampista;Nathan N'Goumou;Mediocampista;Kevin Stöger;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;1;0;1;0;1;0;0;1
1/2/24;Mönchengladbach;9;3;1;172;18;Stuttgart;13;6;45;462;79;11;2;0;0;Moritz Nicolas;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Nico Elvedi;Defensor;Lukas Ullrich;Defensor;Philipp Sander;Mediocampista;Julian Weigl;Mediocampista;Nathan N'Goumou;Mediocampista;Kevin Stöger;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;1;1;2;1;0;0;1;0
25/1/24;Mönchengladbach;9;3;30;172;178;Bochum;16;6;58;485;83;6;1;0;8;Moritz Nicolas;Portero;Joe Scally;Defensora;Marvin Friedrich;Defensor;Nico Elvedi;Defensor;Lukas Ullrich;Defensor;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Tomáš Čvančara;Mediocampista;Kevin Stöger;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;1;2;3;1;0;0;0;1
18/1/24;Mönchengladbach;9;5;3;172;6;Leverkusen;7;4;45;505;87;10;2;0;6;Moritz Nicolas;Portero;Stefan Lainer;Defensor;Ko Itakura;Defensor;Nico Elvedi;Defensor;Lukas Ullrich;Defensor;Tomáš Čvančara;Mediocampista;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Philipp Sander;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;0;1;1;0;0;1;1;0
14/1/24;Mönchengladbach;9;3;1;172;175;Wolfsburg;9;5;66;647;88;7;0;0;7;Moritz Nicolas;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Nico Elvedi;Defensor;Luca Netz;Defensor;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Robin Hack;Mediocampista;Kevin Stöger;Mediocampista;Alassane Pléa;Mediocampista;Tomáš Čvančara;Delantero;0;1;1;0;0;1;1;0
11/1/24;Mönchengladbach;9;3;3;172;23;Bayern;5;0;32;327;76;10;3;0;4;Moritz Nicolas;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Nico Elvedi;Defensor;Lukas Ullrich;Defensor;Julian Weigl;Mediocampista;Philipp Sander;Mediocampista;Rocco Reitz;Mediocampista;Alassane Pléa;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;0;0;0;0;0;1;0;1
24/11/24;Mönchengladbach;9;3;6;172;176;St. Pauli;15;4;49;546;88;7;1;0;5;Moritz Nicolas;Portero;Joe Scally;Defensora;Marvin Friedrich;Defensor;Ko Itakura;Defensor;Lukas Ullrich;Defensor;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Alassane Pléa;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;2;0;2;1;0;0;0;1
9/11/24;Mönchengladbach;9;3;17;172;31;RB Leipzig;14;4;38;379;80;7;2;0;4;Moritz Nicolas;Portero;Joe Scally;Defensora;Marvin Friedrich;Defensor;Ko Itakura;Defensor;Lukas Ullrich;Defensor;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Alassane Pléa;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;0;0;0;0;1;0;1;0
3/11/24;Mönchengladbach;9;3;17;172;171;Werder Bremen;16;8;47;487;81;12;1;0;7;Moritz Nicolas;Portero;Joe Scally;Defensora;Marvin Friedrich;Defensor;Ko Itakura;Defensor;Lukas Ullrich;Defensor;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Alassane Pléa;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;3;1;4;1;0;0;0;1
30/10/24;Mönchengladbach;23;3;1;172;87;Frankfurt;19;3;61;550;86;15;4;0;6;Moritz Nicolas;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Marvin Friedrich;Defensor;Lukas Ullrich;Defensor;Philipp Sander;Mediocampista;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Kevin Stöger;Mediocampista;Florian Neuhaus;Mediocampista;Tim Kleindienst;Delantero;0;1;1;0;0;1;1;0
25/10/24;Mönchengladbach;9;3;17;172;174;Mainz 05;9;5;48;441;77;16;2;0;4;Moritz Nicolas;Portero;Stefan Lainer;Defensor;Ko Itakura;Defensor;Marvin Friedrich;Defensor;Joe Scally;Defensora;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Alassane Pléa;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;0;1;1;0;1;0;1;0
19/10/24;Mönchengladbach;9;3;3;172;142;Heidenheim;20;10;67;523;81;15;3;0;6;Moritz Nicolas;Portero;Stefan Lainer;Defensor;Marvin Friedrich;Defensor;Ko Itakura;Defensor;Joe Scally;Defensora;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Alassane Pléa;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;1;2;3;1;0;0;0;1
4/10/24;Mönchengladbach;9;3;2;172;173;Augsburgo;11;4;66;603;82;15;4;0;5;Moritz Nicolas;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Nico Elvedi;Defensor;Luca Netz;Defensor;Philipp Sander;Mediocampista;Julian Weigl;Mediocampista;Tomáš Čvančara;Mediocampista;Alassane Pléa;Mediocampista;Kevin Stöger;Mediocampista;Tim Kleindienst;Delantero;0;1;1;0;0;1;1;0
28/9/24;Mönchengladbach;9;3;17;172;169;FC Union Berlin;8;2;64;610;83;11;3;0;2;Moritz Nicolas;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Nico Elvedi;Defensor;Luca Netz;Defensor;Philipp Sander;Mediocampista;Julian Weigl;Mediocampista;Nathan N'Goumou;Mediocampista;Kevin Stöger;Mediocampista;Alassane Pléa;Mediocampista;Tim Kleindienst;Delantero;0;1;1;1;0;0;0;1
21/9/24;Mönchengladbach;9;3;1;172;87;Frankfurt;25;7;64;642;89;12;1;0;5;Moritz Nicolas;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Nico Elvedi;Defensor;Luca Netz;Defensor;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Nathan N'Goumou;Mediocampista;Kevin Stöger;Mediocampista;Robin Hack;Mediocampista;Tim Kleindienst;Delantero;0;0;0;0;0;1;1;0
14/9/24;Mönchengladbach;9;3;13;172;18;Stuttgart;15;7;43;419;77;14;2;0;6;Jonas Omlin;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Nico Elvedi;Defensor;Luca Netz;Defensor;Julian Weigl;Mediocampista;Philipp Sander;Mediocampista;Franck Honorat;Mediocampista;Alassane Pléa;Mediocampista;Kevin Stöger;Mediocampista;Tim Kleindienst;Delantero;1;0;1;0;0;1;0;1
31/8/24;Mönchengladbach;9;3;22;172;178;Bochum;15;6;62;577;84;10;0;0;4;Jonas Omlin;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Nico Elvedi;Defensor;Luca Netz;Defensor;Philipp Sander;Mediocampista;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Kevin Stöger;Mediocampista;Alassane Pléa;Mediocampista;Tim Kleindienst;Delantero;0;2;2;1;0;0;1;0
23/8/24;Mönchengladbach;9;3;17;172;6;Leverkusen;14;7;42;444;82;11;1;0;2;Jonas Omlin;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Nico Elvedi;Defensor;Luca Netz;Defensor;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Kevin Stöger;Mediocampista;Alassane Pléa;Mediocampista;Tim Kleindienst;Delantero;0;2;2;0;0;1;0;1
17/8/24;Mönchengladbach;23;3;3;172;619;Erzgebirge Aue;25;11;56;547;88;15;0;0;8;Jonas Omlin;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Fabio Chiarodia;Defensor;Luca Netz;Defensor;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Kevin Stöger;Mediocampista;Alassane Pléa;Mediocampista;Tim Kleindienst;Delantero;1;2;3;1;0;0;1;0
18/5/24;Mönchengladbach;9;7;3;172;18;Stuttgart;14;5;39;465;89;9;2;0;4;Jonas Omlin;Portero;Stefan Lainer;Defensor;Marvin Friedrich;Defensor;Ko Itakura;Defensor;Luca Netz;Defensor;Julian Weigl;Mediocampista;Nathan N'Goumou;Mediocampista;Rocco Reitz;Mediocampista;Manu Koné;Mediocampista;Alassane Pléa;Mediocampista;Jordan Siebatcheu;Delantero;0;0;0;0;0;1;1;0
11/5/24;Mönchengladbach;9;2;2;172;87;Frankfurt;6;3;44;434;80;9;1;0;2;Jonas Omlin;Portero;Marvin Friedrich;Defensor;Ko Itakura;Defensor;Nico Elvedi;Defensor;Franck Honorat;Mediocampista;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Manu Koné;Mediocampista;Joe Scally;Mediocampista;Alassane Pléa;Delantero;Robin Hack;Delantero;1;0;1;0;1;0;0;1
4/5/24;Mönchengladbach;9;30;17;172;171;Werder Bremen;17;6;44;497;84;7;0;0;2;Moritz Nicolas;Portero;Marvin Friedrich;Defensor;Ko Itakura;Defensor;Nico Elvedi;Defensor;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Joe Scally;Mediocampista;Rocco Reitz;Mediocampista;Manu Koné;Mediocampista;Alassane Pléa;Delantero;Robin Hack;Delantero;1;1;2;0;1;0;1;0
28/4/24;Mönchengladbach;9;17;29;172;169;FC Union Berlin;13;4;52;542;75;3;2;0;3;Moritz Nicolas;Portero;Marvin Friedrich;Defensor;Nico Elvedi;Defensor;Fabio Chiarodia;Defensor;Stefan Lainer;Mediocampista;Rocco Reitz;Mediocampista;Ko Itakura;Mediocampista;Joe Scally;Mediocampista;Tomáš Čvančara;Mediocampista;Robin Hack;Mediocampista;Alassane Pléa;Delantero;0;0;0;0;1;0;0;1
20/4/24;Mönchengladbach;9;9;2;172;97;Hoffenheim;13;7;40;422;80;11;3;0;5;Moritz Nicolas;Portero;Stefan Lainer;Defensor;Marvin Friedrich;Defensor;Nico Elvedi;Defensor;Maximilian Wöber;Defensor;Luca Netz;Defensor;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Ko Itakura;Mediocampista;Robin Hack;Mediocampista;Alassane Pléa;Delantero;1;2;3;0;0;1;1;0
13/4/24;Mönchengladbach;9;6;3;172;11;Dortmund;18;4;46;434;83;13;1;0;2;Jonas Omlin;Portero;Marvin Friedrich;Defensor;Nico Elvedi;Defensor;Maximilian Wöber;Defensor;Stefan Lainer;Mediocampista;Julian Weigl;Mediocampista;Ko Itakura;Mediocampista;Luca Netz;Mediocampista;Nathan N'Goumou;Delantero;Alassane Pléa;Delantero;Franck Honorat;Delantero;1;0;1;0;0;1;0;1
7/4/24;Mönchengladbach;9;6;1;172;175;Wolfsburg;10;6;38;428;81;12;2;0;4;Jonas Omlin;Portero;Marvin Friedrich;Defensor;Nico Elvedi;Defensor;Maximilian Wöber;Defensor;Stefan Lainer;Mediocampista;Julian Weigl;Mediocampista;Ko Itakura;Mediocampista;Luca Netz;Mediocampista;Franck Honorat;Delantero;Alassane Pléa;Delantero;Nathan N'Goumou;Delantero;0;3;3;1;0;0;1;0
30/3/24;Mönchengladbach;9;3;29;172;170;Friburgo;19;4;55;513;82;11;1;0;14;Jonas Omlin;Portero;Joe Scally;Defensora;Ko Itakura;Defensor;Nico Elvedi;Defensor;Luca Netz;Defensor;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Franck Honorat;Mediocampista;Florian Neuhaus;Mediocampista;Robin Hack;Mediocampista;Jordan Siebatcheu;Delantero;0;0;0;0;0;1;0;1
16/3/24;Mönchengladbach;9;0;3;172;142;Heidenheim;7;2;46;419;77;8;3;0;4;Moritz Nicolas;Portero;Stefan Lainer;Defensor;Nico Elvedi;Defensor;Maximilian Wöber;Defensor;Joe Scally;Defensora;Rocco Reitz;Mediocampista;Julian Weigl;Mediocampista;Florian Neuhaus;Mediocampista;Franck Honorat;Delantero;Jordan Siebatcheu;Delantero;Robin Hack;Delantero;1;0;1;0;1;0;1;0
