Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
23/11/24;R.C.D. Mallorca;1;1;3;40;50;U. D. Las Palmas;9;3;38;300;76;18;2;1;3;Dominik Greif;Portero;Mateu Morey;Defensor;Martin Valjent;Defensor;Antonio José Raíllo Arenas;Defensor;Johan Mojica;Defensor;Robert Navarro;Mediocampista;Manuel Morlanes Ariño;Mediocampista;Samuel Costa;Mediocampista;Sergi Darder;Mediocampista;Dani Rodríguez;Delantero;Vedat Muriqi;Delantero;0;3;3;1;0;0;1;0
10/11/24;R.C.D. Mallorca;1;1;8;40;27;Atlético Madrid;13;6;53;530;89;10;1;0;7;Dominik Greif;Portero;Pablo Maffeo;Defensor;Martin Valjent;Defensor;Antonio José Raíllo Arenas;Defensor;Johan Mojica;Defensor;Robert Navarro;Mediocampista;Manuel Morlanes Ariño;Mediocampista;Samuel Costa;Mediocampista;Sergi Darder;Mediocampista;Cyle Larin;Delantero;Vedat Muriqi;Delantero;0;0;0;0;0;1;0;1
1/11/24;R.C.D. Mallorca;1;3;3;40;45;Alavés;7;2;48;306;74;12;2;0;2;Leo Román;Portero;Pablo Maffeo;Defensor;Antonio José Raíllo Arenas;Defensor;José Manuel Arias Copete;Defensor;Antonio Latorre;Defensor;Omar Mascarell;Mediocampista;Manuel Morlanes Ariño;Mediocampista;Robert Navarro;Mediocampista;Dani Rodríguez;Mediocampista;Chiquinho;Mediocampista;Cyle Larin;Delantero;0;0;0;0;0;1;1;0
28/10/24;R.C.D. Mallorca;1;1;3;40;38;Athletic;4;1;33;272;70;9;3;1;1;Dominik Greif;Portero;Pablo Maffeo;Defensor;Martin Valjent;Defensor;Antonio José Raíllo Arenas;Defensor;Johan Mojica;Defensor;Robert Navarro;Mediocampista;Manuel Morlanes Ariño;Mediocampista;Samuel Costa;Mediocampista;Sergi Darder;Mediocampista;Vedat Muriqi;Delantero;Cyle Larin;Delantero;0;0;0;0;1;0;0;1
20/10/24;R.C.D. Mallorca;1;1;1;40;42;Rayo Vallecano;19;5;51;367;76;9;1;0;9;Dominik Greif;Portero;Pablo Maffeo;Defensor;Martin Valjent;Defensor;Antonio José Raíllo Arenas;Defensor;Johan Mojica;Defensor;Robert Navarro;Mediocampista;Manuel Morlanes Ariño;Mediocampista;Samuel Costa;Mediocampista;Sergi Darder;Mediocampista;Vedat Muriqi;Delantero;Cyle Larin;Delantero;0;1;1;1;0;0;0;1
5/10/24;R.C.D. Mallorca;1;8;3;40;49;RCD Espanyol;11;5;61;416;84;19;5;0;6;Dominik Greif;Portero;Pablo Maffeo;Defensor;Antonio José Raíllo Arenas;Defensor;José Manuel Arias Copete;Defensor;Johan Mojica;Defensor;Robert Navarro;Mediocampista;Omar Mascarell;Mediocampista;Samuel Costa;Mediocampista;Sergi Darder;Mediocampista;Dani Rodríguez;Mediocampista;Cyle Larin;Delantero;0;1;1;0;0;1;1;0
27/9/24;R.C.D. Mallorca;1;1;0;40;51;Valladolid;17;6;49;413;78;11;2;0;4;Leo Román;Portero;Pablo Maffeo;Defensor;Antonio José Raíllo Arenas;Defensor;José Manuel Arias Copete;Defensor;Johan Mojica;Defensor;Robert Navarro;Mediocampista;Manuel Morlanes Ariño;Mediocampista;Samuel Costa;Mediocampista;Sergi Darder;Mediocampista;Dani Rodríguez;Delantero;Cyle Larin;Delantero;0;2;2;1;0;0;1;0
23/9/24;R.C.D. Mallorca;1;3;3;40;39;Betis;7;6;38;367;79;14;3;0;3;Dominik Greif;Portero;Antonio Sánchez Navarro;Defensor;Martin Valjent;Defensor;Antonio José Raíllo Arenas;Defensor;Johan Mojica;Defensor;Omar Mascarell;Mediocampista;Samuel Costa;Mediocampista;Robert Navarro;Mediocampista;Dani Rodríguez;Mediocampista;Sergi Darder;Mediocampista;Cyle Larin;Delantero;1;1;2;1;0;0;1;0
17/9/24;R.C.D. Mallorca;1;3;7;40;46;Real Sociedad;10;4;40;364;76;5;1;0;5;Leo Román;Portero;Antonio Sánchez Navarro;Defensor;Antonio José Raíllo Arenas;Defensor;José Manuel Arias Copete;Defensor;Johan Mojica;Defensor;Samuel Costa;Mediocampista;Omar Mascarell;Mediocampista;Robert Navarro;Mediocampista;Abdón Prats Bastidas;Mediocampista;Sergi Darder;Mediocampista;Cyle Larin;Delantero;1;0;1;1;0;0;0;1
14/9/24;R.C.D. Mallorca;1;3;1;40;37;Villarreal;9;4;54;440;80;11;3;1;7;Dominik Greif;Portero;Antonio Sánchez Navarro;Defensor;Martin Valjent;Defensor;Antonio José Raíllo Arenas;Defensor;Antonio Latorre;Defensor;Manuel Morlanes Ariño;Mediocampista;Samuel Costa;Mediocampista;Takuma Asano;Mediocampista;Dani Rodríguez;Mediocampista;Marc Domènech;Mediocampista;Vedat Muriqi;Delantero;0;1;1;0;0;1;0;1
