Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
22/11/24;Slovan Bratislava;-1;7;2;36;-1;FC Košice;20;5;69;617;84;13;1;0;12;Dominik Takáč;Portero;Jurij Medvedev;Defensor;Kenan Bajrić;Defensor;Kevin Wimmer;Defensor;Matus Vojtko;Defensor;Danylo Ihnatenko;Mediocampista;Tigran Barseghyan;Mediocampista;Július Szöke;Mediocampista;Artur Gajdoš;Mediocampista;Róbert Mak;Mediocampista;Idjessi Metsoko;Delantero;0;1;1;0;1;0;1;0
9/11/24;Slovan Bratislava;-1;3;3;36;-1;Skalica;13;4;59;584;88;8;1;0;5;Dominik Takáč;Portero;César Blackman;Defensor;Kenan Bajrić;Defensor;Siemen Voet;Defensor;Jurij Medvedev;Defensor;Danylo Ihnatenko;Mediocampista;Alen Mustafić;Mediocampista;Tigran Barseghyan;Mediocampista;Artur Gajdoš;Mediocampista;Róbert Mak;Mediocampista;David Strelec;Delantero;3;0;3;1;0;0;0;1
5/11/24;Slovan Bratislava;0;3;0;36;22;Dinamo Zagreb;19;7;60;502;86;6;2;0;11;Dominik Takáč;Portero;César Blackman;Defensor;Guram Kashia;Defensor;Kenan Bajrić;Defensor;Siemen Voet;Defensor;Danylo Ihnatenko;Mediocampista;Kyriakos Savvidis;Mediocampista;Tigran Barseghyan;Mediocampista;Marko Tolic;Mediocampista;Nino Marcelli;Mediocampista;David Strelec;Delantero;1;0;1;0;0;1;0;1
2/11/24;Slovan Bratislava;-1;9;6;36;-1;Podbrezová;10;5;62;527;83;11;0;0;8;Dominik Takáč;Portero;César Blackman;Defensor;Lukáš Pauschek;Defensor;Guram Kashia;Defensor;Siemen Voet;Defensor;Matus Vojtko;Defensor;Tigran Barseghyan;Mediocampista;Alen Mustafić;Mediocampista;Kyriakos Savvidis;Mediocampista;Nino Marcelli;Mediocampista;David Strelec;Delantero;0;3;3;1;0;0;1;0
30/10/24;Slovan Bratislava;-1;3;3;36;-1;Skalica;15;10;66;573;84;18;3;0;2;Dominik Takáč;Portero;César Blackman;Defensor;Guram Kashia;Defensor;Kenan Bajrić;Defensor;Kevin Wimmer;Defensor;Danylo Ihnatenko;Mediocampista;Kyriakos Savvidis;Mediocampista;Tigran Barseghyan;Mediocampista;Marko Tolic;Mediocampista;Zuberu Sharani;Mediocampista;David Strelec;Delantero;2;1;3;1;0;0;1;0
22/10/24;Slovan Bratislava;0;17;6;36;24;Girona;6;2;35;317;78;18;3;0;6;Dominik Takáč;Portero;Kenan Bajrić;Defensor;Guram Kashia;Defensor;Kevin Wimmer;Defensor;César Blackman;Mediocampista;Danylo Ihnatenko;Mediocampista;Kyriakos Savvidis;Mediocampista;Zuberu Sharani;Mediocampista;Tigran Barseghyan;Mediocampista;Marko Tolic;Mediocampista;David Strelec;Delantero;0;0;0;0;0;1;1;0
19/10/24;Slovan Bratislava;-1;3;0;36;-1;Spartak Trnava;9;4;58;446;74;19;3;0;1;Dominik Takáč;Portero;César Blackman;Defensor;Guram Kashia;Defensor;Kevin Wimmer;Defensor;Zuberu Sharani;Defensor;Kenan Bajrić;Mediocampista;Kyriakos Savvidis;Mediocampista;Tigran Barseghyan;Mediocampista;Artur Gajdoš;Mediocampista;Nino Marcelli;Mediocampista;David Strelec;Delantero;0;1;1;1;0;0;1;0
5/10/24;Slovan Bratislava;-1;7;7;36;-1;Trenčín;31;7;64;523;86;10;2;0;14;Martin Trnovsky;Portero;Jurij Medvedev;Defensor;Kenan Bajrić;Defensor;Siemen Voet;Defensor;Zuberu Sharani;Defensor;Danylo Ihnatenko;Mediocampista;Tigran Barseghyan;Mediocampista;Marko Tolic;Mediocampista;Artur Gajdoš;Mediocampista;Nino Marcelli;Mediocampista;David Strelec;Delantero;0;1;1;0;1;0;0;1
1/10/24;Slovan Bratislava;0;3;3;36;3;Manchester City;3;0;23;237;69;2;0;0;0;Dominik Takáč;Portero;César Blackman;Defensor;Guram Kashia;Defensor;Kenan Bajrić;Defensor;Kevin Wimmer;Defensor;Danylo Ihnatenko;Mediocampista;Kyriakos Savvidis;Mediocampista;Tigran Barseghyan;Mediocampista;Marko Tolic;Mediocampista;Vladimír Weiss;Mediocampista;David Strelec;Delantero;0;0;0;0;0;1;0;1
27/9/24;Slovan Bratislava;-1;3;3;36;-1;Michalovce;22;11;67;525;85;12;1;0;8;Dominik Takáč;Portero;César Blackman;Defensor;Guram Kashia;Defensor;Kevin Wimmer;Defensor;Jurij Medvedev;Defensor;Július Szöke;Mediocampista;Artur Gajdoš;Mediocampista;Tigran Barseghyan;Mediocampista;Marko Tolic;Mediocampista;Vladimír Weiss;Mediocampista;David Strelec;Delantero;1;3;4;1;0;0;1;0
