Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
24/11/2024;Southampton;3;9;3;68;2;Liverpool;7;5;37;365;83.0;11;3;0;3;Alex McCarthy;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Flynn Downes;Defensor;Jack Stephens;Defensor;Ryan Fraser;Defensor;Tyler Dibling;Mediocampista;Mateus Fernandes;Mediocampista;Adam Lallana;Mediocampista;Adam Armstrong;Mediocampista;Paul Onuachu;Delantero;1;1;2;0;0;1;0;1
9/11/2024;Southampton;3;9;3;68;67;Wolves;9;0;72;673;90.0;12;4;0;9;Aaron Ramsdale;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Jack Stephens;Defensor;Ryan Manning;Defensor;Adam Armstrong;Mediocampista;Joe Aribo;Mediocampista;Adam Lallana;Mediocampista;Mateus Fernandes;Mediocampista;Cameron Archer;Delantero;0;0;0;0;0;1;1;0
2/11/2024;Southampton;3;9;3;68;64;Everton;9;2;66;589;91.0;14;4;0;3;Aaron Ramsdale;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Jack Stephens;Defensor;Ryan Manning;Defensor;Adam Armstrong;Mediocampista;Flynn Downes;Mediocampista;Adam Lallana;Mediocampista;Mateus Fernandes;Mediocampista;Cameron Archer;Delantero;0;1;1;1;0;0;0;1
29/10/2024;Southampton;14;0;9;68;830;Stoke City;12;5;78;807;93.0;5;2;0;5;Aaron Ramsdale;Portero;Yukinari Sugawara;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;James Bree;Defensor;Joe Aribo;Mediocampista;Lesley Ugochukwu;Mediocampista;Mateus Fernandes;Mediocampista;Adam Armstrong;Delantero;Cameron Archer;Delantero;Ryan Fraser;Delantero;2;1;3;1;0;0;0;1
26/10/2024;Southampton;3;9;7;68;3;Manchester City;5;2;43;479;90.0;9;3;0;1;Aaron Ramsdale;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Jack Stephens;Defensor;Ryan Manning;Defensor;Tyler Dibling;Mediocampista;Flynn Downes;Mediocampista;Adam Lallana;Mediocampista;Mateus Fernandes;Mediocampista;Cameron Archer;Delantero;0;0;0;0;0;1;1;0
19/10/2024;Southampton;3;5;3;68;63;Leicester City;14;7;42;359;82.0;10;5;1;10;Aaron Ramsdale;Portero;Yukinari Sugawara;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Kyle Walker-Peters;Defensor;Tyler Dibling;Mediocampista;Joe Aribo;Mediocampista;Flynn Downes;Mediocampista;Mateus Fernandes;Mediocampista;Ryan Manning;Mediocampista;Cameron Archer;Delantero;2;0;2;0;0;1;0;1
5/10/2024;Southampton;3;9;1;68;9;Arsenal;8;2;41;395;85.0;9;3;0;1;Aaron Ramsdale;Portero;Yukinari Sugawara;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Kyle Walker-Peters;Defensor;Ryan Manning;Defensor;Tyler Dibling;Mediocampista;Joe Aribo;Mediocampista;Flynn Downes;Mediocampista;Mateus Fernandes;Mediocampista;Ross C. Stewart;Delantero;0;1;1;0;0;1;1;0
30/09/2024;Southampton;3;3;3;68;59;Bournemouth;9;3;60;577;86.0;12;5;0;4;Aaron Ramsdale;Portero;Yukinari Sugawara;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Charlie Taylor;Defensor;Flynn Downes;Mediocampista;Lesley Ugochukwu;Mediocampista;Maxwel Cornet;Mediocampista;Mateus Fernandes;Mediocampista;Ryan Fraser;Mediocampista;Tyler Dibling;Delantero;0;1;1;0;0;1;1;0
21/09/2024;Southampton;3;3;3;68;66;Ipswich;11;3;54;492;86.0;16;4;0;2;Aaron Ramsdale;Portero;Yukinari Sugawara;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Charlie Taylor;Defensor;Flynn Downes;Mediocampista;Adam Lallana;Mediocampista;Tyler Dibling;Mediocampista;Mateus Fernandes;Mediocampista;Ryan Fraser;Mediocampista;Cameron Archer;Delantero;1;0;1;0;1;0;0;1
17/09/2024;Southampton;14;3;3;68;64;Everton;11;4;74;791;91.0;7;1;0;4;Alex McCarthy;Portero;James Bree;Defensor;Taylor Harwood-Bellis;Defensor;Nathan Wood;Defensor;Charlie Taylor;Defensor;Lesley Ugochukwu;Mediocampista;Adam Lallana;Mediocampista;Maxwel Cornet;Mediocampista;Joe Aribo;Mediocampista;Ryan Fraser;Mediocampista;Adam Armstrong;Delantero;1;0;1;0;1;0;1;0
14/09/2024;Southampton;3;3;3;68;62;Manchester United;6;4;44;480;87.0;11;1;1;0;Aaron Ramsdale;Portero;Yukinari Sugawara;Defensor;Jack Stephens;Defensor;Jan Bednarek;Defensor;Kyle Walker-Peters;Defensor;Flynn Downes;Mediocampista;Lesley Ugochukwu;Mediocampista;Tyler Dibling;Mediocampista;Mateus Fernandes;Mediocampista;Ben Brereton Díaz;Mediocampista;Cameron Archer;Delantero;0;0;0;0;0;1;0;1
31/08/2024;Southampton;3;2;0;68;57;Brentford;18;6;64;621;88.0;7;1;0;8;Aaron Ramsdale;Portero;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Jack Stephens;Defensor;Yukinari Sugawara;Mediocampista;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Joe Aribo;Mediocampista;Kyle Walker-Peters;Mediocampista;Adam Armstrong;Delantero;Ben Brereton Díaz;Delantero;0;1;1;0;0;1;1;0
28/08/2024;Southampton;14;0;3;68;837;Cardiff;13;8;74;772;93.0;4;3;0;6;Joe Lumley;Portero;James Bree;Defensor;Ronnie Edwards;Defensor;Nathan Wood;Defensor;Charlie Taylor;Defensor;Tyler Dibling;Mediocampista;Lesley Ugochukwu;Mediocampista;Mateus Fernandes;Mediocampista;Samuel Amo-Ameyaw;Delantero;Cameron Archer;Delantero;Samuel Edozie;Delantero;2;3;5;1;0;0;1;0
24/08/2024;Southampton;3;2;3;68;55;Nottingham Forest;5;1;65;656;90.0;14;3;0;4;Alex McCarthy;Portero;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Jack Stephens;Defensor;Yukinari Sugawara;Mediocampista;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Joe Aribo;Mediocampista;Kyle Walker-Peters;Mediocampista;Adam Armstrong;Delantero;Ben Brereton Díaz;Delantero;0;0;0;0;0;1;0;1
