Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
24/11/24;Villarreal;1;1;0;37;41;Osasuna;16;7;60;498;82;13;4;0;8;Diego Conde;Portero;Pau Navarro;Defensor;Raúl Albiol;Defensor;Logan Costa;Defensor;Sergi Cardona;Defensor;Yéremy Pino;Mediocampista;Dani Parejo;Mediocampista;Santiago Comesaña Veiga;Mediocampista;Álex Baena;Mediocampista;Thierno Barry;Delantero;Ramón Terrats Espacio;Delantero;0;2;2;0;1;0;1;0
1/12/24;Villarreal;1;1;3;37;24;Girona;13;4;35;372;80;8;2;0;1;Diego Conde;Portero;Kiko Femenía;Defensor;Raúl Albiol;Defensor;Logan Costa;Defensor;Sergi Cardona;Defensor;Yéremy Pino;Mediocampista;Santiago Comesaña Veiga;Mediocampista;Dani Parejo;Mediocampista;Álex Baena;Mediocampista;Pape Gueye;Delantero;Thierno Barry;Delantero;1;1;2;0;1;0;0;1
4/12/24;Villarreal;19;1;7;37;-1;Pontevedra;6;2;27;258;72;9;1;0;3;Luiz Júnior;Portero;Pau Navarro;Defensor;Willy Kambwala;Defensor;Logan Costa;Defensor;Juan Bernat;Defensor;Pau Cabanes;Mediocampista;Alassane Diatta;Mediocampista;Dani Parejo;Mediocampista;Denis Suárez;Mediocampista;Gerard Moreno Balagueró;Delantero;Thierno Barry;Delantero;0;0;0;0;0;1;1;0
8/12/24;Villarreal;1;1;3;37;38;Athletic;11;1;58;555;84;10;1;0;3;Diego Conde;Portero;Kiko Femenía;Defensor;Raúl Albiol;Defensor;Logan Costa;Defensor;Juan Bernat;Defensor;Yéremy Pino;Mediocampista;Santiago Comesaña Veiga;Mediocampista;Dani Parejo;Mediocampista;Álex Baena;Mediocampista;Pape Gueye;Delantero;Thierno Barry;Delantero;0;0;0;0;0;1;1;0
15/12/24;Villarreal;1;1;3;37;39;Betis;17;4;62;534;86;19;5;0;5;Luiz Júnior;Portero;Kiko Femenía;Defensor;Raúl Albiol;Defensor;Eric Bertrand Bailly;Defensor;Sergi Cardona;Defensor;Yéremy Pino;Mediocampista;Pape Gueye;Mediocampista;Dani Parejo;Mediocampista;Álex Baena;Mediocampista;Gerard Moreno Balagueró;Delantero;Ayoze Pérez;Delantero;0;1;1;0;0;1;0;1
18/12/24;Villarreal;1;1;3;37;42;Rayo Vallecano;14;5;45;371;77;10;4;1;7;Luiz Júnior;Portero;Pau Navarro;Defensor;Willy Kambwala;Defensor;Logan Costa;Defensor;Sergi Cardona;Defensor;Yéremy Pino;Mediocampista;Pape Gueye;Mediocampista;Santiago Comesaña Veiga;Mediocampista;Denis Suárez;Mediocampista;Thierno Barry;Delantero;Ayoze Pérez;Delantero;1;0;1;0;1;0;0;1
22/12/24;Villarreal;1;1;9;37;47;Leganés;18;9;65;516;87;15;2;0;5;Luiz Júnior;Portero;Kiko Femenía;Defensor;Raúl Albiol;Defensor;Logan Costa;Defensor;Sergi Cardona;Defensor;Yéremy Pino;Mediocampista;Santiago Comesaña Veiga;Mediocampista;Pape Gueye;Mediocampista;Denis Suárez;Mediocampista;Álex Baena;Delantero;Thierno Barry;Delantero;2;3;5;1;0;0;1;0
13/1/24;Villarreal;1;1;7;37;46;Real Sociedad;15;5;43;338;76;6;2;0;7;Luiz Júnior;Portero;Kiko Femenía;Defensor;Juan Marcos Foyth;Defensor;Willy Kambwala;Defensor;Sergi Cardona;Defensor;Denis Suárez;Mediocampista;Santiago Comesaña Veiga;Mediocampista;Dani Parejo;Mediocampista;Álex Baena;Mediocampista;Pape Gueye;Delantero;Thierno Barry;Delantero;0;0;0;0;0;1;1;0
20/1/24;Villarreal;1;1;1;37;40;R.C.D. Mallorca;14;7;43;391;85;9;1;0;6;Luiz Júnior;Portero;Kiko Femenía;Defensor;Juan Marcos Foyth;Defensor;Logan Costa;Defensor;Sergi Cardona;Defensor;Yéremy Pino;Mediocampista;Pape Gueye;Mediocampista;Dani Parejo;Mediocampista;Álex Baena;Mediocampista;Gerard Moreno Balagueró;Delantero;Thierno Barry;Delantero;4;0;4;1;0;0;0;1
25/1/24;Villarreal;1;1;1;37;27;Atlético Madrid;11;1;41;399;81;14;2;0;6;Luiz Júnior;Portero;Kiko Femenía;Defensor;Willy Kambwala;Defensor;Logan Costa;Defensor;Sergi Cardona;Defensor;Yéremy Pino;Mediocampista;Santiago Comesaña Veiga;Mediocampista;Pape Gueye;Mediocampista;Álex Baena;Mediocampista;Gerard Moreno Balagueró;Delantero;Thierno Barry;Delantero;1;0;1;0;1;0;1;0
