Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Aaron Ramsdale-Southampton;Taylor Harwood-Bellis-Southampton;Jan Bednarek-Southampton;Jack Stephens-Southampton;Kyle Walker-Peters-Southampton;Flynn Downes-Southampton;Lesley Ugochukwu-Southampton;Ryan Manning-Southampton;Mateus Fernandes-Southampton;Kamaldeen Sulemana-Southampton;Ross C. Stewart-Southampton;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Paul Onuachu-Southampton;Cameron Archer-Southampton;Joe Aribo-Southampton;Tyler Dibling-Southampton;Armel Bella-Kotchap-Southampton;Yukinari Sugawara-Southampton;Will Smallbone-Southampton;Albert Grønbæk-Southampton;James Bree-Southampton;Welington-Southampton;Nathan Wood-Southampton;Alex McCarthy-Southampton;Adam Armstrong-Southampton;Joe Lumley-Southampton;Ryan Fraser-Southampton;Adam Lallana-Southampton;Charlie Taylor-Southampton;Maxwel Cornet-Southampton;Ben Brereton Díaz-Southampton;Ronnie Edwards-Southampton;Samuel Amo-Ameyaw-Southampton;Samuel Edozie-Southampton;David Brooks-Southampton;Che Adams-Southampton;Shea Charles-Southampton;Sékou Mara-Southampton;Joe Rothwell-Southampton;Stuart Armstrong-Southampton;Gavin Bazunu-Southampton;Mason Holgate-Southampton;Jayden Meghoma-Southampton;Carlos Jonás Alcaraz-Southampton;Nathan Tella-Southampton;Lyanco-Southampton;Romain Perraud-Southampton;Moussa Djenepo-Southampton;James Ward-Prowse-Southampton;Roméo Lavia-Southampton;Theo Walcott-Southampton;Mohamed Elyounoussi-Southampton;Ainsley Maitland-Niles-Southampton;Duje Ćaleta-Car-Southampton;Ibrahima Diallo-Southampton;Mislav Oršić-Southampton;Mohamed Salisu Abdul Karim-Southampton
2025-05-03;Southampton;3;17;3;68;63;Leicester City;3;1;8;14;2;4;0.51;0.49;455;0.87;13;12;3;1;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6;0.034999999999999996;0.23076923076923078;396;0.03282828282828283;776.4705882352941;0.875;13.72549019607843;-6;0.020000000000000018;1;2;1;0.017582417582417582;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Southampton;3;17;0;68;58;Fulham;1;1;7;26;3;5;0.35;0.65;319;0.77;10;12;1;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13;0.025;0.1;246;0.04065040650406504;702.8571428571429;0.0;0.0;-19;-0.30000000000000004;-13;0;-2;0.0219435736677116;0.14285714285714285;0.35;0.0;1;0;1;0;0;1;0;1;0.14285714285714285;0.3333333333333333;0.003134796238244514;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Southampton;3;17;3;68;61;West Ham;1;2;15;12;4;4;0.48;0.52;455;0.87;13;14;1;2;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.043333333333333335;0.07692307692307693;396;0.03282828282828283;825.0;0.3333333333333333;10.416666666666668;3;-0.040000000000000036;3;-1;-1;0.03296703296703297;0.06666666666666667;0.48;5.0;0;1;1;0;1;0;1;0;0.06666666666666667;0.25;0.002197802197802198;15.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Southampton;3;6;3;68;1;Aston Villa;3;1;7;25;2;10;0.39;0.61;354;0.86;11;4;3;1;0;0;2;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;13;0.024399999999999998;0.2727272727272727;304;0.03618421052631579;779.4871794871794;0.2857142857142857;5.128205128205128;-18;-0.21999999999999997;-11;2;7;0.01977401129943503;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Southampton;3;3;0;68;56;Tottenham;1;1;12;13;4;8;0.49;0.51;470;0.88;20;16;1;1;0;0;1;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;4;0.03923076923076923;0.05;414;0.04830917874396135;844.8979591836735;0.08333333333333333;2.0408163265306123;-1;-0.020000000000000018;-3;0;4;0.02553191489361702;0.08333333333333333;0.49;1.0;0;1;1;0;0;1;1;0;0.08333333333333333;0.25;0.002127659574468085;12.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Southampton;3;17;17;68;65;Crystal Palace;2;1;8;9;2;3;0.42;0.58;382;0.78;14;9;2;1;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.06444444444444444;0.14285714285714285;298;0.04697986577181208;709.5238095238095;0.25;4.761904761904762;-1;-0.15999999999999998;0;1;5;0.020942408376963352;0.125;0.42;2.0;1;0;1;0;1;0;0;1;0.125;0.5;0.002617801047120419;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Southampton;3;6;17;68;67;Wolves;0;0;10;5;3;3;0.6;0.4;596;0.89;12;13;0;0;0;0;5;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1;0.08;0.0;530;0.022641509433962263;883.3333333333334;0.5;8.333333333333334;5;0.19999999999999996;4;0;-1;0.016778523489932886;0.1;0.6;5.0;0;1;1;0;0;1;0;1;0.1;0.3333333333333333;0.0016778523489932886;10.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Southampton;3;3;0;68;2;Liverpool;1;2;6;28;4;7;0.28;0.72;267;0.76;9;10;1;2;0;0;4;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;6;0.025714285714285714;0.1111111111111111;203;0.04433497536945813;724.9999999999999;0.6666666666666666;14.285714285714285;-22;-0.43999999999999995;-2;-1;-1;0.02247191011235955;0.16666666666666666;0.28;4.0;1;0;1;0;0;1;1;0;0.16666666666666666;0.25;0.003745318352059925;6.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Southampton;3;9;3;68;53;Chelsea;2;1;7;19;2;10;0.4;0.6;415;0.84;9;6;2;1;0;0;2;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;4;0.031578947368421054;0.2222222222222222;349;0.025787965616045846;872.5;0.2857142857142857;5.0;-12;-0.19999999999999996;-2;1;3;0.016867469879518072;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Southampton;3;6;3;68;54;Brighton;2;0;6;18;1;12;0.49;0.51;431;0.8;11;12;2;0;0;0;5;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;6;0.028333333333333335;0.18181818181818182;345;0.03188405797101449;704.0816326530612;0.8333333333333334;10.204081632653061;-12;-0.020000000000000018;-1;2;-1;0.013921113689095127;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Southampton;3;29;3;68;59;Bournemouth;1;3;11;14;4;7;0.44;0.56;386;0.79;13;15;1;3;0;0;4;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;6;0.04;0.07692307692307693;305;0.04262295081967213;693.1818181818181;0.36363636363636365;9.090909090909092;-3;-0.12000000000000005;-2;-2;-2;0.02849740932642487;0.09090909090909091;0.44;4.0;0;1;1;0;0;1;0;1;0.09090909090909091;0.25;0.0025906735751295338;11.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Southampton;15;29;9;68;819;Burnley;2;1;10;6;3;5;0.59;0.41;557;0.87;17;15;2;1;0;0;2;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0;0.06833333333333333;0.11764705882352941;485;0.03505154639175258;822.0338983050848;0.2;3.3898305084745766;4;0.18;2;1;2;0.017953321364452424;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Southampton;3;17;3;68;66;Ipswich;3;0;9;15;4;6;0.43;0.57;402;0.77;14;11;3;0;0;0;2;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1;0.038;0.21428571428571427;310;0.04516129032258064;720.9302325581396;0.2222222222222222;4.651162790697675;-6;-0.13999999999999996;1;3;3;0.022388059701492536;0.2222222222222222;0.215;1.0;1;1;2;1;0;0;1;0;0.2222222222222222;0.5;0.004975124378109453;4.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
