Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
24/11/24;St. Pauli;9;6;3;176;172;Mönchengladbach;15;3;51;550;87;8;0;0;4;Nikola Vasilj;Portero;Hauke Wahl;Defensor;Eric Smith;Defensor;David Nemeth;Defensor;Manolis Saliakas;Mediocampista;Jackson Irvine;Mediocampista;Carlo Boukhalfa;Mediocampista;Philipp Treu;Mediocampista;Oladapo Afolayan;Delantero;Johannes Eggestein;Delantero;Morgan Guilavogui;Delantero;0;0;0;0;0;1;1;0
9/11/24;St. Pauli;9;9;3;176;23;Bayern;3;0;25;268;73;10;2;0;5;Nikola Vasilj;Portero;Manolis Saliakas;Defensor;Hauke Wahl;Defensor;Eric Smith;Defensor;Karol Mets;Defensor;Lars Ritzka;Defensor;Morgan Guilavogui;Mediocampista;Jackson Irvine;Mediocampista;Carlo Boukhalfa;Mediocampista;Oladapo Afolayan;Mediocampista;Johannes Eggestein;Delantero;0;0;0;0;0;1;0;1
2/11/24;St. Pauli;9;17;29;176;97;Hoffenheim;7;3;32;306;71;10;1;0;2;Nikola Vasilj;Portero;Hauke Wahl;Defensor;Eric Smith;Defensor;Karol Mets;Defensor;Manolis Saliakas;Mediocampista;Jackson Irvine;Mediocampista;Carlo Boukhalfa;Mediocampista;Philipp Treu;Mediocampista;Oladapo Afolayan;Mediocampista;Morgan Guilavogui;Mediocampista;Johannes Eggestein;Delantero;1;1;2;1;0;0;1;0
29/10/24;St. Pauli;23;6;6;176;31;RB Leipzig;17;4;54;630;84;7;1;0;7;Nikola Vasilj;Portero;Hauke Wahl;Defensor;Eric Smith;Defensor;Karol Mets;Defensor;Manolis Saliakas;Mediocampista;Jackson Irvine;Mediocampista;Robert Wagner;Mediocampista;Philipp Treu;Mediocampista;Oladapo Afolayan;Delantero;Johannes Eggestein;Delantero;Morgan Guilavogui;Delantero;1;1;2;0;0;1;1;0
26/10/24;St. Pauli;9;6;3;176;175;Wolfsburg;14;5;54;499;80;9;0;0;7;Nikola Vasilj;Portero;Hauke Wahl;Defensor;Eric Smith;Defensor;Karol Mets;Defensor;Manolis Saliakas;Mediocampista;Jackson Irvine;Mediocampista;Carlo Boukhalfa;Mediocampista;Philipp Treu;Mediocampista;Danel Sinani;Delantero;Johannes Eggestein;Delantero;Morgan Guilavogui;Delantero;0;0;0;0;1;0;0;1
18/10/24;St. Pauli;9;6;3;176;11;Dortmund;10;3;24;250;75;7;1;0;1;Nikola Vasilj;Portero;Hauke Wahl;Defensor;Eric Smith;Defensor;Karol Mets;Defensor;Manolis Saliakas;Mediocampista;Jackson Irvine;Mediocampista;Robert Wagner;Mediocampista;Philipp Treu;Mediocampista;Oladapo Afolayan;Delantero;Johannes Eggestein;Delantero;Morgan Guilavogui;Delantero;0;1;1;0;0;1;1;0
5/10/24;St. Pauli;9;17;17;176;174;Mainz 05;19;4;56;504;79;12;0;0;2;Nikola Vasilj;Portero;Hauke Wahl;Defensor;Eric Smith;Defensor;Karol Mets;Defensor;Manolis Saliakas;Mediocampista;Jackson Irvine;Mediocampista;Robert Wagner;Mediocampista;Philipp Treu;Mediocampista;Oladapo Afolayan;Mediocampista;Elias Saad;Mediocampista;Johannes Eggestein;Delantero;0;0;0;0;0;1;0;1
28/9/24;St. Pauli;9;6;3;176;170;Friburgo;10;4;26;235;65;18;3;0;2;Nikola Vasilj;Portero;Hauke Wahl;Defensor;Eric Smith;Defensor;Karol Mets;Defensor;Manolis Saliakas;Mediocampista;Jackson Irvine;Mediocampista;Carlo Boukhalfa;Mediocampista;Philipp Treu;Mediocampista;Oladapo Afolayan;Delantero;Johannes Eggestein;Delantero;Elias Saad;Delantero;2;1;3;1;0;0;1;0
22/9/24;St. Pauli;9;6;1;176;31;RB Leipzig;17;4;30;325;71;6;2;0;3;Nikola Vasilj;Portero;Hauke Wahl;Defensor;Eric Smith;Defensor;Karol Mets;Defensor;Manolis Saliakas;Mediocampista;Jackson Irvine;Mediocampista;Carlo Boukhalfa;Mediocampista;Philipp Treu;Mediocampista;Oladapo Afolayan;Delantero;Johannes Eggestein;Delantero;Elias Saad;Delantero;0;0;0;0;1;0;0;1
15/9/24;St. Pauli;9;2;17;176;173;Augsburgo;11;3;57;434;79;10;3;0;7;Nikola Vasilj;Portero;Hauke Wahl;Defensor;Eric Smith;Defensor;Karol Mets;Defensor;Philipp Treu;Mediocampista;Robert Wagner;Mediocampista;Jackson Irvine;Mediocampista;Carlo Boukhalfa;Mediocampista;Lars Ritzka;Mediocampista;Johannes Eggestein;Delantero;Morgan Guilavogui;Delantero;0;1;1;0;0;1;1;0
30/8/24;St. Pauli;9;30;17;176;169;FC Union Berlin;8;1;61;589;78;11;1;0;4;Nikola Vasilj;Portero;Hauke Wahl;Defensor;Eric Smith;Defensor;Karol Mets;Defensor;Jackson Irvine;Mediocampista;Philipp Treu;Mediocampista;Lars Ritzka;Mediocampista;Robert Wagner;Mediocampista;Connor Metcalfe;Mediocampista;Johannes Eggestein;Delantero;Morgan Guilavogui;Delantero;0;0;0;0;0;1;1;0
