Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
22/11/24;Stade Brestois;2;0;3;5;4;Mónaco;12;4;48;451;76;12;2;0;8;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Julien Le Cardinal;Defensor;Jordan Amavi;Defensor;Mahdi Camara;Mediocampista;Pierre Lees-Melou;Mediocampista;Hugo Magnetti;Mediocampista;Romain Del Castillo;Delantero;Ludovic Ajorque;Delantero;Abdallah Sima;Delantero;0;2;2;0;0;1;1;0
10/11/24;Stade Brestois;2;0;3;5;775;Montpellier;19;6;68;497;84;13;1;0;7;Marco Bizot;Portero;Luck Zogbé;Defensor;Brendan Chardonnet;Defensor;Abdoulaye Ndiaye;Defensor;Jordan Amavi;Defensor;Hugo Magnetti;Mediocampista;Pierre Lees-Melou;Mediocampista;Jonas Martin;Mediocampista;Romain Faivre;Delantero;Mama Baldé;Delantero;Ibrahim Salah;Delantero;0;1;1;0;0;1;1;0
6/11/24;Stade Brestois;0;20;6;5;21;Sparta Praha;18;7;49;404;73;7;1;0;6;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Soumaïla Coulibaly;Defensor;Massadio Haïdara;Defensor;Mahdi Camara;Mediocampista;Pierre Lees-Melou;Mediocampista;Edimilson Fernandes;Mediocampista;Mama Baldé;Mediocampista;Kamory Doumbia;Mediocampista;Ludovic Ajorque;Delantero;1;1;2;1;0;0;1;0
2/11/24;Stade Brestois;2;0;17;5;109;Niza;16;6;64;591;85;9;0;0;6;Marco Bizot;Portero;Kenny Lala;Defensor;Julien Le Cardinal;Defensor;Soumaïla Coulibaly;Defensor;Jordan Amavi;Defensor;Mahdi Camara;Mediocampista;Pierre Lees-Melou;Mediocampista;Hugo Magnetti;Mediocampista;Romain Del Castillo;Delantero;Ludovic Ajorque;Delantero;Mama Baldé;Delantero;0;0;0;0;0;1;0;1
26/10/24;Stade Brestois;2;3;0;5;766;Reims;13;4;47;377;78;11;2;0;3;Marco Bizot;Portero;Luck Zogbé;Defensor;Brendan Chardonnet;Defensor;Soumaïla Coulibaly;Defensor;Massadio Haïdara;Defensor;Edimilson Fernandes;Mediocampista;Jonas Martin;Mediocampista;Romain Faivre;Mediocampista;Kamory Doumbia;Mediocampista;Ibrahim Salah;Mediocampista;Mama Baldé;Delantero;2;0;2;1;0;0;1;0
23/10/24;Stade Brestois;0;0;3;5;6;Leverkusen;11;3;41;452;84;10;2;0;2;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Soumaïla Coulibaly;Defensor;Massadio Haïdara;Defensor;Mahdi Camara;Mediocampista;Pierre Lees-Melou;Mediocampista;Hugo Magnetti;Mediocampista;Romain Del Castillo;Delantero;Ludovic Ajorque;Delantero;Abdallah Sima;Delantero;1;0;1;0;1;0;0;1
19/10/24;Stade Brestois;2;0;17;5;768;Rennes;12;2;56;461;77;18;2;0;2;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Abdoulaye Ndiaye;Defensor;Jordan Amavi;Defensor;Mahdi Camara;Mediocampista;Pierre Lees-Melou;Mediocampista;Hugo Magnetti;Mediocampista;Romain Del Castillo;Delantero;Ludovic Ajorque;Delantero;Mathias Pereira Lage;Delantero;0;1;1;0;1;0;0;1
6/10/24;Stade Brestois;2;3;30;5;774;Le Havre;8;3;54;435;78;19;2;1;1;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Abdoulaye Ndiaye;Defensor;Massadio Haïdara;Defensor;Mahdi Camara;Mediocampista;Hugo Magnetti;Mediocampista;Mama Baldé;Mediocampista;Kamory Doumbia;Mediocampista;Mathias Pereira Lage;Mediocampista;Ludovic Ajorque;Delantero;1;1;2;1;0;0;0;1
1/10/24;Stade Brestois;0;0;0;5;34;RB Salzburg;13;6;48;426;80;11;2;0;0;Marco Bizot;Portero;Kenny Lala;Defensor;Julien Le Cardinal;Defensor;Soumaïla Coulibaly;Defensor;Massadio Haïdara;Defensor;Mahdi Camara;Mediocampista;Edimilson Fernandes;Mediocampista;Hugo Magnetti;Mediocampista;Romain Del Castillo;Delantero;Ludovic Ajorque;Delantero;Abdallah Sima;Delantero;1;3;4;1;0;0;1;0
27/9/24;Stade Brestois;2;0;4;5;770;Auxerre;8;4;62;507;82;16;0;0;3;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Soumaïla Coulibaly;Defensor;Jordan Amavi;Defensor;Mahdi Camara;Mediocampista;Edimilson Fernandes;Mediocampista;Romain Faivre;Mediocampista;Romain Del Castillo;Delantero;Ludovic Ajorque;Delantero;Abdallah Sima;Delantero;0;0;0;0;0;1;1;0
22/9/24;Stade Brestois;2;22;17;5;772;Toulouse;8;5;43;362;74;15;1;0;4;Marco Bizot;Portero;Luck Zogbé;Defensor;Julien Le Cardinal;Defensor;Abdoulaye Ndiaye;Defensor;Massadio Haïdara;Defensor;Hugo Magnetti;Mediocampista;Mathias Pereira Lage;Mediocampista;Jonas Martin;Mediocampista;Kamory Doumbia;Mediocampista;Mama Baldé;Delantero;Ibrahim Salah;Delantero;1;1;2;1;0;0;0;1
19/9/24;Stade Brestois;0;0;22;5;32;Sturm;14;5;57;378;77;14;3;0;6;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Soumaïla Coulibaly;Defensor;Jordan Amavi;Defensor;Mahdi Camara;Mediocampista;Edimilson Fernandes;Mediocampista;Hugo Magnetti;Mediocampista;Romain Faivre;Delantero;Ludovic Ajorque;Delantero;Abdallah Sima;Delantero;1;1;2;1;0;0;0;1
31/8/24;Stade Brestois;2;0;3;5;773;Saint-Étienne;22;9;47;322;74;12;0;0;7;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Julien Le Cardinal;Defensor;Jordan Amavi;Defensor;Mahdi Camara;Mediocampista;Hugo Magnetti;Mediocampista;Romain Faivre;Mediocampista;Romain Del Castillo;Delantero;Ludovic Ajorque;Delantero;Abdallah Sima;Delantero;2;2;4;1;0;0;0;1
25/8/24;Stade Brestois;2;0;29;5;765;Lens;11;2;48;461;79;7;3;0;2;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Julien Le Cardinal;Defensor;Jordan Amavi;Defensor;Mahdi Camara;Mediocampista;Jonas Martin;Mediocampista;Hugo Magnetti;Mediocampista;Romain Del Castillo;Delantero;Ludovic Ajorque;Delantero;Romain Faivre;Delantero;0;0;0;0;0;1;1;0
17/8/24;Stade Brestois;2;0;3;5;764;Marsella;10;7;49;493;85;12;4;0;5;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Julien Le Cardinal;Defensor;Jordan Amavi;Defensor;Mahdi Camara;Mediocampista;Jonas Martin;Mediocampista;Mathias Pereira Lage;Mediocampista;Romain Del Castillo;Delantero;Ludovic Ajorque;Delantero;Jérémy Le Douaron;Delantero;1;0;1;0;0;1;0;1
10/8/24;Stade Brestois;6;5;3;5;60;Newcastle;13;6;60;491;87;16;0;0;10;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Julien Le Cardinal;Defensor;Jordan Amavi;Defensor;Romain Del Castillo;Mediocampista;Jonas Martin;Mediocampista;Mahdi Camara;Mediocampista;Hugo Magnetti;Mediocampista;Mathias Pereira Lage;Mediocampista;Jérémy Le Douaron;Delantero;0;0;0;0;0;1;1;0
3/8/24;Stade Brestois;6;5;3;5;14;Juventus;7;3;49;458;90;7;0;0;2;Grégoire Coudert;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Abdoulaye Ndiaye;Defensor;Jordan Amavi;Defensor;Romain Del Castillo;Mediocampista;Hugo Magnetti;Mediocampista;Jonas Martin;Mediocampista;Mahdi Camara;Mediocampista;Jérémy Le Douaron;Mediocampista;Ludovic Ajorque;Delantero;0;2;2;0;1;0;1;0
19/5/24;Stade Brestois;2;14;6;5;772;Toulouse;12;6;48;454;83;17;2;0;2;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Lilian Brassier;Defensor;Jordan Amavi;Defensor;Hugo Magnetti;Mediocampista;Mahdi Camara;Mediocampista;Kamory Doumbia;Mediocampista;Mathias Pereira Lage;Mediocampista;Steve Mounié;Delantero;Martín Satriano;Delantero;0;3;3;1;0;0;1;0
10/5/24;Stade Brestois;2;3;3;5;766;Reims;16;5;61;485;82;12;2;0;3;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Lilian Brassier;Defensor;Bradley Locko;Defensor;Jonas Martin;Mediocampista;Hugo Magnetti;Mediocampista;Martín Satriano;Mediocampista;Mahdi Camara;Mediocampista;Jérémy Le Douaron;Mediocampista;Steve Mounié;Delantero;1;0;1;0;1;0;0;1
4/5/24;Stade Brestois;2;3;6;5;769;Nantes;9;2;72;705;87;7;3;0;6;Marco Bizot;Portero;Kenny Lala;Defensor;Brendan Chardonnet;Defensor;Lilian Brassier;Defensor;Bradley Locko;Defensor;Pierre Lees-Melou;Mediocampista;Hugo Magnetti;Mediocampista;Romain Del Castillo;Mediocampista;Mahdi Camara;Mediocampista;Martín Satriano;Mediocampista;Steve Mounié;Delantero;0;0;0;0;1;0;0;1
