Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Rafael Pires-São Paulo;Cédric Soares-São Paulo;Ruan Tressoldi-São Paulo;Alan Franco-São Paulo;Wendell-São Paulo;Alisson Euler de Freitas Castro-São Paulo;Marcos Antônio Silva Santos-São Paulo;Lucas Ferreira-São Paulo;Luciano da Rocha Neves-São Paulo;Matheus Alves Nascimento-São Paulo;André Silva-São Paulo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Igor Vinícius-São Paulo;Nahuel Ferraresi-São Paulo;José Sabino Chagas Monteiro-São Paulo;Enzo Díaz-São Paulo;Damián Bobadilla-São Paulo;Ferreira-São Paulo;Ryan Francisco-São Paulo;Robert Arboleda-São Paulo;Jonathan Calleri-São Paulo;Luiz Gustavo-São Paulo;Oscar-São Paulo;Lucas Moura-São Paulo;Pablo Maia-São Paulo;Jandrei-São Paulo;Patryck-São Paulo;Erick de Arruda Serafim-São Paulo;Santiago Longo-São Paulo;João Moreira-São Paulo;Hugo Leonardo-São Paulo;Henrique Carmo-São Paulo;Rodriguinho-São Paulo;William Gomes-São Paulo;Rafinha-São Paulo;Jamal Lewis-São Paulo;Welington-São Paulo;Wellington Rato-São Paulo;Michel Araújo-São Paulo;Igor Liziero-São Paulo;Rodrigo Nestor-São Paulo;Juan Santos da Silva-São Paulo;Diego Henrique Costa Barbosa-São Paulo;Giuliano Galoppo-São Paulo;James Rodríguez-São Paulo;Nikão-São Paulo;Nathan-São Paulo;Lucas Beraldo-São Paulo;Caio Paulista-São Paulo;Erison Danilo de Souza-São Paulo;Gabriel Neves-São Paulo;David Corrêa da Fonseca-São Paulo;Luan Vinicius da Silva Santos-São Paulo;Matheus Belém-São Paulo;Alexandre Pato-São Paulo;Talles Macedo Toledo Costa-São Paulo;Matheus Alves-São Paulo
2025-05-14;São Paulo;-1;3;7;201;226;Libertad;2;2;14;7;3;1;0.55;0.45;510;0.9;9;9;1;2;1;0;6;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;4;0.0642857142857143;0.2222222222222222;459;0.0196078431372549;834.5454545454545;0.4285714285714285;10.909090909090908;7;0.1;2;0;0;0.0274509803921568;0.0714285714285714;0.55;6.0;0;1;1;0;1;0;0;1;0.0714285714285714;0.3333333333333333;0.0019607843137254;14.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-11;São Paulo;10;3;17;201;217;Palmeiras;2;1;6;17;2;4;0.42;0.58;362;0.75;16;12;2;1;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;10;0.0341176470588235;0.125;272;0.0588235294117647;647.6190476190476;0.1666666666666666;2.380952380952381;-11;-0.1599999999999999;-9;1;4;0.0165745856353591;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2025-05-06;São Paulo;-1;3;0;201;200;Alianza Lima;2;3;13;10;3;1;0.53;0.47;468;0.84;13;10;2;2;0;1;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;4;0.047;0.1538461538461538;393;0.0330788804071246;741.5094339622641;0.2307692307692307;5.660377358490566;3;0.06;-1;-1;3;0.0277777777777777;0.1538461538461538;0.265;1.5;1;1;2;1;0;0;1;0;0.1538461538461538;0.6666666666666666;0.0042735042735042;6.5;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2025-05-02;São Paulo;10;3;0;201;644;Fortaleza;2;2;14;17;4;1;0.55;0.45;402;0.88;15;19;2;2;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;13;0.0264705882352941;0.1333333333333333;354;0.0423728813559322;643.6363636363636;0.3571428571428571;9.09090909090909;-3;0.1;-8;0;-4;0.0348258706467661;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2025-04-29;São Paulo;12;3;0;201;699;Náutico;1;2;17;9;6;1;0.59;0.41;538;0.85;13;12;1;2;0;0;11;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0455555555555555;0.0769230769230769;457;0.0284463894967177;774.5762711864407;0.6470588235294118;18.64406779661017;8;0.18;7;-1;1;0.0315985130111524;0.1176470588235294;0.295;5.5;1;1;2;1;0;0;0;1;0.1176470588235294;0.3333333333333333;0.0037174721189591;8.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;São Paulo;10;3;3;201;680;Ceará;5;2;14;7;4;2;0.6;0.4;440;0.87;19;13;5;2;0;0;2;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;3;0.0571428571428571;0.2631578947368421;383;0.0496083550913838;638.3333333333334;0.1428571428571428;3.333333333333333;7;0.1999999999999999;-1;3;6;0.0318181818181818;0.0714285714285714;0.6;2.0;1;0;1;0;1;0;1;0;0.0714285714285714;0.25;0.0022727272727272;14.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-23;São Paulo;-1;3;1;201;226;Libertad;2;2;7;11;2;3;0.6;0.4;535;0.87;12;10;2;2;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;6;0.0363636363636363;0.1666666666666666;465;0.0258064516129032;775.0;0.2857142857142857;3.333333333333333;-4;0.1999999999999999;-4;0;2;0.0130841121495327;0.2857142857142857;0.3;1.0;0;2;2;1;0;0;1;0;0.2857142857142857;1.0;0.0037383177570093;3.5;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;São Paulo;10;3;3;201;662;Santos;7;3;6;15;3;3;0.41;0.59;323;0.79;17;13;7;3;0;0;5;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;5;0.0393333333333333;0.4117647058823529;255;0.0666666666666666;621.9512195121952;0.8333333333333334;12.195121951219512;-9;-0.18;0;4;4;0.0185758513931888;0.3333333333333333;0.205;2.5;2;0;2;1;0;0;0;1;0.3333333333333333;0.6666666666666666;0.0061919504643962;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;São Paulo;10;17;3;201;210;Botafogo;4;0;14;23;4;8;0.43;0.57;399;0.84;4;11;4;0;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;9;0.0247826086956521;1.0;335;0.0119402985074626;779.0697674418604;0.2857142857142857;9.30232558139535;-9;-0.1399999999999999;-5;4;-7;0.0350877192982456;0.1428571428571428;0.215;2.0;2;0;2;0;1;0;1;0;0.1428571428571428;0.5;0.0050125313283208;7.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;São Paulo;10;3;3;201;636;Cruzeiro;5;6;11;15;2;2;0.58;0.42;401;0.81;14;21;5;6;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.028;0.3571428571428571;325;0.043076923076923;560.344827586207;0.3636363636363636;6.896551724137932;-4;0.1599999999999999;-2;-1;-7;0.027431421446384;0.0909090909090909;0.58;4.0;0;1;1;0;1;0;0;1;0.0909090909090909;0.5;0.0024937655860349;11.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
