Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Guglielmo Vicario-Tottenham;Pedro Porro-Tottenham;Cuti Romero-Tottenham;Micky van de Ven-Tottenham;Destiny Udogie-Tottenham;Lucas Bergvall-Tottenham;Rodrigo Bentancur-Tottenham;James Maddison-Tottenham;Brennan Johnson-Tottenham;Dominic Solanke-Tottenham;Mathys Tel-Tottenham;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Archie Gray-Tottenham;Ben Davies-Tottenham;Djed Spence-Tottenham;Pape Matar Sarr-Tottenham;Yves Bissouma-Tottenham;Son Heung-Min-Tottenham;Wilson Odobert-Tottenham;Kevin Danso-Tottenham;Dejan Kulusevski-Tottenham;Antonín Kinský-Tottenham;Mikey Moore-Tottenham;Richarlison-Tottenham;Brandon Austin-Tottenham;Radu Drăgușin-Tottenham;Sergio Reguilón-Tottenham;Timo Werner-Tottenham;Fraser Forster-Tottenham;Will Lankshear-Tottenham;Emerson Royal-Tottenham;Jamie Donley-Tottenham;Oliver Skipp-Tottenham;Manor Solomon-Tottenham;Pierre-Emile Højbjerg-Tottenham;Giovani Lo Celso-Tottenham;Bryan Gil-Tottenham;Eric Dier-Tottenham;Davinson Sánchez-Tottenham;Ivan Perišić-Tottenham;Harry Kane-Tottenham;Japhet Tanganga-Tottenham;Clément Lenglet-Tottenham;Arnaut Danjuma-Tottenham;Hugo Lloris-Tottenham;Lucas Moura-Tottenham;Matt Doherty-Tottenham;Ryan Sessegnon-Tottenham
2025-05-08;Tottenham;5;3;0;56;89;Bodø/Glimt;2;1;8;7;3;2;0.31;0.69;257;0.73;10;8;2;1;0;0;8;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;3;0.09857142857142856;0.2;188;0.05319148936170213;606.4516129032259;1.0;25.806451612903228;1;-0.37999999999999995;5;1;2;0.0311284046692607;0.25;0.155;4.0;0;2;2;1;0;0;1;0;0.25;0.6666666666666666;0.007782101167315175;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Tottenham;3;0;17;56;61;West Ham;2;2;7;11;2;2;0.44;0.56;360;0.72;15;18;2;2;0;0;3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;0.05090909090909091;0.13333333333333333;259;0.05791505791505792;588.6363636363636;0.42857142857142855;6.818181818181818;-4;-0.12000000000000005;2;0;-3;0.019444444444444445;0.14285714285714285;0.44;3.0;1;0;1;0;1;0;1;0;0.14285714285714285;0.5;0.002777777777777778;7.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01;Tottenham;5;0;0;56;89;Bodø/Glimt;1;2;24;3;7;1;0.41;0.59;353;0.81;12;7;1;2;0;0;13;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1;0.19666666666666666;0.08333333333333333;286;0.04195804195804196;697.5609756097562;0.5416666666666666;31.707317073170735;21;-0.18;12;-1;5;0.0679886685552408;0.125;0.13666666666666666;4.333333333333333;2;1;3;1;0;0;0;1;0.125;0.42857142857142855;0.0084985835694051;8.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Tottenham;3;0;3;56;2;Liverpool;1;2;8;25;3;8;0.38;0.62;320;0.73;9;16;1;2;0;0;2;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;8;0.0248;0.1111111111111111;234;0.038461538461538464;615.7894736842105;0.25;5.2631578947368425;-17;-0.24;-6;-1;-7;0.025;0.125;0.38;2.0;1;0;1;0;0;1;1;0;0.125;0.3333333333333333;0.003125;8.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-21;Tottenham;3;0;13;56;55;Nottingham Forest;1;4;22;4;6;3;0.7;0.3;526;0.88;11;12;1;4;0;0;7;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1;0.075;0.09090909090909091;463;0.023758099352051837;661.4285714285714;0.3181818181818182;10.0;18;0.39999999999999997;6;-3;-1;0.04182509505703422;0.045454545454545456;0.7;7.0;0;1;1;0;0;1;0;1;0.045454545454545456;0.16666666666666666;0.0019011406844106464;22.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-17;Tottenham;5;0;3;56;87;Frankfurt;3;3;12;14;3;5;0.39;0.61;352;0.77;9;7;3;3;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8;0.0435714285714285;0.3333333333333333;271;0.033210332103321;694.8717948717948;0.5833333333333334;17.94871794871795;-2;-0.2199999999999999;-1;0;2;0.034090909090909;0.0833333333333333;0.39;7.0;1;0;1;1;0;0;1;0;0.0833333333333333;0.3333333333333333;0.002840909090909;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Tottenham;3;0;17;56;67;Wolves;2;1;11;13;4;5;0.63;0.37;566;0.88;15;12;2;1;0;0;4;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.0284615384615384;0.1333333333333333;498;0.0301204819277108;790.4761904761905;0.3636363636363636;6.349206349206349;-2;0.26;3;1;3;0.019434628975265;0.1818181818181818;0.315;2.0;0;2;2;0;0;1;1;0;0.1818181818181818;0.5;0.0035335689045936;5.5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-10;Tottenham;5;0;3;56;87;Frankfurt;1;2;10;4;6;2;0.57;0.43;526;0.88;14;15;1;2;0;0;9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.1075;0.0714285714285714;463;0.0302375809935205;812.2807017543861;0.9;15.789473684210527;6;0.1399999999999999;6;-1;-1;0.0190114068441064;0.1;0.57;9.0;1;0;1;0;1;0;0;1;0.1;0.1666666666666666;0.0019011406844106;10.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Tottenham;3;0;3;56;68;Southampton;1;1;13;12;8;4;0.51;0.49;477;0.88;16;20;1;1;0;0;4;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1;0.0408333333333333;0.0625;420;0.0380952380952381;823.5294117647059;0.3076923076923077;7.84313725490196;1;0.02;3;0;-4;0.0272536687631027;0.2307692307692307;0.17;1.3333333333333333;2;1;3;1;0;0;0;1;0.2307692307692307;0.375;0.0062893081761006;4.333333333333333;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-03;Tottenham;3;0;3;56;53;Chelsea;5;5;8;11;2;5;0.5;0.5;438;0.88;16;7;5;5;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;4;0.0454545454545454;0.3125;385;0.0415584415584415;770.0;0.75;12.0;-3;0.0;2;0;9;0.0182648401826484;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
