Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
28/9/24;Udinese;4;2;9;3;39;383;85;13;1;0;7;1;1;2;0;0;1;0;1
25/9/24;Udinese;-1;2;15;4;52;490;88;11;2;0;6;2;1;3;1;0;0;0;1
22/9/24;Udinese;4;17;9;2;38;349;79;11;2;0;1;0;0;0;0;0;1;1;0
16/9/24;Udinese;4;4;18;6;53;453;86;18;3;0;6;0;3;3;1;0;0;1;0
1/9/24;Udinese;4;17;10;3;43;390;82;16;3;0;4;1;0;1;1;0;0;0;1
24/8/24;Udinese;4;17;8;3;34;260;73;15;2;1;4;1;1;2;1;0;0;0;1
18/8/24;Udinese;4;17;4;2;26;200;65;17;4;0;5;0;1;1;0;1;0;1;0
9/8/24;Udinese;-1;17;15;7;61;551;89;12;1;0;4;1;3;4;1;0;0;0;1
26/5/24;Udinese;4;2;10;5;41;266;69;13;2;0;1;0;1;1;1;0;0;1;0
19/5/24;Udinese;4;17;8;2;47;313;71;14;1;0;5;0;1;1;0;1;0;0;1
13/5/24;Udinese;4;17;16;3;35;287;74;11;1;0;2;1;1;2;1;0;0;1;0
6/5/24;Udinese;4;17;10;2;31;256;79;13;0;0;7;0;1;1;0;1;0;0;1
28/4/24;Udinese;4;17;11;4;35;324;83;21;7;0;3;1;0;1;0;1;0;1;0
25/4/24;Udinese;4;17;9;3;27;260;72;15;3;0;4;1;0;1;0;0;1;0;1
20/4/24;Udinese;4;23;18;1;46;305;73;12;2;0;6;0;0;0;0;0;1;1;0
8/4/24;Udinese;4;23;3;1;23;214;59;11;1;0;0;1;0;1;0;0;1;0;1
1/4/24;Udinese;4;23;12;3;40;325;78;10;2;0;1;1;0;1;0;1;0;1;0
16/3/24;Udinese;4;2;12;1;43;342;76;11;3;0;3;0;0;0;0;0;1;0;1
11/3/24;Udinese;4;2;14;5;30;256;72;15;4;1;5;0;2;2;1;0;0;1;0
2/3/24;Udinese;4;23;18;5;49;381;85;13;3;1;5;1;0;1;0;1;0;0;1
24/2/24;Udinese;4;23;5;1;34;315;77;17;2;1;3;0;0;0;0;0;1;1;0
18/2/24;Udinese;4;23;17;3;53;437;83;14;3;0;3;1;0;1;0;1;0;0;1
12/2/24;Udinese;4;23;8;1;29;233;71;10;3;0;4;1;0;1;1;0;0;1;0
3/2/24;Udinese;4;23;21;6;46;423;83;12;3;0;7;0;0;0;0;1;0;0;1
27/1/24;Udinese;4;23;13;5;41;379;79;11;1;0;4;0;0;0;0;0;1;1;0
20/1/24;Udinese;4;23;11;6;30;234;66;12;6;0;5;1;1;2;0;0;1;0;1
14/1/24;Udinese;4;23;12;6;30;231;73;13;1;0;4;1;1;2;0;1;0;1;0
7/1/24;Udinese;4;23;13;2;46;390;79;16;5;0;4;0;1;1;0;0;1;0;1
30/12/23;Udinese;4;23;15;7;26;193;75;15;2;0;7;1;2;3;1;0;0;0;1
23/12/23;Udinese;4;2;10;4;38;313;72;11;2;0;2;0;1;1;0;1;0;1;0
17/12/23;Udinese;4;2;9;7;33;246;70;13;3;1;1;1;1;2;0;1;0;0;1
9/12/23;Udinese;4;-1;11;1;25;276;81;6;1;0;1;0;0;0;0;0;1;1;0
3/12/23;Udinese;4;23;12;6;39;264;68;16;2;0;5;2;1;3;0;1;0;0;1
26/11/23;Udinese;4;2;6;2;35;312;83;15;3;0;1;0;1;1;0;0;1;1;0
4/11/23;Udinese;4;2;12;2;27;211;73;14;2;0;5;0;1;1;1;0;0;1;0
1/11/23;Udinese;-1;2;8;1;40;501;80;11;3;0;2;0;1;1;0;0;1;0;1
29/10/23;Udinese;4;2;10;3;39;371;85;11;2;0;3;0;1;1;0;1;0;1;0
23/10/23;Udinese;4;2;12;6;44;319;72;11;3;0;2;0;1;1;0;1;0;0;1
6/10/23;Udinese;4;2;11;1;40;296;67;15;2;0;7;0;0;0;0;1;0;1;0
1/10/23;Udinese;4;2;11;2;60;421;80;12;2;1;5;1;1;2;0;1;0;0;1
27/9/23;Udinese;4;2;13;3;34;288;86;10;1;0;4;0;1;1;0;0;1;1;0
24/9/23;Udinese;4;2;20;8;49;376;74;13;0;0;10;0;0;0;0;0;1;0;1
17/9/23;Udinese;4;2;11;1;56;454;83;11;1;0;6;0;0;0;0;1;0;1;0
2/9/23;Udinese;4;2;12;6;46;345;76;14;2;0;3;0;0;0;0;1;0;0;1
28/8/23;Udinese;4;2;14;6;44;333;76;19;4;0;5;0;1;1;0;1;0;1;0
20/8/23;Udinese;4;2;18;5;48;429;88;12;1;0;7;0;0;0;0;0;1;0;1
11/8/23;Udinese;-1;2;17;8;42;387;83;15;1;0;3;1;3;4;1;0;0;0;1
4/6/23;Udinese;4;17;13;3;42;352;85;9;2;0;6;0;0;0;0;0;1;0;1
27/5/23;Udinese;4;23;10;4;52;438;80;22;1;1;1;2;0;2;0;0;1;1;0
21/5/23;Udinese;4;23;12;2;39;422;86;15;3;0;3;0;0;0;0;0;1;0;1
