Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Giorgi Mamardashvili-Valencia C. F.;Dimitri Foulquier-Valencia C. F.;Mouctar Diakhaby-Valencia C. F.;Cristhian Mosquera-Valencia C. F.;José Luis Gayà-Valencia C. F.;Luis Rioja González-Valencia C. F.;Javier Guerra Moreno-Valencia C. F.;José Luis García Vayá-Valencia C. F.;Diego López Noguerol-Valencia C. F.;Rafa Mir-Valencia C. F.;Hugo Duro Perales-Valencia C. F.;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;César Tárrega-Valencia C. F.;Enzo Barrenechea-Valencia C. F.;André Almeida-Valencia C. F.;Umar Sadiq-Valencia C. F.;Max Aarons-Valencia C. F.;Jesús Vázquez Alcalde-Valencia C. F.;Iván Jaime Pajuelo-Valencia C. F.;Stole Dimitrievski-Valencia C. F.;Yarek Gasiorowski-Valencia C. F.;Fran Pérez Martínez-Valencia C. F.;Hugo Guillamón-Valencia C. F.;Sergi Canós-Valencia C. F.;Germán Valera-Valencia C. F.;Martín Tejón-Valencia C. F.;Daniel Gómez Alcón-Valencia C. F.;Iker Córdoba-Valencia C. F.;Ismael Santana Vera-Valencia C. F.;Thierry Correia-Valencia C. F.;Maximiliano Caufriez-Valencia C. F.;Rodrigo Abajas-Valencia C. F.;Cenk Özkacar-Valencia C. F.;Alberto Marí-Valencia C. F.;Peter González-Valencia C. F.;Roman Yaremchuk-Valencia C. F.;Jaume Doménech-Valencia C. F.;Selim Amallah-Valencia C. F.;Gabriel Paulista-Valencia C. F.;Rubén Iranzo-Valencia C. F.;Marco Camus-Valencia C. F.;Pablo Gozálbez-Valencia C. F.;Hugo González Sotos-Valencia C. F.;Nico González-Valencia C. F.;Samuel Lino-Valencia C. F.;Justin Kluivert-Valencia C. F.;Antonio Latorre-Valencia C. F.;Eray Cömert-Valencia C. F.;Edinson Cavani-Valencia C. F.;Yunus Musah-Valencia C. F.;Ilaix Moriba-Valencia C. F.;Samu Castillejo-Valencia C. F.;Marcos André-Valencia C. F.
2025-05-10;Valencia C. F.;1;3;1;52;48;Getafe;3;5;10;10;6;3;0.59;0.41;402;0.83;17;20;3;5;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.0409999999999999;0.1764705882352941;334;0.0508982035928143;566.1016949152543;0.2;3.389830508474577;0;0.18;-4;-2;-3;0.0248756218905472;0.3;0.1966666666666666;0.6666666666666666;3;0;3;1;0;0;0;1;0.3;0.5;0.0074626865671641;3.333333333333333;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Valencia C. F.;1;1;3;52;50;U. D. Las Palmas;1;1;10;15;5;3;0.47;0.53;377;0.78;6;12;1;1;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.0353333333333333;0.1666666666666666;294;0.0204081632653061;625.5319148936171;0.5;10.638297872340424;-5;-0.06;-4;0;-6;0.026525198938992;0.3;0.1566666666666666;1.6666666666666667;1;2;3;1;0;0;1;0;0.3;0.6;0.0079575596816976;3.333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-22;Valencia C. F.;1;3;3;52;49;RCD Espanyol;1;1;16;8;7;3;0.67;0.33;629;0.89;7;7;1;1;0;0;6;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.04125;0.1428571428571428;560;0.0125;835.820895522388;0.375;8.955223880597014;8;0.34;2;0;0;0.0254372019077901;0.0625;0.67;6.0;0;1;1;0;1;0;0;1;0.0625;0.1428571428571428;0.0015898251192368;16.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Valencia C. F.;1;1;3;52;42;Rayo Vallecano;1;3;10;11;3;4;0.43;0.57;350;0.78;13;18;1;3;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;5;0.0518181818181818;0.0769230769230769;273;0.0476190476190476;634.8837209302326;0.2;4.651162790697675;-1;-0.1399999999999999;-3;-2;-5;0.0285714285714285;0.1;0.43;2.0;0;1;1;0;1;0;1;0;0.1;0.3333333333333333;0.0028571428571428;10.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-11;Valencia C. F.;1;3;3;52;43;Sevilla;3;2;8;12;6;5;0.52;0.48;448;0.8;10;18;3;2;0;0;3;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;3;0.04;0.3;358;0.0279329608938547;688.4615384615385;0.375;5.769230769230769;-4;0.04;0;1;-8;0.0178571428571428;0.125;0.52;3.0;1;0;1;1;0;0;0;1;0.125;0.1666666666666666;0.0022321428571428;8.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Valencia C. F.;1;9;1;52;12;Real Madrid;4;0;10;21;2;9;0.35;0.65;340;0.76;13;10;4;0;0;0;4;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;9;0.0309523809523809;0.3076923076923077;258;0.0503875968992248;737.1428571428572;0.4;11.428571428571429;-11;-0.3;-5;4;3;0.0294117647058823;0.2;0.175;2.0;1;1;2;1;0;0;1;0;0.2;1.0;0.0058823529411764;5.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Valencia C. F.;1;3;4;52;40;R.C.D. Mallorca;4;4;8;8;2;2;0.44;0.56;340;0.82;16;15;4;4;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;5;0.07;0.25;279;0.057347670250896;634.0909090909091;0.5;9.090909090909092;0;-0.12;-1;0;1;0.0235294117647058;0.125;0.44;4.0;0;1;1;1;0;0;0;1;0.125;0.5;0.0029411764705882;8.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Valencia C. F.;1;9;3;52;24;Girona;1;2;12;14;2;4;0.43;0.57;403;0.82;5;12;1;2;0;0;4;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;9;0.0407142857142857;0.2;330;0.0151515151515151;767.4418604651163;0.3333333333333333;9.30232558139535;-2;-0.1399999999999999;-5;-1;-7;0.0297766749379652;0.0833333333333333;0.43;4.0;0;1;1;0;1;0;1;0;0.0833333333333333;0.5;0.0024813895781637;12.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Valencia C. F.;1;3;1;52;51;Valladolid;1;3;17;11;4;4;0.62;0.38;507;0.86;11;10;1;3;0;0;5;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;4;0.0345454545454545;0.0909090909090909;436;0.0252293577981651;703.2258064516129;0.2941176470588235;8.064516129032258;6;0.24;1;-2;1;0.0335305719921104;0.1176470588235294;0.31;2.5;1;1;2;1;0;0;0;1;0.1176470588235294;0.5;0.0039447731755424;8.5;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Valencia C. F.;1;3;3;52;41;Osasuna;1;2;12;11;5;5;0.49;0.51;445;0.85;7;10;1;2;0;0;3;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;3;0.0463636363636363;0.1428571428571428;378;0.0185185185185185;771.4285714285714;0.25;6.122448979591836;1;-0.02;0;-1;-3;0.0269662921348314;0.25;0.1633333333333333;1.0;2;1;3;0;1;0;1;0;0.25;0.6;0.0067415730337078;4.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
