Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
27/9/24;Valladolid;1;0;13;1;51;410;80;16;3;0;7;0;1;1;0;0;1;0;1
24/9/24;Valladolid;1;0;8;2;45;306;77;12;4;0;4;0;1;1;0;0;1;1;0
21/9/24;Valladolid;1;3;15;2;34;269;71;15;4;0;5;0;0;0;0;1;0;0;1
15/9/24;Valladolid;1;4;6;2;46;406;84;15;5;1;3;0;1;1;0;0;1;1;0
31/8/24;Valladolid;1;7;4;1;29;248;79;12;3;0;1;0;0;0;0;0;1;1;0
28/8/24;Valladolid;1;0;12;2;59;494;87;13;1;0;4;0;0;0;0;1;0;0;1
25/8/24;Valladolid;1;7;8;0;36;359;81;15;1;0;5;0;0;0;0;0;1;1;0
19/8/24;Valladolid;1;5;12;1;45;387;82;15;2;0;3;1;0;1;1;0;0;0;1
2/6/24;Valladolid;7;0;13;3;48;403;82;7;1;0;7;0;1;1;0;0;1;1;0
26/5/24;Valladolid;7;0;14;4;54;411;82;17;4;1;3;0;3;3;1;0;0;0;1
19/5/24;Valladolid;7;0;16;5;61;409;85;11;3;0;6;0;1;1;0;1;0;1;0
11/5/24;Valladolid;7;0;15;2;59;464;78;13;4;0;3;0;0;0;0;1;0;0;1
4/5/24;Valladolid;7;0;15;6;55;467;83;12;3;0;4;1;0;1;1;0;0;1;0
28/4/24;Valladolid;7;0;12;4;48;358;77;19;4;0;5;1;0;1;1;0;0;0;1
20/4/24;Valladolid;7;0;14;9;64;576;89;9;2;0;6;0;3;3;1;0;0;1;0
13/4/24;Valladolid;7;0;19;5;64;505;80;4;2;0;7;0;1;1;1;0;0;0;1
7/4/24;Valladolid;7;0;6;5;39;341;76;7;0;0;0;2;0;2;1;0;0;1;0
30/3/24;Valladolid;7;0;11;3;59;477;81;12;1;0;5;0;0;0;0;1;0;0;1
24/3/24;Valladolid;7;0;19;5;67;593;92;10;2;0;9;0;3;3;1;0;0;0;1
17/3/24;Valladolid;7;0;7;1;49;366;74;15;1;1;4;0;0;0;0;0;1;1;0
9/3/24;Valladolid;7;0;12;3;52;412;73;9;1;0;4;1;1;2;1;0;0;0;1
3/3/24;Valladolid;7;0;9;2;45;403;77;16;3;0;7;1;0;1;0;0;1;1;0
23/2/24;Valladolid;7;7;13;4;47;384;78;20;1;0;6;1;2;3;1;0;0;0;1
17/2/24;Valladolid;7;1;12;5;52;424;83;12;3;0;9;1;0;1;0;1;0;1;0
12/2/24;Valladolid;7;1;18;2;73;567;84;13;3;0;6;0;0;0;0;1;0;0;1
3/2/24;Valladolid;7;1;10;0;57;449;79;16;3;0;4;0;0;0;0;1;0;1;0
29/1/24;Valladolid;7;3;12;7;53;416;81;17;2;1;3;1;2;3;1;0;0;0;1
21/1/24;Valladolid;7;1;3;1;42;383;70;10;2;0;2;0;0;0;0;1;0;1;0
13/1/24;Valladolid;7;1;20;2;69;555;83;10;1;0;9;0;0;0;0;0;1;1;0
21/12/23;Valladolid;7;3;15;3;57;462;79;12;1;0;7;0;0;0;0;0;1;0;1
18/12/23;Valladolid;7;1;17;5;64;524;82;10;4;0;5;0;0;0;0;0;1;1;0
9/12/23;Valladolid;7;1;12;6;67;613;82;7;1;0;4;0;2;2;1;0;0;0;1
5/12/23;Valladolid;19;7;11;3;59;517;87;10;2;1;3;0;1;1;0;0;1;1;0
2/12/23;Valladolid;7;1;11;3;60;449;83;13;3;0;6;1;0;1;0;0;1;1;0
24/11/23;Valladolid;7;7;11;5;57;474;80;15;4;0;4;0;1;1;1;0;0;1;0
17/11/23;Valladolid;7;1;21;3;66;582;88;13;1;0;3;1;0;1;0;1;0;0;1
11/11/23;Valladolid;7;7;19;9;66;560;83;11;2;0;3;1;2;3;1;0;0;1;0
4/11/23;Valladolid;7;7;16;6;52;426;78;10;1;0;9;0;2;2;1;0;0;0;1
27/10/23;Valladolid;7;6;10;2;56;516;81;12;0;0;1;0;1;1;0;0;1;1;0
22/10/23;Valladolid;7;1;11;4;26;206;70;16;5;0;6;2;0;2;1;0;0;0;1
14/10/23;Valladolid;7;7;11;3;67;536;87;14;3;0;5;0;0;0;0;0;1;1;0
8/10/23;Valladolid;7;6;23;9;72;575;87;10;3;0;7;0;3;3;1;0;0;0;1
4/10/23;Valladolid;7;7;8;2;46;393;71;18;4;0;2;1;0;1;1;0;0;1;0
1/10/23;Valladolid;7;14;11;6;49;423;82;14;2;0;3;2;1;3;1;0;0;0;1
24/9/23;Valladolid;7;14;16;5;52;401;80;13;3;0;6;0;1;1;1;0;0;1;0
16/9/23;Valladolid;7;2;22;8;58;491;83;14;3;0;9;0;1;1;1;0;0;0;1
10/9/23;Valladolid;7;2;15;5;52;422;82;15;4;1;7;1;0;1;0;1;0;0;1
1/9/23;Valladolid;7;1;7;1;56;448;76;12;5;0;4;0;0;0;0;0;1;1;0
26/8/23;Valladolid;7;7;28;2;73;574;85;10;1;0;10;0;0;0;0;0;1;0;1
18/8/23;Valladolid;7;3;11;5;58;430;86;14;2;0;0;0;0;0;0;0;1;1;0
11/8/23;Valladolid;7;3;17;5;47;376;83;12;5;0;8;1;1;2;1;0;0;0;1
4/6/23;Valladolid;1;0;15;0;80;585;83;9;1;0;6;0;0;0;0;1;0;0;1
28/5/23;Valladolid;1;0;8;2;52;388;78;16;4;0;4;0;0;0;0;1;0;1;0
23/5/23;Valladolid;1;3;8;4;30;271;74;13;1;0;2;2;1;3;1;0;0;0;1
19/5/23;Valladolid;1;2;6;2;54;298;71;18;4;1;3;0;0;0;0;0;1;1;0
14/5/23;Valladolid;1;0;28;6;55;371;78;9;2;0;8;0;0;0;0;0;1;0;1
4/5/23;Valladolid;1;29;7;4;48;388;71;15;0;0;4;0;1;1;0;0;1;1;0
30/4/23;Valladolid;1;29;19;6;57;453;87;14;2;0;9;1;1;2;0;0;1;0;1
27/4/23;Valladolid;1;4;9;2;52;401;79;17;4;0;2;1;0;1;0;0;1;1;0
22/4/23;Valladolid;1;0;15;6;38;335;75;14;1;0;5;1;0;1;1;0;0;0;1
15/4/23;Valladolid;1;29;14;7;29;245;70;18;6;0;5;2;0;2;1;0;0;1;0
9/4/23;Valladolid;1;0;10;6;63;464;85;13;3;0;1;1;2;3;0;1;0;0;1
11/3/23;Valladolid;1;7;5;1;44;312;72;11;2;2;3;1;0;1;0;1;0;1;0
5/3/23;Valladolid;1;0;15;5;44;336;73;4;3;0;9;1;1;2;1;0;0;0;1
26/2/23;Valladolid;1;3;6;3;46;392;75;5;3;1;4;0;0;0;0;0;1;1;0
18/2/23;Valladolid;1;3;17;3;53;397;81;15;5;0;6;1;0;1;0;0;1;1;0
12/2/23;Valladolid;1;3;18;5;51;370;78;13;1;0;10;0;0;0;0;1;0;0;1
5/2/23;Valladolid;1;3;7;2;45;368;75;14;5;0;4;0;1;1;1;0;0;1;0
29/1/23;Valladolid;1;0;13;6;54;402;80;14;3;0;4;0;1;1;1;0;0;0;1
21/1/23;Valladolid;1;4;7;1;53;567;85;7;1;0;1;0;0;0;0;0;1;1;0
14/1/23;Valladolid;1;0;9;2;44;346;71;17;2;0;4;0;0;0;0;0;1;0;1
7/1/23;Valladolid;1;0;9;1;59;507;80;17;3;0;2;0;0;0;0;0;1;1;0
4/1/23;Valladolid;19;0;14;3;51;415;83;10;4;1;1;0;0;0;0;0;1;1;0
30/12/22;Valladolid;1;0;14;4;38;386;82;7;2;1;5;0;0;0;0;0;1;0;1
21/12/22;Valladolid;19;3;21;12;63;434;77;11;4;0;5;2;3;5;1;0;0;1;0
12/11/22;Valladolid;19;0;16;5;69;516;82;11;0;0;6;2;0;2;1;0;0;1;0
8/11/22;Valladolid;1;1;8;0;57;459;76;6;1;0;2;0;0;0;0;0;1;1;0
5/11/22;Valladolid;1;0;16;11;51;407;84;9;2;0;8;1;1;2;1;0;0;0;1
30/10/22;Valladolid;1;2;7;2;52;422;81;16;3;0;8;0;0;0;0;0;1;1;0
22/10/22;Valladolid;1;2;9;2;25;186;55;19;2;0;4;1;0;1;1;0;0;0;1
19/10/22;Valladolid;1;4;9;7;37;288;70;12;1;0;3;1;3;4;1;0;0;0;1
16/10/22;Valladolid;1;0;14;2;52;395;75;11;4;0;4;0;0;0;0;0;1;1;0
9/10/22;Valladolid;1;0;12;3;60;509;85;12;1;0;3;0;0;0;0;1;0;0;1
1/10/22;Valladolid;1;0;14;7;57;435;83;13;5;0;2;2;1;3;1;0;0;1;0
16/9/22;Valladolid;1;0;18;6;58;413;85;12;1;0;8;0;0;0;0;0;1;0;1
9/9/22;Valladolid;1;7;14;4;56;437;83;15;2;0;12;1;0;1;0;0;1;1;0
5/9/22;Valladolid;1;0;14;6;52;361;78;11;1;0;2;0;1;1;1;0;0;0;1
28/8/22;Valladolid;1;7;8;3;32;304;72;8;2;0;4;0;0;0;0;0;1;1;0
19/8/22;Valladolid;1;0;6;3;38;303;74;10;2;1;2;0;1;1;0;1;0;1;0
13/8/22;Valladolid;1;7;12;6;52;434;83;6;1;0;4;0;0;0;0;0;1;0;1
29/5/22;Valladolid;7;0;19;7;65;501;89;14;0;0;11;0;3;3;1;0;0;0;1
21/5/22;Valladolid;7;0;13;5;55;455;84;9;0;0;4;1;1;2;1;0;0;1;0
14/5/22;Valladolid;7;0;13;5;55;483;85;15;1;0;3;1;1;2;1;0;0;0;1
8/5/22;Valladolid;7;0;11;4;55;418;79;12;2;0;4;0;2;2;1;0;0;1;0
24/4/22;Valladolid;7;0;11;1;42;336;73;13;5;1;4;1;0;1;1;0;0;1;0
16/4/22;Valladolid;7;0;13;6;57;373;83;10;2;0;6;1;1;2;0;1;0;0;1
9/4/22;Valladolid;7;0;19;8;63;472;87;10;2;0;7;0;2;2;0;1;0;1;0
2/4/22;Valladolid;7;0;10;4;62;452;84;17;4;0;4;1;3;4;1;0;0;0;1
27/3/22;Valladolid;7;22;9;2;53;423;79;15;2;0;5;2;0;2;1;0;0;1;0
19/3/22;Valladolid;7;1;13;2;47;407;84;11;3;0;4;0;0;0;0;0;1;0;1
13/3/22;Valladolid;7;1;9;0;38;301;71;6;2;1;3;0;0;0;0;0;1;1;0
28/9/24;Rayo Vallecano;1;3;15;6;54;466;82;12;2;0;5;1;0;1;0;1;0;0;1
25/9/24;Rayo Vallecano;1;1;2;0;29;260;76;16;4;0;3;0;0;0;0;1;0;1;0
22/9/24;Rayo Vallecano;1;3;16;4;55;518;80;9;0;0;3;1;0;1;0;1;0;0;1
16/9/24;Rayo Vallecano;1;3;17;6;66;484;79;12;3;0;7;0;3;3;1;0;0;0;1
31/8/24;Rayo Vallecano;1;1;17;5;53;390;81;16;2;0;7;1;0;1;0;0;1;1;0
27/8/24;Rayo Vallecano;1;1;8;4;35;269;74;17;3;0;6;1;0;1;0;0;1;0;1
24/8/24;Rayo Vallecano;1;3;3;0;52;307;64;18;2;0;2;0;0;0;0;1;0;1;0
18/8/24;Rayo Vallecano;1;1;12;5;34;236;63;21;4;0;5;0;2;2;1;0;0;1;0
25/5/24;Rayo Vallecano;1;3;17;4;64;570;81;6;1;0;8;0;0;0;0;0;1;0;1
19/5/24;Rayo Vallecano;1;7;15;4;28;240;74;7;2;0;5;0;0;0;0;0;1;1;0
15/5/24;Rayo Vallecano;1;3;18;9;31;207;60;12;4;1;6;1;1;2;1;0;0;0;1
12/5/24;Rayo Vallecano;1;3;12;1;49;376;73;21;2;0;3;0;0;0;0;1;0;1;0
5/5/24;Rayo Vallecano;1;1;27;10;68;597;86;17;3;0;9;0;0;0;0;0;1;0;1
28/4/24;Rayo Vallecano;1;3;20;4;55;493;87;8;1;0;6;0;0;0;0;0;1;1;0
20/4/24;Rayo Vallecano;1;1;17;6;65;530;80;9;4;0;5;0;2;2;1;0;0;0;1
13/4/24;Rayo Vallecano;1;1;12;2;64;430;77;17;4;0;3;0;0;0;0;1;0;0;1
17/3/24;Rayo Vallecano;1;3;8;4;38;286;64;22;4;0;4;1;1;2;1;0;0;0;1
10/3/24;Rayo Vallecano;1;3;9;3;67;580;85;10;2;0;5;0;0;0;0;0;1;1;0
2/3/24;Rayo Vallecano;1;3;9;5;54;439;73;14;1;0;4;0;1;1;0;1;0;0;1
26/2/24;Rayo Vallecano;1;3;7;1;45;433;84;16;3;1;2;0;0;0;0;0;1;1;0
18/2/24;Rayo Vallecano;1;1;8;3;39;336;78;17;4;0;4;1;0;1;0;1;0;0;1
11/2/24;Rayo Vallecano;1;3;11;4;51;427;74;11;0;0;1;0;1;1;0;0;1;1;0
5/2/24;Rayo Vallecano;1;1;22;5;68;609;81;8;2;0;6;1;0;1;0;0;1;0;1
31/1/24;Rayo Vallecano;1;17;10;2;46;411;78;13;3;0;6;1;0;1;0;0;1;1;0
27/1/24;Rayo Vallecano;1;1;5;0;48;370;71;14;4;0;2;0;0;0;0;1;0;1;0
20/1/24;Rayo Vallecano;1;1;16;3;43;371;77;19;2;1;12;0;0;0;0;0;1;0;1
17/1/24;Rayo Vallecano;19;0;21;3;44;449;91;14;1;0;7;1;0;1;0;0;1;1;0
6/1/24;Rayo Vallecano;19;1;23;8;55;715;87;14;2;0;4;0;2;2;1;0;0;1;0
2/1/24;Rayo Vallecano;1;1;12;7;63;512;82;16;3;0;3;1;1;2;1;0;0;1;0
19/12/23;Rayo Vallecano;1;1;7;1;60;470;76;16;1;0;7;0;0;0;0;0;1;0;1
15/12/23;Rayo Vallecano;1;1;10;3;38;285;68;13;3;0;1;0;0;0;0;0;1;1;0
11/12/23;Rayo Vallecano;1;3;18;4;63;578;84;15;3;0;8;0;0;0;0;1;0;0;1
6/12/23;Rayo Vallecano;19;7;13;5;72;496;76;12;3;0;4;0;2;2;1;0;0;1;0
2/12/23;Rayo Vallecano;1;3;11;3;50;480;79;11;2;0;2;0;0;0;0;0;1;1;0
25/11/23;Rayo Vallecano;1;1;10;4;33;293;71;23;3;0;1;1;0;1;0;1;0;0;1
11/11/23;Rayo Vallecano;1;1;22;9;46;429;84;15;1;0;8;1;0;1;0;0;1;0;1
5/11/23;Rayo Vallecano;1;7;4;0;36;316;75;15;5;0;1;0;0;0;0;1;0;1;0
1/11/23;Rayo Vallecano;19;3;27;13;77;600;87;8;0;0;5;3;3;6;1;0;0;1;0
29/10/23;Rayo Vallecano;1;8;16;7;56;435;79;17;3;0;4;1;1;2;0;1;0;0;1
22/10/23;Rayo Vallecano;1;1;12;4;38;357;74;11;1;1;5;0;1;1;1;0;0;1;0
7/10/23;Rayo Vallecano;1;1;7;4;36;254;64;19;2;0;2;2;0;2;0;1;0;1;0
30/9/23;Rayo Vallecano;1;3;19;5;61;496;81;12;2;0;5;1;1;2;0;1;0;0;1
27/9/23;Rayo Vallecano;1;3;9;4;48;385;70;13;6;1;2;0;0;0;0;1;0;1;0
24/9/23;Rayo Vallecano;1;3;11;6;40;326;78;20;2;0;2;1;0;1;0;1;0;0;1
15/9/23;Rayo Vallecano;1;3;20;11;52;385;74;15;2;0;5;1;1;2;1;0;0;0;1
2/9/23;Rayo Vallecano;1;1;15;6;43;373;76;20;5;0;3;0;0;0;0;0;1;1;0
