Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Léo Jardim-Vasco da Gama;Paulo-Vasco da Gama;João Victor-Vasco da Gama;Luiz Gustavo Marinho Ribeiro dos Santos-Vasco da Gama;Lucas Piton-Vasco da Gama;Hugo Moura-Vasco da Gama;Tchê Tchê-Vasco da Gama;Mateus Carvalho-Vasco da Gama;Philippe Coutinho-Vasco da Gama;Rayan-Vasco da Gama;Pablo Vegetti-Vasco da Gama;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Lucas Freitas-Vasco da Gama;Loide Augusto-Vasco da Gama;Nuno Moreira-Vasco da Gama;Jair Rodrigues Júnior-Vasco da Gama;Victor Luis-Vasco da Gama;Paulinho-Vasco da Gama;Benjamín Garré-Vasco da Gama;Dimitri Payet-Vasco da Gama;Mauricio Lemos-Vasco da Gama;José Luis Rodríguez Bebanz-Vasco da Gama;Léo Pelé-Vasco da Gama;Leandrinho-Vasco da Gama;Alex Teixeira-Vasco da Gama;Maxsuel Alexandre Alves Soares-Vasco da Gama;Pablo Galdames Millán-Vasco da Gama;Maxime Dominguez-Vasco da Gama;Maicon Pereira Roque-Vasco da Gama;Emerson Rivaldo Rodríguez-Vasco da Gama;Jean Meneses-Vasco da Gama;Juan Sebastián Sforza-Vasco da Gama;David Corrêa da Fonseca-Vasco da Gama;Adson-Vasco da Gama;Josef de Souza Dias-Vasco da Gama;Gabriel Souza da Silva-Vasco da Gama;Robert Rojas-Vasco da Gama;Bruno Praxedes-Vasco da Gama;João Pedro-Vasco da Gama;Rosicley Pereira da Silva-Vasco da Gama;Guilherme Estrella-Vasco da Gama;José Gabriel-Vasco da Gama;Clayton-Vasco da Gama;Gary Medel-Vasco da Gama;Marlon Gomes-Vasco da Gama;Gabriel Pec-Vasco da Gama;Robson Bambu-Vasco da Gama;Manuel Capasso-Vasco da Gama;Erick Marcus-Vasco da Gama;Carlos Sebastián Ferreira-Vasco da Gama;Sergio Antonio De Luiz Junior-Vasco da Gama;Luca Orellano-Vasco da Gama;Miranda-Vasco da Gama;Figueiredo-Vasco da Gama;Zé Vitor-Vasco da Gama;Pedro Raúl-Vasco da Gama;Andrey Santos-Vasco da Gama;Matías Galarza-Vasco da Gama;Cauan Barros-Vasco da Gama;Rodrigo Alves de Holanda Santos-Vasco da Gama;Alexander-Vasco da Gama;Nené-Vasco da Gama;Thiago Rodrigues de Oliveira-Vasco da Gama;Leonardo de Matos Cruz-Vasco da Gama;Danilo Boza-Vasco da Gama;Anderson Conceição Benedito-Vasco da Gama;Luiz Henrique-Vasco da Gama;Yuri Lima Lara-Vasco da Gama;Raniel-Vasco da Gama;Edimar Fraga-Vasco da Gama;Carlos Palacios Núñez-Vasco da Gama;Eguinaldo-Vasco da Gama;Paulo Victor-Vasco da Gama;Juan Quintero Fletcher-Vasco da Gama;Matheus Antunes Ribeiro-Vasco da Gama;Fábio Roberto Gomes Netto-Vasco da Gama;Bruno Tubarão-Vasco da Gama
2025-05-13;Vasco da Gama;-1;3;3;777;655;Lanús;3;1;8;13;2;3;0.59;0.41;522;0.85;15;14;2;1;1;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;4;0.0315384615384615;0.2;444;0.0337837837837837;752.542372881356;0.375;5.084745762711865;-5;0.18;-1;2;1;0.0153256704980842;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-10;Vasco da Gama;10;0;3;777;693;Vitória;3;2;16;12;5;4;0.65;0.35;623;0.91;17;7;3;1;0;1;3;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;6;0.0291666666666666;0.1764705882352941;567;0.0299823633156966;872.3076923076923;0.1875;4.615384615384615;4;0.3;-3;1;10;0.0256821829855537;0.0625;0.65;3.0;1;0;1;0;0;1;1;0;0.0625;0.2;0.0016051364365971;16.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-07;Vasco da Gama;-1;22;8;777;807;Puerto Cabello;2;1;11;13;4;6;0.61;0.39;421;0.87;10;10;2;1;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.03;0.2;366;0.0273224043715847;600.0;0.7272727272727273;13.114754098360656;-2;0.2199999999999999;3;1;0;0.0261282660332541;0.0909090909090909;0.61;8.0;1;0;1;0;0;1;1;0;0.0909090909090909;0.25;0.002375296912114;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Vasco da Gama;10;1;6;777;217;Palmeiras;2;0;13;16;5;2;0.52;0.48;405;0.87;11;8;2;0;0;0;7;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;11;0.03;0.1818181818181818;352;0.03125;676.9230769230769;0.5384615384615384;13.461538461538462;-3;0.04;-4;2;3;0.0320987654320987;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01;Vasco da Gama;12;3;3;777;685;Operário;2;3;9;13;3;2;0.48;0.52;393;0.79;18;13;2;3;0;0;1;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;4;0.04;0.1111111111111111;310;0.0580645161290322;645.8333333333334;0.1111111111111111;2.083333333333333;-4;-0.04;-3;-1;5;0.0229007633587786;0.1111111111111111;0.48;1.0;1;0;1;0;1;0;1;0;0.1111111111111111;0.3333333333333333;0.0025445292620865;9.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Vasco da Gama;10;3;3;777;636;Cruzeiro;0;0;15;11;6;4;0.58;0.42;424;0.85;12;18;0;0;0;0;8;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;4;0.0381818181818181;0.0;360;0.0333333333333333;620.6896551724138;0.5333333333333333;13.793103448275865;4;0.1599999999999999;4;0;-6;0.035377358490566;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-22;Vasco da Gama;-1;3;3;777;655;Lanús;2;4;13;14;2;1;0.67;0.33;537;0.89;13;14;2;4;0;0;6;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;5;0.0235714285714285;0.1538461538461538;478;0.0271966527196652;713.4328358208954;0.4615384615384615;8.955223880597014;-1;0.34;1;-2;-1;0.0242085661080074;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Vasco da Gama;10;3;3;777;214;Flamengo;2;1;6;17;1;7;0.35;0.65;305;0.78;14;10;2;1;0;0;2;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;11;0.038235294117647;0.1428571428571428;238;0.0588235294117647;680.0;0.3333333333333333;5.714285714285714;-11;-0.3;-9;1;4;0.0196721311475409;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-15;Vasco da Gama;10;3;3;777;680;Ceará;4;3;11;11;3;2;0.65;0.35;612;0.89;12;14;4;3;0;0;2;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1;0.0318181818181818;0.3333333333333333;545;0.0220183486238532;838.4615384615385;0.1818181818181818;3.0769230769230766;0;0.3;1;1;-2;0.0179738562091503;0.0909090909090909;0.65;2.0;0;1;1;0;0;1;1;0;0.0909090909090909;0.3333333333333333;0.0016339869281045;11.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Vasco da Gama;10;3;5;777;679;Sport Recife;3;2;10;18;6;2;0.45;0.55;399;0.82;11;14;3;2;0;0;1;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;10;0.0305555555555555;0.2727272727272727;327;0.0336391437308868;726.6666666666666;0.1;2.2222222222222223;-8;-0.1;-9;1;-3;0.025062656641604;0.3;0.15;0.3333333333333333;2;1;3;1;0;0;0;1;0.3;0.5;0.0075187969924812;3.333333333333333;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
