Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Luiz Júnior-Villarreal;Kiko Femenía-Villarreal;Juan Marcos Foyth-Villarreal;Logan Costa-Villarreal;Sergi Cardona-Villarreal;Yéremy Pino-Villarreal;Santiago Comesaña Veiga-Villarreal;Dani Parejo-Villarreal;Denis Suárez-Villarreal;Ayoze Pérez-Villarreal;Thierno Barry-Villarreal;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Alfonso Pedraza Sag-Villarreal;Tajon Buchanan-Villarreal;Álex Baena-Villarreal;Pau Navarro-Villarreal;Willy Kambwala-Villarreal;Diego Conde-Villarreal;Pape Gueye-Villarreal;Nicolas Pépé-Villarreal;Gerard Moreno Balagueró-Villarreal;Raúl Albiol-Villarreal;Eric Bertrand Bailly-Villarreal;Juan Bernat-Villarreal;Pau Cabanes-Villarreal;Alassane Diatta-Villarreal;Ramón Terrats Espacio-Villarreal;Ilias Akhomach-Villarreal;Arnaut Danjuma-Villarreal;Pepe Reina-Villarreal;Yerson Mosquera-Villarreal;Aïssa Mandi-Villarreal;Jorge Cuenca Barreno-Villarreal;Bertrand Traoré-Villarreal;Manu Trigueros-Villarreal;Alexander Sørloth-Villarreal;Filip Jörgensen-Villarreal;Alberto Moreno-Villarreal;Gonçalo Guedes-Villarreal;Francis Coquelin-Villarreal;Étienne Capoue-Villarreal;Adrià Altimira-Villarreal;José Luis Morales Nogales-Villarreal;Matteo Gabbia-Villarreal;Ben Brereton Díaz-Villarreal;Carlos Romero Serrano-Villarreal;Jorge Pascual-Villarreal;Víctor Moreno Alcalá-Villarreal;Pau Torres-Villarreal;Samuel Chukwueze-Villarreal;Nicolas Jackson-Villarreal;Giovani Lo Celso-Villarreal;Johan Mojica-Villarreal;Manuel Morlanes Ariño-Villarreal
2025-04-20;Villarreal;1;1;7;37;46;Real Sociedad;4;1;20;4;5;4;0.58;0.42;507;0.84;12;12;4;1;0;0;10;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.105;0.3333333333333333;426;0.028169014084507;734.4827586206897;0.5;17.24137931034483;16;0.1599999999999999;6;3;0;0.039447731755424;0.1;0.29;5.0;1;1;2;0;1;0;0;1;0.1;0.4;0.0039447731755424;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Villarreal;1;1;3;37;39;Betis;4;0;8;24;2;5;0.32;0.68;292;0.75;13;4;4;0;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;5;0.0283333333333333;0.3076923076923077;219;0.0593607305936073;684.375;0.625;15.625;-16;-0.36;0;4;9;0.0273972602739726;0.25;0.16;2.5;1;1;2;1;0;0;1;0;0.25;1.0;0.0068493150684931;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Villarreal;1;1;3;37;38;Athletic;1;1;12;11;4;2;0.57;0.43;498;0.83;9;13;0;1;1;0;6;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;5;0.039090909090909;0.1111111111111111;413;0.0217917675544794;724.561403508772;0.5;10.526315789473683;1;0.1399999999999999;1;0;-4;0.0240963855421686;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Villarreal;1;1;7;37;48;Getafe;4;1;9;11;3;4;0.44;0.56;361;0.7;21;16;4;1;0;0;1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;3;0.0509090909090909;0.1904761904761904;253;0.0830039525691699;575.0;0.1111111111111111;2.272727272727273;-2;-0.12;-2;3;5;0.0249307479224376;0.2222222222222222;0.22;0.5;2;0;2;1;0;0;1;0;0.2222222222222222;0.6666666666666666;0.0055401662049861;4.5;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Villarreal;1;1;3;37;12;Real Madrid;2;1;23;9;10;5;0.45;0.55;465;0.87;17;3;2;1;0;0;11;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;4;0.0611111111111111;0.1176470588235294;405;0.0419753086419753;900.0;0.4782608695652174;24.444444444444443;14;-0.1;7;1;14;0.0494623655913978;0.0434782608695652;0.45;11.0;1;0;1;0;0;1;0;1;0.0434782608695652;0.1;0.0021505376344086;23.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Villarreal;1;1;1;37;45;Alavés;1;4;24;5;2;3;0.7;0.3;533;0.86;13;11;1;2;0;2;6;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1;0.06;0.0769230769230769;458;0.0283842794759825;654.2857142857143;0.25;8.571428571428571;19;0.3999999999999999;5;-3;2;0.0450281425891182;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Villarreal;1;1;3;37;42;Rayo Vallecano;4;2;10;10;5;5;0.49;0.51;396;0.78;12;15;4;1;0;1;5;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;3;0.051;0.3333333333333333;309;0.0388349514563106;630.6122448979592;0.5;10.20408163265306;0;-0.02;2;2;-3;0.0252525252525252;0.1;0.49;5.0;0;1;1;1;0;0;1;0;0.1;0.2;0.0025252525252525;10.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Villarreal;1;1;9;37;52;Valencia C. F.;0;5;13;12;4;3;0.51;0.49;528;0.86;6;17;0;5;0;0;4;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;5;0.0408333333333333;0.0;454;0.013215859030837;890.1960784313725;0.3076923076923077;7.84313725490196;1;0.02;-1;-5;-11;0.0246212121212121;0.0769230769230769;0.51;4.0;1;0;1;0;1;0;0;1;0.0769230769230769;0.25;0.0018939393939393;13.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Villarreal;1;1;3;37;50;U. D. Las Palmas;3;6;9;20;4;4;0.42;0.58;366;0.78;12;12;3;6;0;0;5;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;6;0.0289999999999999;0.25;285;0.0421052631578947;678.5714285714286;0.5555555555555556;11.904761904761903;-11;-0.1599999999999999;-1;-3;0;0.0245901639344262;0.2222222222222222;0.21;2.5;0;2;2;1;0;0;1;0;0.2222222222222222;0.5;0.0054644808743169;4.5;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Villarreal;1;1;7;37;51;Valladolid;1;2;22;8;8;2;0.53;0.47;481;0.86;9;14;1;2;0;0;3;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;6;0.05875;0.1111111111111111;414;0.0217391304347826;781.132075471698;0.1363636363636363;5.660377358490566;14;0.06;-3;-1;-5;0.0457380457380457;0.2272727272727272;0.106;0.6;1;4;5;1;0;0;0;1;0.2272727272727272;0.625;0.0103950103950103;4.4;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
