Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Michael Zetterer-Werder Bremen;Niklas Stark-Werder Bremen;Marco Friedl-Werder Bremen;Amos Pieper-Werder Bremen;Mitchell Weiser-Werder Bremen;Jens Stage-Werder Bremen;Senne Lynen-Werder Bremen;Romano Schmid-Werder Bremen;Felix Agu-Werder Bremen;Oliver Burke-Werder Bremen;Marvin Ducksch-Werder Bremen;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Justin Njinmah-Werder Bremen;Miloš Veljković-Werder Bremen;Anthony Jung-Werder Bremen;Issa Kaboré-Werder Bremen;André Silva-Werder Bremen;Leonardo Bittencourt-Werder Bremen;Julián Malatini-Werder Bremen;Marco Grüll-Werder Bremen;Derrick Köhn-Werder Bremen;Skelly Alvero-Werder Bremen;Keke Topp-Werder Bremen;Nick Woltemade-Werder Bremen;Christian Groß-Werder Bremen;Olivier Deman-Werder Bremen;Rafael Santos Borré-Werder Bremen;Dawid Kownacki-Werder Bremen;Jiří Pavlenka-Werder Bremen;Nicolai Rapp-Werder Bremen;Naby Keïta-Werder Bremen;Niclas Füllkrug-Werder Bremen;Ilia Gruev-Werder Bremen;Lee Buchanan-Werder Bremen;Niklas Schmidt-Werder Bremen;Maximilian Philipp-Werder Bremen;Fabio Chiarodia-Werder Bremen
2025-05-03;Werder Bremen;9;2;2;171;169;FC Union Berlin;3;2;13;18;6;8;0.6;0.4;562;0.83;8;9;3;2;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.022222222222222223;0.375;466;0.017167381974248927;776.6666666666667;0.38461538461538464;8.333333333333334;-5;0.19999999999999996;0;1;-1;0.023131672597864767;0.15384615384615385;0.3;2.5;2;0;2;0;1;0;1;0;0.15384615384615385;0.3333333333333333;0.0035587188612099642;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Werder Bremen;9;17;17;171;176;St. Pauli;2;2;11;10;2;4;0.51;0.49;477;0.83;9;16;2;1;0;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.049;0.2222222222222222;396;0.022727272727272728;776.4705882352941;0.09090909090909091;1.9607843137254901;1;0.020000000000000018;-2;0;-7;0.023060796645702306;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Werder Bremen;9;2;6;171;178;Bochum;3;3;14;12;4;1;0.48;0.52;377;0.74;9;20;3;2;0;1;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.043333333333333335;0.3333333333333333;279;0.03225806451612903;581.25;0.14285714285714285;4.166666666666667;2;-0.040000000000000036;-5;0;-11;0.03713527851458886;0.07142857142857142;0.48;2.0;0;1;1;1;0;0;0;1;0.07142857142857142;0.25;0.002652519893899204;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Werder Bremen;9;2;3;171;18;Stuttgart;2;2;14;12;5;4;0.53;0.47;527;0.8;13;12;2;1;0;1;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.03916666666666666;0.15384615384615385;422;0.030805687203791468;796.2264150943396;0.2857142857142857;7.547169811320754;2;0.06000000000000005;1;0;1;0.026565464895635674;0.14285714285714285;0.265;2.0;1;1;2;1;0;0;1;0;0.14285714285714285;0.4;0.003795066413662239;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Werder Bremen;9;2;3;171;87;Frankfurt;3;3;12;9;4;0;0.37;0.63;329;0.7;8;15;3;3;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6;0.07;0.375;230;0.034782608695652174;621.6216216216217;0.4166666666666667;13.513513513513514;3;-0.26;-1;0;-7;0.0364741641337386;0.16666666666666666;0.185;2.5;1;1;2;1;0;0;0;1;0.16666666666666666;0.5;0.0060790273556231;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Werder Bremen;9;2;29;171;177;KSV Holstein;1;4;14;11;7;0;0.45;0.55;373;0.74;8;13;1;4;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.05;0.125;276;0.028985507246376812;613.3333333333334;0.2857142857142857;8.88888888888889;3;-0.10000000000000003;1;-3;-5;0.03753351206434316;0.21428571428571427;0.15;1.3333333333333333;1;2;3;1;0;0;1;0;0.21428571428571427;0.42857142857142855;0.00804289544235925;4.666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Werder Bremen;9;2;3;171;172;Mönchengladbach;1;1;23;13;2;7;0.53;0.47;474;0.81;10;7;1;0;0;1;4;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1;0.036153846153846154;0.1;384;0.026041666666666668;724.5283018867924;0.17391304347826086;7.547169811320754;10;0.06000000000000005;3;0;3;0.04852320675105485;0.08695652173913043;0.265;2.0;2;0;2;0;0;1;0;1;0.08695652173913043;1.0;0.004219409282700422;11.5;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Werder Bremen;9;2;17;171;6;Leverkusen;4;4;11;18;7;4;0.27;0.73;265;0.7;10;12;4;4;0;0;3;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;10;0.04055555555555555;0.4;186;0.053763440860215055;688.8888888888888;0.2727272727272727;11.11111111111111;-7;-0.45999999999999996;-7;0;-2;0.04150943396226415;0.18181818181818182;0.135;1.5;1;1;2;1;0;0;1;0;0.18181818181818182;0.2857142857142857;0.007547169811320755;5.5;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Werder Bremen;9;2;0;171;175;Wolfsburg;2;0;15;9;7;3;0.57;0.43;519;0.81;13;9;2;0;0;0;8;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;2;0.04777777777777778;0.15384615384615385;420;0.030952380952380953;736.8421052631579;0.5333333333333333;14.035087719298247;6;0.13999999999999996;6;2;4;0.028901734104046242;0.06666666666666667;0.57;8.0;0;1;1;0;0;1;0;1;0.06666666666666667;0.14285714285714285;0.0019267822736030828;15.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Werder Bremen;23;2;3;171;614;Arminia;4;1;11;7;1;3;0.56;0.44;432;0.76;15;15;4;1;0;0;8;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;3;0.06285714285714286;0.26666666666666666;328;0.04573170731707317;585.7142857142857;0.7272727272727273;14.285714285714285;4;0.12000000000000005;5;3;0;0.02546296296296296;0.09090909090909091;0.56;8.0;0;1;1;0;0;1;1;0;0.09090909090909091;1.0;0.0023148148148148147;11.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
