Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Kamil Grabara-Wolfsburg;Kilian Fischer-Wolfsburg;Denis Vavro-Wolfsburg;Konstantinos Koulierakis-Wolfsburg;Andreas Skov Olsen-Wolfsburg;Bence Dárdai-Wolfsburg;Aster Vranckx-Wolfsburg;Patrick Wimmer-Wolfsburg;Joakim Mæhle-Wolfsburg;Lukas Nmecha-Wolfsburg;Tiago Tomás-Wolfsburg;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Kevin Paredes-Wolfsburg;Maximilian Arnold-Wolfsburg;Jonas Wind-Wolfsburg;Mohamed El Amine Amoura-Wolfsburg;David Odogu-Wolfsburg;Jakub Kamiński-Wolfsburg;Yannick Gerhardt-Wolfsburg;Sebastiaan Bornauw-Wolfsburg;Mattias Svanberg-Wolfsburg;Marius Müller-Wolfsburg;Mads Roerslev-Wolfsburg;Bote Baku-Wolfsburg;Lovro Majer-Wolfsburg;Salih Özcan-Wolfsburg;Cédric Zesiger-Wolfsburg;Maxence Lacroix-Wolfsburg;Kevin Behrens-Wolfsburg;Koen Casteels-Wolfsburg;Moritz Jenz-Wolfsburg;Pavao Pervan-Wolfsburg;Amin Sarr-Wolfsburg;Václav Černý-Wolfsburg;Rogério-Wolfsburg;Nicolas Cozza-Wolfsburg;Josuha Guilavogui-Wolfsburg;Micky van de Ven-Wolfsburg;Felix Nmecha-Wolfsburg;Paulo Otávio-Wolfsburg;Omar Marmoush-Wolfsburg;Luca Waldschmidt-Wolfsburg;Bartol Franjić-Wolfsburg;Josip Brekalo-Wolfsburg;Max Kruse-Wolfsburg;Maximilian Philipp-Wolfsburg
2025-05-03;Wolfsburg;9;2;17;175;11;Dortmund;1;0;11;11;2;5;0.45;0.55;427;0.84;6;13;1;0;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.05;0.16666666666666666;359;0.016713091922005572;797.7777777777777;0.2727272727272727;6.666666666666666;0;-0.10000000000000003;-1;1;-7;0.02576112412177986;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Wolfsburg;9;2;8;175;170;Friburgo;4;1;7;15;1;2;0.43;0.57;343;0.74;6;9;3;1;1;0;3;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;2;0.038;0.6666666666666666;254;0.023622047244094488;590.6976744186046;0.42857142857142855;6.976744186046512;-8;-0.13999999999999996;1;3;-3;0.02040816326530612;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Wolfsburg;9;2;29;175;174;Mainz 05;3;2;16;18;4;7;0.48;0.52;359;0.76;8;15;3;2;0;0;5;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;7;0.02888888888888889;0.375;273;0.029304029304029304;568.75;0.3125;10.416666666666668;-2;-0.040000000000000036;-2;1;-7;0.04456824512534819;0.125;0.24;2.5;1;1;2;0;1;0;1;0;0.125;0.5;0.005571030640668524;8.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-11;Wolfsburg;9;29;13;175;31;RB Leipzig;2;3;17;16;6;5;0.47;0.53;391;0.8;14;13;2;3;0;0;8;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;5;0.033125;0.14285714285714285;313;0.04472843450479233;665.9574468085107;0.47058823529411764;17.02127659574468;1;-0.06000000000000005;3;-1;1;0.043478260869565216;0.11764705882352941;0.235;4.0;0;2;2;0;0;1;0;1;0.11764705882352941;0.3333333333333333;0.005115089514066497;8.5;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Wolfsburg;9;29;2;175;169;FC Union Berlin;1;0;12;13;3;3;0.56;0.44;392;0.77;14;13;1;0;0;0;4;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;6;0.033846153846153845;0.07142857142857142;302;0.046357615894039736;539.2857142857142;0.3333333333333333;7.142857142857142;-1;0.12000000000000005;-2;1;1;0.030612244897959183;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Wolfsburg;9;0;29;175;142;Heidenheim;2;4;11;11;2;4;0.62;0.38;576;0.81;8;10;2;4;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;5;0.034545454545454546;0.25;467;0.017130620985010708;753.2258064516129;0.36363636363636365;6.451612903225807;0;0.24;-1;-2;-2;0.019097222222222224;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Wolfsburg;9;0;17;175;173;Augsburgo;2;1;13;10;2;2;0.58;0.42;532;0.82;9;7;2;1;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1;0.041999999999999996;0.2222222222222222;436;0.020642201834862386;751.7241379310345;0.3076923076923077;6.8965517241379315;3;0.15999999999999998;3;1;2;0.02443609022556391;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Wolfsburg;9;3;29;175;176;St. Pauli;1;0;16;14;4;4;0.58;0.42;484;0.83;11;13;1;0;0;0;6;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;6;0.03;0.09090909090909091;402;0.02736318407960199;693.1034482758621;0.375;10.344827586206897;2;0.15999999999999998;0;1;-2;0.03305785123966942;0.0625;0.58;6.0;0;1;1;0;1;0;0;1;0.0625;0.25;0.002066115702479339;16.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Wolfsburg;9;0;2;175;171;Werder Bremen;0;2;9;15;3;7;0.43;0.57;412;0.8;9;13;0;2;0;0;2;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;8;0.038;0.0;330;0.02727272727272727;767.4418604651163;0.2222222222222222;4.651162790697675;-6;-0.13999999999999996;-6;-2;-4;0.021844660194174758;0.2222222222222222;0.215;1.0;1;1;2;1;0;0;1;0;0.2222222222222222;0.6666666666666666;0.0048543689320388345;4.5;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Wolfsburg;23;1;29;175;31;RB Leipzig;2;3;11;16;5;4;0.49;0.51;432;0.78;10;15;2;3;0;0;4;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;8;0.031875;0.2;337;0.02967359050445104;687.7551020408164;0.36363636363636365;8.16326530612245;-5;-0.020000000000000018;-4;-1;-5;0.02546296296296296;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
