Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Daniel Bentley-Wolves;Santiago Bueno-Wolves;Emmanuel Agbadou-Wolves;Toti-Wolves;Nélson Semedo-Wolves;João Gomes da Silva-Wolves;André Trindade da Costa Neto-Wolves;Rayan Aït-Nouri-Wolves;Marshall Munetsi-Wolves;Matheus Cunha-Wolves;Jørgen Strand Larsen-Wolves;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;José Sá-Wolves;Matt Doherty-Wolves;Jean-Ricner Bellegarde-Wolves;Sam Johnstone-Wolves;Nasser Djiga-Wolves;Pablo Sarabia-Wolves;Gonçalo Guedes-Wolves;Rodrigo Gomes-Wolves;Hwang Hee-chan-Wolves;Pedro Lima-Wolves;Tommy Doyle-Wolves;Craig Dawson-Wolves;Mario Lemina-Wolves;Carlos Borges-Wolves;Yerson Mosquera-Wolves;Alfie Pond-Wolves;Boubacar Traoré-Wolves;Daniel Podence-Wolves;Chiquinho-Wolves;Hugo Bueno-Wolves;Luke Cundle-Wolves;Tawanda Chirewa-Wolves;Max Kilman-Wolves;Leon Chiwome-Wolves;Nathan Fraser-Wolves;Pedro Neto-Wolves;Saša Kalajdžić-Wolves;Jonathan Castro Otto-Wolves;Fábio Silva-Wolves;Joe Hodge-Wolves;Matheus Nunes-Wolves;Nathan Collins-Wolves;Adama Traoré Diarra-Wolves;Raúl Jiménez-Wolves;Rúben Neves-Wolves;Diego Costa-Wolves;João Moutinho-Wolves;Matija Šarkić-Wolves;Dexter Lembikisa-Wolves;Connor Ronan-Wolves
2025-05-02;Wolves;3;17;3;67;3;Manchester City;0;0;6;9;1;2;0.36;0.64;380;0.83;11;7;0;0;0;0;5;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;4;0.0711111111111111;0.0;315;0.0349206349206349;875.0;0.8333333333333334;13.88888888888889;-3;-0.28;1;0;4;0.0157894736842105;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Wolves;3;17;3;67;63;Leicester City;1;4;20;8;6;2;0.57;0.43;607;0.88;7;17;1;4;0;0;4;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.05375;0.1428571428571428;534;0.0131086142322097;936.842105263158;0.2;7.017543859649123;12;0.1399999999999999;2;-3;-10;0.0329489291598023;0.15;0.1899999999999999;1.3333333333333333;1;2;3;1;0;0;0;1;0.15;0.5;0.0049423393739703;6.666666666666667;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Wolves;3;17;17;67;62;Manchester United;3;2;4;12;2;2;0.4;0.6;387;0.81;18;11;3;2;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.0499999999999999;0.1666666666666666;313;0.0575079872204472;782.5;0.5;5.0;-8;-0.1999999999999999;-7;1;7;0.0103359173126615;0.25;0.4;2.0;0;1;1;1;0;0;1;0;0.25;0.5;0.0025839793281653;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Wolves;3;17;0;67;56;Tottenham;1;2;13;11;5;4;0.37;0.63;346;0.8;12;15;1;2;0;0;1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0572727272727272;0.0833333333333333;277;0.0433212996389891;748.6486486486486;0.0769230769230769;2.702702702702702;2;-0.26;-3;-1;-3;0.0375722543352601;0.3076923076923077;0.0925;0.25;2;2;4;1;0;0;0;1;0.3076923076923077;0.8;0.0115606936416184;3.25;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Wolves;3;17;3;67;66;Ipswich;2;2;22;6;7;2;0.56;0.44;407;0.81;16;12;2;2;0;0;8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0733333333333333;0.125;330;0.0484848484848484;589.2857142857142;0.3636363636363636;14.285714285714285;16;0.12;4;0;4;0.054054054054054;0.0909090909090909;0.28;4.0;0;2;2;1;0;0;1;0;0.0909090909090909;0.2857142857142857;0.0049140049140049;11.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Wolves;3;17;17;67;61;West Ham;4;2;9;10;2;1;0.41;0.59;406;0.8;16;12;4;2;0;0;1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.059;0.25;325;0.0492307692307692;792.6829268292684;0.1111111111111111;2.4390243902439024;-1;-0.18;-1;2;4;0.022167487684729;0.1111111111111111;0.41;1.0;1;0;1;1;0;0;0;1;0.1111111111111111;0.5;0.0024630541871921;9.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Wolves;3;17;6;67;68;Southampton;0;0;5;10;3;3;0.4;0.6;413;0.85;13;12;0;0;0;0;1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;5;0.06;0.0;351;0.037037037037037;877.5;0.2;2.5;-5;-0.1999999999999999;-4;0;1;0.0121065375302663;0.4;0.2;0.5;1;1;2;1;0;0;1;0;0.4;0.6666666666666666;0.0048426150121065;2.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Wolves;3;17;3;67;64;Everton;2;2;11;12;3;4;0.66;0.34;597;0.88;11;16;2;2;0;0;5;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;5;0.0283333333333333;0.1818181818181818;525;0.0209523809523809;795.4545454545454;0.4545454545454545;7.575757575757575;-1;0.32;0;0;-5;0.0184254606365159;0.0909090909090909;0.66;5.0;1;0;1;0;1;0;0;1;0.0909090909090909;0.3333333333333333;0.0016750418760469;11.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Wolves;15;17;3;67;59;Bournemouth;6;5;9;31;3;10;0.32;0.68;325;0.67;11;17;5;5;1;0;1;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;18;0.0219354838709677;0.5454545454545454;218;0.0504587155963302;681.25;0.1111111111111111;3.125;-22;-0.36;-17;1;-6;0.0276923076923076;0.1111111111111111;0.32;1.0;0;1;1;0;1;0;1;0;0.1111111111111111;0.3333333333333333;0.003076923076923;9.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Wolves;3;17;17;67;58;Fulham;1;3;18;11;5;5;0.6;0.4;570;0.88;8;15;1;3;0;0;7;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;4;0.0363636363636363;0.125;502;0.0159362549800796;836.6666666666667;0.3888888888888889;11.666666666666668;7;0.1999999999999999;3;-2;-7;0.031578947368421;0.0555555555555555;0.6;7.0;1;0;1;0;0;1;0;1;0.0555555555555555;0.2;0.0017543859649122;18.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
