Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
2/10/24;Real Madrid;0;1;12;6;58;598;87;14;5;0;3;0;0;0;0;0;1;1;0
29/9/24;Real Madrid;1;1;12;4;49;548;89;11;1;0;5;0;1;1;0;1;0;1;0
24/9/24;Real Madrid;1;0;10;4;69;735;91;7;4;0;4;2;1;3;1;0;0;0;1
21/9/24;Real Madrid;1;0;31;14;73;703;90;7;4;0;9;0;4;4;1;0;0;0;1
17/9/24;Real Madrid;0;0;20;8;45;432;86;13;4;0;10;0;3;3;1;0;0;0;1
14/9/24;Real Madrid;1;3;16;6;52;494;88;9;1;0;6;0;2;2;1;0;0;1;0
1/9/24;Real Madrid;1;0;22;7;60;608;89;9;2;0;7;0;2;2;1;0;0;0;1
29/8/24;Real Madrid;1;3;25;8;57;547;87;13;3;0;6;0;1;1;0;1;0;1;0
25/8/24;Real Madrid;1;3;17;9;64;648;91;10;1;0;5;0;3;3;1;0;0;0;1
14/8/24;Real Madrid;17;0;13;6;52;550;87;12;2;0;5;0;2;2;1;0;0;0;1
6/8/24;Real Madrid;6;0;14;3;57;592;92;10;1;0;6;2;0;2;1;0;0;0;1
3/8/24;Real Madrid;6;0;11;3;51;548;91;14;2;0;6;0;1;1;0;0;1;0;1
31/7/24;Real Madrid;6;0;8;2;48;474;88;15;0;0;3;0;0;0;0;0;1;1;0
1/6/24;Real Madrid;0;28;13;6;58;549;91;8;1;0;8;0;2;2;1;0;0;1;0
25/5/24;Real Madrid;1;28;13;5;60;645;93;8;2;0;4;0;0;0;0;1;0;0;1
19/5/24;Real Madrid;1;3;12;6;57;685;91;12;2;0;3;4;0;4;0;1;0;1;0
14/5/24;Real Madrid;1;28;22;11;72;789;92;6;1;0;4;3;2;5;1;0;0;0;1
11/5/24;Real Madrid;1;0;13;7;59;538;88;10;0;0;5;2;2;4;1;0;0;1;0
8/5/24;Real Madrid;0;1;19;7;58;635;89;12;1;0;8;0;2;2;1;0;0;0;1
4/5/24;Real Madrid;1;0;19;9;72;788;93;6;0;0;7;0;3;3;1;0;0;0;1
30/4/24;Real Madrid;0;1;10;4;48;517;90;10;2;0;5;1;1;2;0;1;0;1;0
26/4/24;Real Madrid;1;3;5;3;43;423;82;11;4;0;3;1;0;1;1;0;0;1;0
