league,name_google
laliga-11,LaLiga
premier-league-7,Premier League
serie-a-17,Serie A
uefa-champions-league-572,Champions League
ligue-1-35,Ligue 1
uefa-europa-league-573,Europa League
laliga-2-12,Segunda División
uefa-conference-league-7685,Liga Conferencia
bundesliga-25,Bundesliga
brasileirao-serie-a-113,Brasileirão Serie A
libertadores-102,Copa Libertadores
copa-do-brasil-115,Copa de Brasil
coupe-de-france-37,Copa de Francia
efl-cup-9,EFL Cup
fa-cup-8,FA Cup
championship-1,Championship
uefa-super-cup-472,Supercopa de Europa
super-cup-15,Supercopa de España
copa-del-rey-13,Copa del Rey
fifa-club-world-cup-5096,Mundial de Clubes
serie-b-18,Serie B
dfb-pokal-28,DFB Pokal
bundesliga-2-26,2. Bundesliga
conmebol-sudamericana-389,Copa Sudamericana
paulista-114,Campeonato Paulista
brasileirao---serie-b-superbet-116,Brasileirão Série B
copa-do-nordeste-6007,Copa do Nordeste
cearense-5068,Campeonato Cearense
mineiro-5057,Campeonato Mineiro
supercopa-rei-7284,Supercopa de Brasil
carioca-418,Carioca Serie A
coppa-italia-20,Copa Italia
championnat-national-357,Championnat National
ligue-2-36,Ligue 2
league-one-2,Football League One
national-league-43,National League N / S
3.-liga-34,3. Liga
serie-c-6168,Serie C
super-cup-32,Supercopa de Alemania
gaucho-5058,Campeonato Gaúcho
super-liga-628,SuperLiga Serbia
prva-liga-5522,Prva Liga
super-cup-464,Supercopa de Croacia
