Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;David Raya-Arsenal;Ben White-Arsenal;William Saliba-Arsenal;Jakub Kiwior-Arsenal;Oleksandr Zinchenko-Arsenal;Martin Ødegaard-Arsenal;Declan Rice-Arsenal;Mikel Merino-Arsenal;Bukayo Saka-Arsenal;Leandro Trossard-Arsenal;Gabriel Martinelli-Arsenal;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Jurriën Timber-Arsenal;Myles Lewis-Skelly-Arsenal;Yakubu Partey-Arsenal;Kieran Tierney-Arsenal;Jorge Luiz Frello-Arsenal;Ethan Nwaneri-Arsenal;Raheem Sterling-Arsenal;Gabriel Magalhães-Arsenal;Riccardo Calafiori-Arsenal;Kai Havertz-Arsenal;Norberto Murara-Arsenal;Gabriel Jesus-Arsenal;Tommy Setford-Arsenal;Jack Porter-Arsenal;Joshua Nichols-Arsenal;Fábio Vieira-Arsenal;Karl Jakob Hein-Arsenal;Reiss Nelson-Arsenal;Ayden Heaven-Arsenal;Salah-Eddine Oulad M'Hand-Arsenal;Eddie Nketiah-Arsenal;Takehiro Tomiyasu-Arsenal;Emile Smith Rowe-Arsenal;Aaron Ramsdale-Arsenal;Cédric Soares-Arsenal;Mohamed Elneny-Arsenal;Charles Sagoe Jr-Arsenal;Granit Xhaka-Arsenal;Rob Holding-Arsenal
2025-05-11;Arsenal;3;0;3;9;2;Liverpool;2;1;15;14;7;5;0.56;0.44;447;0.85;10;13;1;1;1;0;1;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;3;0.0314285714285714;0.2;380;0.0263157894736842;678.5714285714286;0.0666666666666666;1.7857142857142856;1;0.12;-2;1;-3;0.0335570469798657;0.1333333333333333;0.28;0.5;0;2;2;0;1;0;1;0;0.1333333333333333;0.2857142857142857;0.0044742729306487;7.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-07;Arsenal;0;0;0;9;19;PSG;4;2;19;11;4;6;0.55;0.45;355;0.79;11;11;4;2;0;0;6;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.0409090909090909;0.3636363636363636;280;0.0392857142857142;509.09090909090907;0.3157894736842105;10.909090909090908;8;0.1;4;2;0;0.0535211267605633;0.0526315789473684;0.55;6.0;0;1;1;0;0;1;1;0;0.0526315789473684;0.25;0.0028169014084507;19.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Arsenal;3;0;3;9;59;Bournemouth;0;2;13;9;4;2;0.51;0.49;427;0.85;7;16;0;2;0;0;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3;0.0544444444444444;0.0;363;0.0192837465564738;711.7647058823529;0.1538461538461538;3.92156862745098;4;0.02;-1;-2;-9;0.0304449648711943;0.0769230769230769;0.51;2.0;1;0;1;0;0;1;0;1;0.0769230769230769;0.25;0.0023419203747072;13.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-29;Arsenal;0;0;0;9;19;PSG;2;2;10;11;5;4;0.47;0.53;389;0.83;15;15;2;2;0;0;3;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0481818181818181;0.1333333333333333;323;0.0464396284829721;687.2340425531916;0.3;6.382978723404256;-1;-0.06;2;0;0;0.0257069408740359;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-23;Arsenal;3;0;17;9;65;Crystal Palace;1;1;12;15;6;4;0.68;0.32;711;0.92;4;6;1;1;0;0;3;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;6;0.0213333333333333;0.25;654;0.0061162079510703;961.7647058823528;0.25;4.411764705882352;-3;0.36;-3;0;-2;0.0168776371308016;0.1666666666666666;0.34;1.5;2;0;2;0;1;0;0;1;0.1666666666666666;0.3333333333333333;0.0028129395218002;6.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Arsenal;3;0;8;9;66;Ipswich;0;1;24;4;7;0;0.75;0.25;752;0.91;7;10;0;0;0;1;12;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0.0625;0.0;684;0.0102339181286549;912.0;0.5;16.0;20;0.5;12;-1;-3;0.0319148936170212;0.1666666666666666;0.1875;3.0;2;2;4;1;0;0;1;0;0.1666666666666666;0.5714285714285714;0.0053191489361702;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Arsenal;0;0;3;9;12;Real Madrid;2;3;12;18;6;3;0.33;0.67;233;0.76;15;18;2;3;0;0;4;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;10;0.0372222222222222;0.1333333333333333;177;0.0847457627118644;536.3636363636364;0.3333333333333333;12.12121212121212;-6;-0.34;-6;-1;-3;0.0515021459227467;0.1666666666666666;0.165;2.0;0;2;2;1;0;0;1;0;0.1666666666666666;0.3333333333333333;0.0085836909871244;6.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Arsenal;3;0;1;9;57;Brentford;1;3;14;3;3;2;0.64;0.36;480;0.87;7;9;1;3;0;0;13;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;5;0.12;0.1428571428571428;418;0.0167464114832535;653.125;0.9285714285714286;20.3125;11;0.28;8;-2;-2;0.0291666666666666;0.0714285714285714;0.64;13.0;0;1;1;0;1;0;0;1;0.0714285714285714;0.3333333333333333;0.0020833333333333;14.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-08;Arsenal;0;0;1;9;12;Real Madrid;1;1;12;9;11;3;0.54;0.46;489;0.89;8;9;1;0;0;1;5;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0511111111111111;0.125;435;0.0183908045977011;805.5555555555555;0.4166666666666667;9.25925925925926;3;0.08;2;0;-1;0.0245398773006134;0.25;0.18;1.6666666666666667;0;3;3;1;0;0;0;1;0.25;0.2727272727272727;0.0061349693251533;4.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Arsenal;3;0;3;9;64;Everton;1;3;14;5;5;2;0.71;0.29;459;0.86;13;17;1;3;0;0;8;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;3;0.0579999999999999;0.0769230769230769;395;0.0329113924050632;556.3380281690141;0.5714285714285714;11.267605633802818;9;0.42;5;-2;-4;0.0305010893246187;0.0714285714285714;0.71;8.0;1;0;1;0;1;0;1;0;0.0714285714285714;0.2;0.0021786492374727;14.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
