Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Jan Oblak-Atlético Madrid;Marcos Llorente-Atlético Madrid;José María Giménez-Atlético Madrid;Robin Le Normand-Atlético Madrid;Javi Galán-Atlético Madrid;Giuliano Simeone-Atlético Madrid;Pablo Barrios Rivas-Atlético Madrid;Koke Resurrección-Atlético Madrid;Conor Gallagher-Atlético Madrid;Julián Álvarez-Atlético Madrid;Alexander Sørloth-Atlético Madrid;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Nahuel Molina-Atlético Madrid;Clément Lenglet-Atlético Madrid;César Azpilicueta-Atlético Madrid;Antoine Griezmann-Atlético Madrid;Juan Musso-Atlético Madrid;Reinildo Mandava-Atlético Madrid;Rodrigo De Paul-Atlético Madrid;Samuel Lino-Atlético Madrid;Axel Witsel-Atlético Madrid;Ángel Correa-Atlético Madrid;Rodrigo Riquelme Reche-Atlético Madrid;Ilias Kostis-Atlético Madrid;Javi Serrano-Atlético Madrid;Horațiu Moldovan-Atlético Madrid;Arthur Vermeeren-Atlético Madrid;João Félix-Atlético Madrid;Thomas Lemar-Atlético Madrid;Stefan Savić-Atlético Madrid;Gabriel Paulista-Atlético Madrid;Mario Hermoso Canseco-Atlético Madrid;Álvaro Morata-Atlético Madrid;Saúl Ñíguez-Atlético Madrid;Memphis Depay-Atlético Madrid;Çağlar Söyüncü-Atlético Madrid;Yannick Carrasco-Atlético Madrid;Ivo Grbić-Atlético Madrid;Sergio Reguilón-Atlético Madrid;Matt Doherty-Atlético Madrid;Marco Moreno-Atlético Madrid;Geoffrey Kondogbia-Atlético Madrid;Carlos Martín Domínguez-Atlético Madrid
2025-05-10;Atlético Madrid;1;0;7;27;46;Real Sociedad;0;1;13;6;7;1;0.61;0.39;662;0.91;7;12;0;1;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;3;0.065;0.0;602;0.0116279069767441;986.8852459016392;0.2307692307692307;4.918032786885246;7;0.2199999999999999;0;-1;-5;0.0196374622356495;0.3076923076923077;0.1525;0.75;4;0;4;1;0;0;0;1;0.3076923076923077;0.5714285714285714;0.0060422960725075;3.25;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Atlético Madrid;1;1;3;27;45;Alavés;2;3;9;8;2;2;0.65;0.35;496;0.82;13;18;2;3;0;0;5;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;3;0.04375;0.1538461538461538;407;0.0319410319410319;626.1538461538462;0.5555555555555556;7.692307692307692;1;0.3;2;-1;-5;0.0181451612903225;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-24;Atlético Madrid;1;1;3;27;42;Rayo Vallecano;0;2;10;12;5;5;0.41;0.59;407;0.85;8;15;0;2;0;0;6;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;3;0.0491666666666666;0.0;346;0.0231213872832369;843.9024390243903;0.6;14.634146341463415;-2;-0.18;3;-2;-7;0.0245700245700245;0.3;0.1366666666666666;2.0;2;1;3;1;0;0;0;1;0.3;0.6;0.0073710073710073;3.333333333333333;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Atlético Madrid;1;1;1;27;50;U. D. Las Palmas;1;3;7;8;2;2;0.59;0.41;543;0.83;13;13;1;3;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.05125;0.0769230769230769;451;0.0288248337028824;764.406779661017;0.5714285714285714;6.779661016949153;-1;0.18;0;-2;0;0.012891344383057;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-14;Atlético Madrid;1;1;7;27;51;Valladolid;1;1;24;6;9;3;0.55;0.45;595;0.91;11;8;1;1;0;0;5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1;0.075;0.0909090909090909;541;0.0203327171903881;983.6363636363636;0.2083333333333333;9.09090909090909;18;0.1;4;0;3;0.0403361344537815;0.1666666666666666;0.1375;1.25;2;2;4;1;0;0;0;1;0.1666666666666666;0.4444444444444444;0.0067226890756302;6.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Atlético Madrid;1;1;0;27;43;Sevilla;4;1;13;11;5;6;0.56;0.44;540;0.87;12;14;4;1;0;0;7;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;7;0.04;0.3333333333333333;470;0.025531914893617;839.2857142857142;0.5384615384615384;12.499999999999998;2;0.12;0;3;-2;0.024074074074074;0.1538461538461538;0.28;3.5;1;1;2;1;0;0;1;0;0.1538461538461538;0.4;0.0037037037037037;6.5;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Atlético Madrid;19;4;3;27;10;Barcelona;5;3;6;15;0;5;0.43;0.57;361;0.8;11;22;5;3;0;0;6;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;7;0.038;0.4545454545454545;289;0.0380622837370242;672.0930232558139;1.0;13.953488372093023;-9;-0.1399999999999999;-1;2;-11;0.0166204986149584;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Atlético Madrid;1;1;3;27;49;RCD Espanyol;1;2;13;8;2;1;0.61;0.39;626;0.87;14;12;1;2;0;0;3;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.04875;0.0714285714285714;545;0.0256880733944954;893.4426229508197;0.2307692307692307;4.918032786885246;5;0.2199999999999999;-1;-1;2;0.0207667731629392;0.0769230769230769;0.61;3.0;1;0;1;0;1;0;1;0;0.0769230769230769;0.5;0.0015974440894568;13.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Atlético Madrid;1;1;3;27;10;Barcelona;1;3;7;13;2;6;0.33;0.67;319;0.76;10;11;1;3;0;0;6;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;6;0.0515384615384615;0.1;242;0.0413223140495867;733.3333333333333;0.8571428571428571;18.18181818181818;-6;-0.34;0;-2;-1;0.0219435736677116;0.2857142857142857;0.165;3.0;1;1;2;0;0;1;0;1;0.2857142857142857;1.0;0.006269592476489;3.5;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-12;Atlético Madrid;0;1;1;27;12;Real Madrid;4;4;17;10;8;3;0.38;0.62;510;0.86;11;16;4;4;0;0;10;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;10;0.062;0.3636363636363636;439;0.0250569476082004;1155.2631578947369;0.5882352941176471;26.31578947368421;7;-0.24;0;0;-5;0.0333333333333333;0.0588235294117647;0.38;10.0;1;0;1;1;0;0;0;1;0.0588235294117647;0.125;0.0019607843137254;17.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
