Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Mark Flekken-Brentford;Michael Kayode-Brentford;Nathan Collins-Brentford;Sepp van den Berg-Brentford;Keane Lewis-Potter-Brentford;Christian Nørgaard-Brentford;Yehor Yarmolyuk-Brentford;Bryan Mbeumo-Brentford;Mikkel Damsgaard-Brentford;Kevin Schade-Brentford;Yoane Wissa-Brentford;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Kristoffer Ajer-Brentford;Vitaly Janelt-Brentford;Ethan Pinnock-Brentford;Hákon Rafn Valdimarsson-Brentford;Mads Roerslev-Brentford;Mathias Jensen-Brentford;Kim Ji-soo-Brentford;Rico Henry-Brentford;Paris Maghoma-Brentford;Fábio Carvalho-Brentford;Ben Mee-Brentford;Igor Thiago-Brentford;Jayden Meghoma-Brentford;Ryan Trevitt-Brentford;Frank Onyeka-Brentford;Myles Peart-Harris-Brentford;Mathias Jørgensen-Brentford;Sergio Reguilón-Brentford;Ivan Toney-Brentford;Neal Maupay-Brentford;Thomas Strakosha-Brentford;Josh Dasilva-Brentford;Saman Ghoddos-Brentford;Shandon Baptiste-Brentford;Aaron Hickey-Brentford;David Raya-Brentford;Pontus Jansson-Brentford;Mads Bech Sørensen-Brentford
2025-05-10;Brentford;3;3;3;57;66;Ipswich;4;2;15;11;5;4;0.51;0.49;376;0.84;12;6;4;2;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.0445454545454545;0.3333333333333333;316;0.0379746835443038;619.6078431372549;0.4;11.76470588235294;4;0.02;1;2;6;0.0398936170212766;0.0666666666666666;0.51;6.0;1;0;1;1;0;0;1;0;0.0666666666666666;0.2;0.0026595744680851;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Brentford;3;3;17;57;62;Manchester United;0;2;12;14;6;5;0.46;0.54;410;0.79;8;10;0;2;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0385714285714285;0.0;324;0.0246913580246913;704.3478260869565;0.5833333333333334;15.217391304347826;-2;-0.08;4;-2;-2;0.0292682926829268;0.3333333333333333;0.115;1.75;2;2;4;1;0;0;0;1;0.3333333333333333;0.6666666666666666;0.0097560975609756;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01;Brentford;3;3;3;57;55;Nottingham Forest;5;3;11;14;3;5;0.45;0.55;323;0.75;12;10;5;3;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0392857142857142;0.4166666666666667;242;0.0495867768595041;537.7777777777777;0.4545454545454545;11.11111111111111;-3;-0.1;1;2;2;0.0340557275541795;0.1818181818181818;0.225;2.5;1;1;2;1;0;0;1;0;0.1818181818181818;0.6666666666666666;0.0061919504643962;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Brentford;3;3;3;57;54;Brighton;3;4;16;12;8;3;0.46;0.54;421;0.8;7;11;3;3;0;1;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.045;0.4285714285714285;337;0.0207715133531157;732.6086956521739;0.25;8.695652173913043;4;-0.08;-3;-1;-4;0.0380047505938242;0.25;0.115;1.0;1;3;4;1;0;0;0;1;0.25;0.5;0.009501187648456;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Brentford;3;1;0;57;9;Arsenal;3;1;3;14;2;3;0.36;0.64;280;0.78;9;7;3;1;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;13;0.0457142857142857;0.3333333333333333;218;0.0412844036697247;605.5555555555555;1.6666666666666667;13.88888888888889;-11;-0.28;-8;2;2;0.0107142857142857;0.3333333333333333;0.36;5.0;0;1;1;0;1;0;1;0;0.3333333333333333;0.5;0.0035714285714285;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Brentford;3;3;3;57;53;Chelsea;1;3;9;21;2;5;0.4;0.6;330;0.76;12;12;1;3;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6;0.0285714285714285;0.0833333333333333;251;0.047808764940239;627.5;0.3333333333333333;7.5;-12;-0.1999999999999999;-3;-2;0;0.0272727272727272;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Brentford;3;3;0;57;60;Newcastle;1;1;12;21;3;4;0.52;0.48;427;0.77;12;12;1;1;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.0228571428571428;0.0833333333333333;329;0.0364741641337386;632.6923076923076;0.4166666666666667;9.615384615384617;-9;0.04;1;0;0;0.0281030444964871;0.0833333333333333;0.52;5.0;0;1;1;0;0;1;1;0;0.0833333333333333;0.3333333333333333;0.0023419203747072;12.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Brentford;3;3;3;57;59;Bournemouth;0;3;10;17;4;5;0.41;0.59;350;0.7;7;13;0;3;0;0;3;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.0347058823529411;0.0;245;0.0285714285714285;597.5609756097562;0.3;7.317073170731708;-7;-0.18;-1;-3;-6;0.0285714285714285;0.2;0.205;1.5;1;1;2;1;0;0;1;0;0.2;0.5;0.0057142857142857;5.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Brentford;3;3;3;57;1;Aston Villa;2;2;13;12;3;4;0.6;0.4;459;0.86;10;5;2;2;0;0;6;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;5;0.0333333333333333;0.2;395;0.0253164556962025;658.3333333333334;0.4615384615384615;10.0;1;0.1999999999999999;1;0;5;0.0283224400871459;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Brentford;3;3;3;57;64;Everton;2;1;12;14;3;4;0.52;0.48;458;0.83;3;6;2;1;0;0;2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;5;0.0342857142857142;0.6666666666666666;380;0.0078947368421052;730.7692307692307;0.1666666666666666;3.846153846153846;-2;0.04;-3;1;-3;0.0262008733624454;0.0833333333333333;0.52;2.0;1;0;1;0;1;0;0;1;0.0833333333333333;0.3333333333333333;0.0021834061135371;12.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
