Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Jordan Pickford-Everton;Jake O'Brien-Everton;James Tarkowski-Everton;Jarrad Branthwaite-Everton;Vitali Mykolenko-Everton;James Garner-Everton;Idrissa Gana Gueye-Everton;Jack Harrison-Everton;Abdoulaye Doucouré-Everton;Iliman Ndiaye-Everton;Armando Broja-Everton;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Nathan Patterson-Everton;Tim Iroegbunam-Everton;Beto Betuncal-Everton;Carlos Jonás Alcaraz-Everton;Jesper Lindstrøm-Everton;Ashley Young-Everton;Orel Mangala-Everton;Dominic Calvert-Lewin-Everton;João Virgínia-Everton;Michael Keane-Everton;Harrison Armstrong-Everton;Séamus Coleman-Everton;Dwight McNeil-Everton;Roman Dixon-Everton;Amadou Onana-Everton;Ben Godfrey-Everton;Youssef Chermiti-Everton;André Gomes-Everton;Arnaut Danjuma-Everton;Lewis Dobbin-Everton;Alex Iwobi-Everton;Neal Maupay-Everton;Yerry Mina-Everton;Conor Coady-Everton;Demarai Gray-Everton;Mason Holgate-Everton;Ellis Simms-Everton;Tom Davies-Everton;Anthony Gordon-Everton;Asmir Begović-Everton;Rúben Vinagre-Everton;Isaac Price-Everton
2025-05-10;Everton;3;3;3;64;58;Fulham;0;1;11;18;7;6;0.36;0.64;314;0.78;9;15;0;1;0;0;5;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;5;0.0355555555555555;0.0;245;0.036734693877551;680.5555555555555;0.4545454545454545;13.88888888888889;-7;-0.28;0;-1;-6;0.0350318471337579;0.2727272727272727;0.12;1.6666666666666667;1;2;3;1;0;0;1;0;0.2727272727272727;0.4285714285714285;0.0095541401273885;3.6666666666666665;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Everton;3;3;3;64;66;Ipswich;4;4;8;12;3;5;0.58;0.42;481;0.87;12;15;4;4;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3;0.0349999999999999;0.3333333333333333;418;0.0287081339712918;720.6896551724138;0.25;3.4482758620689657;-4;0.1599999999999999;-1;0;-3;0.0166320166320166;0.25;0.29;1.0;2;0;2;0;1;0;0;1;0.25;0.6666666666666666;0.0041580041580041;4.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Everton;3;3;3;64;53;Chelsea;0;0;6;10;3;7;0.45;0.55;412;0.84;11;11;0;0;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;10;0.055;0.0;346;0.0317919075144508;768.8888888888889;0.3333333333333333;4.444444444444445;-4;-0.1;-8;0;0;0.0145631067961165;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Everton;3;3;3;64;3;Manchester City;4;0;8;12;3;7;0.32;0.68;318;0.78;7;6;4;0;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.0566666666666666;0.5714285714285714;248;0.0282258064516129;775.0;0.25;6.25;-4;-0.36;-3;4;1;0.0251572327044025;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Everton;3;3;3;64;55;Nottingham Forest;3;0;13;10;5;5;0.58;0.42;444;0.81;13;9;3;0;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0419999999999999;0.2307692307692307;360;0.0361111111111111;620.6896551724138;0.5384615384615384;12.06896551724138;3;0.1599999999999999;6;3;4;0.0292792792792792;0.0769230769230769;0.58;7.0;0;1;1;1;0;0;1;0;0.0769230769230769;0.2;0.0022522522522522;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Everton;3;3;0;64;9;Arsenal;3;1;5;14;2;5;0.29;0.71;189;0.68;17;13;3;1;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;8;0.0507142857142857;0.1764705882352941;129;0.1317829457364341;444.82758620689657;0.6;10.344827586206897;-9;-0.42;-5;2;4;0.0264550264550264;0.2;0.29;3.0;0;1;1;0;1;0;0;1;0.2;0.5;0.0052910052910052;5.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Everton;3;3;3;64;2;Liverpool;2;2;5;17;0;3;0.26;0.74;206;0.63;11;7;2;2;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;11;0.0435294117647058;0.1818181818181818;130;0.0846153846153846;500.0;1.0;19.23076923076923;-12;-0.48;-6;0;4;0.0242718446601941;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Everton;3;3;2;64;61;West Ham;1;2;13;10;5;5;0.54;0.46;488;0.84;12;8;1;2;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;5;0.046;0.0833333333333333;410;0.0292682926829268;759.2592592592592;0.4615384615384615;11.11111111111111;3;0.08;1;-1;4;0.026639344262295;0.0769230769230769;0.54;6.0;0;1;1;0;1;0;0;1;0.0769230769230769;0.2;0.0020491803278688;13.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Everton;3;3;17;64;67;Wolves;2;2;12;11;4;3;0.34;0.66;306;0.76;16;11;2;2;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;5;0.06;0.125;233;0.0686695278969957;685.2941176470588;0.4166666666666667;14.705882352941176;1;-0.32;0;0;5;0.0392156862745098;0.0833333333333333;0.34;5.0;1;0;1;0;1;0;1;0;0.0833333333333333;0.25;0.0032679738562091;12.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Everton;3;3;3;64;57;Brentford;1;2;14;12;4;3;0.48;0.52;425;0.82;6;3;1;2;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2;0.0433333333333333;0.1666666666666666;348;0.0172413793103448;725.0;0.3571428571428571;10.416666666666668;2;-0.04;3;-1;3;0.0329411764705882;0.0714285714285714;0.48;5.0;0;1;1;0;1;0;1;0;0.0714285714285714;0.25;0.0023529411764705;14.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
