Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Nicola Leali-Genoa;Stefano Sabelli-Genoa;Koni de Winter-Genoa;Johan Vásquez-Genoa;Alessandro Zanoli-Genoa;Patrizio Masini-Genoa;Milan Badelj-Genoa;Aarón Martín-Genoa;Fabio Miretti-Genoa;Vítor Oliveira-Genoa;Andrea Pinamonti-Genoa;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Morten Frendrup-Genoa;Ruslan Malinovskyi-Genoa;Morten Thorsby-Genoa;Alan Matturro-Genoa;Jean Onana-Genoa;Brooke Norton-Cuffy-Genoa;Jeff Ekhator-Genoa;Maxwel Cornet-Genoa;Caleb Ekuban-Genoa;Mattia Bani-Genoa;Junior Messias-Genoa;Lior Kasa-Genoa;Alessandro Vogliacco-Genoa;Alessandro Marcandalli-Genoa;Filippo Melegoni-Genoa;Pierluigi Gollini-Genoa;Emil Bohinen-Genoa;Honest Ahanor-Genoa;Giorgio Cittadini-Genoa;Albert Guðmundsson-Genoa;Josep Martínez-Genoa;Djed Spence-Genoa;Kevin Strootman-Genoa;Mateo Retegui-Genoa;Ridgeciano Haps-Genoa;Radu Drăgușin-Genoa;Silvan Hefti-Genoa;Filip Jagiełło-Genoa;Pablo Galdames Millán-Genoa;Berkan Kutlu-Genoa;George Pușcaș-Genoa;Davide Biraschi-Genoa;Massimo Coda-Genoa;Eddy Salcedo-Genoa;Mattia Aramu-Genoa;Stefano Sturaro-Genoa;Domenico Criscito-Genoa;Stefan Ilsanker-Genoa;Brayan Boci-Genoa;Lennart Czyborra-Genoa;Güven Yalçın-Genoa;Adrian Šemper-Genoa;Manolo Portanova-Genoa;Marko Pajač-Genoa;Kelvin Yeboah-Genoa;Benjamin Siegrist-Genoa;Sebastian Otoa-Genoa
2025-05-11;Genoa;4;3;2;83;69;Napoli;2;1;8;22;2;11;0.4;0.6;351;0.76;14;12;2;1;0;0;0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;8;0.0272727272727272;0.1428571428571428;267;0.0524344569288389;667.5;0.0;0.0;-14;-0.1999999999999999;-8;1;2;0.0227920227920227;0.25;0.2;0.0;1;1;2;0;1;0;1;0;0.25;1.0;0.0056980056980056;4.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
2025-05-05;Genoa;4;3;17;83;25;Milan;1;5;11;10;4;5;0.39;0.61;336;0.8;14;12;1;5;0;0;8;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;7;0.061;0.0714285714285714;269;0.0520446096654275;689.7435897435897;0.7272727272727273;20.51282051282051;1;-0.2199999999999999;1;-4;2;0.0327380952380952;0.0909090909090909;0.39;8.0;0;1;1;0;0;1;0;1;0.0909090909090909;0.25;0.0029761904761904;11.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Genoa;4;7;3;83;78;Como;1;2;4;14;1;3;0.47;0.53;411;0.81;15;19;1;2;0;0;3;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;6;0.0378571428571428;0.0666666666666666;333;0.045045045045045;708.5106382978723;0.75;6.382978723404256;-10;-0.06;-3;-1;-4;0.0097323600973236;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-23;Genoa;4;1;3;83;71;Lazio;4;2;8;15;4;6;0.38;0.62;315;0.8;16;10;3;1;1;1;6;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;8;0.0413333333333333;0.25;252;0.0634920634920634;663.1578947368421;0.75;15.789473684210526;-7;-0.24;-2;2;6;0.0253968253968253;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2025-04-13;Genoa;4;17;2;83;77;Hellas Verona;1;3;4;14;1;2;0.55;0.45;436;0.77;11;19;1;3;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6;0.0321428571428571;0.0909090909090909;336;0.0327380952380952;610.9090909090909;0.5;3.636363636363636;-10;0.1;-4;-2;-8;0.0091743119266055;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-04;Genoa;4;17;1;83;72;Udinese;2;2;13;5;7;2;0.54;0.46;459;0.78;16;14;2;2;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;2;0.092;0.125;358;0.0446927374301676;662.9629629629629;0.0769230769230769;1.851851851851852;8;0.08;-1;0;2;0.0283224400871459;0.0769230769230769;0.54;1.0;0;1;1;1;0;0;0;1;0.0769230769230769;0.1428571428571428;0.0021786492374727;13.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Genoa;4;3;17;83;14;Juventus;2;2;9;9;3;6;0.51;0.49;424;0.81;11;13;2;2;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;4;0.0544444444444444;0.1818181818181818;343;0.032069970845481;672.5490196078431;0.3333333333333333;5.88235294117647;0;0.02;-1;0;-2;0.0212264150943396;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-14;Genoa;4;3;3;83;82;Lecce;3;2;8;15;2;2;0.43;0.57;344;0.72;12;10;3;2;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;3;0.038;0.25;248;0.0483870967741935;576.7441860465117;0.375;6.976744186046512;-7;-0.1399999999999999;0;1;2;0.0232558139534883;0.25;0.215;1.5;2;0;2;1;0;0;0;1;0.25;1.0;0.005813953488372;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-07;Genoa;4;3;3;83;79;Cagliari;2;2;8;9;2;1;0.54;0.46;428;0.76;15;16;2;2;0;0;5;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;2;0.0511111111111111;0.1333333333333333;325;0.0461538461538461;601.8518518518518;0.625;9.25925925925926;-1;0.08;3;0;-1;0.0186915887850467;0.125;0.54;5.0;0;1;1;0;1;0;1;0;0.125;0.5;0.0023364485981308;8.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Genoa;4;17;17;83;75;Empoli;1;3;4;7;1;1;0.61;0.39;412;0.74;12;18;1;3;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;6;0.0557142857142857;0.0833333333333333;305;0.0393442622950819;500.0;0.75;4.918032786885246;-3;0.2199999999999999;-3;-2;-6;0.0097087378640776;0.25;0.61;3.0;0;1;1;0;1;0;0;1;0.25;1.0;0.0024271844660194;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
