Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Matěj Kovář-Leverkusen;Edmond Tapsoba-Leverkusen;Jonathan Tah-Leverkusen;Piero Hincapié-Leverkusen;Jeremie Frimpong-Leverkusen;Aleix García Serrano-Leverkusen;Granit Xhaka-Leverkusen;Alejandro Grimaldo-Leverkusen;Florian Wirtz-Leverkusen;Emiliano Buendía-Leverkusen;Patrik Schick-Leverkusen;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Arthur Augusto-Leverkusen;Nathan Tella-Leverkusen;Robert Andrich-Leverkusen;Lukáš Hrádecký-Leverkusen;Exequiel Palacios-Leverkusen;Victor Boniface-Leverkusen;Amine Adli-Leverkusen;Nordi Mukiele-Leverkusen;Mario Hermoso Canseco-Leverkusen;Martin Terrier-Leverkusen;Jonas Hofmann-Leverkusen;Jeanuël Belocian-Leverkusen;Odilon Kossounou-Leverkusen;Josip Stanišić-Leverkusen;Adam Hložek-Leverkusen;Borja Iglesias-Leverkusen;Nadiem Amiri-Leverkusen;Niklas Lomb-Leverkusen;Gustavo Puerta-Leverkusen;Mitchel Bakker-Leverkusen;Sardar Azmoun-Leverkusen;Moussa Diaby-Leverkusen;Kerem Demirbay-Leverkusen
2025-05-11;Leverkusen;9;17;17;6;11;Dortmund;0;2;19;9;10;5;0.63;0.37;605;0.88;7;8;0;2;0;0;12;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0;0.0411111111111111;0.0;532;0.0131578947368421;844.4444444444445;0.631578947368421;19.047619047619047;10;0.26;12;-2;-1;0.0314049586776859;0.1052631578947368;0.315;6.0;1;1;2;0;0;1;0;1;0.1052631578947368;0.2;0.0033057851239669;9.5;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Leverkusen;9;17;8;6;170;Friburgo;2;1;5;7;2;3;0.68;0.32;631;0.85;16;10;2;1;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0457142857142857;0.125;536;0.0298507462686567;788.235294117647;0.2;1.4705882352941175;-2;0.36;-3;1;6;0.0079239302694136;0.4;0.34;0.5;0;2;2;0;1;0;1;0;0.4;1.0;0.0031695721077654;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Leverkusen;9;8;17;6;173;Augsburgo;0;1;14;11;5;2;0.53;0.47;519;0.86;10;10;0;1;0;0;3;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;7;0.0427272727272727;0.0;446;0.0224215246636771;841.5094339622641;0.2142857142857142;5.660377358490566;3;0.06;-4;-1;0;0.0269749518304431;0.1428571428571428;0.265;1.5;2;0;2;1;0;0;0;1;0.1428571428571428;0.4;0.0038535645472061;7.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Leverkusen;9;17;6;6;176;St. Pauli;4;1;6;10;4;5;0.58;0.42;585;0.85;12;12;4;1;0;0;4;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;4;0.0419999999999999;0.3333333333333333;497;0.0241448692152917;856.896551724138;0.6666666666666666;6.896551724137932;-4;0.1599999999999999;0;3;0;0.0102564102564102;0.1666666666666666;0.58;4.0;1;0;1;0;1;0;1;0;0.1666666666666666;0.25;0.0017094017094017;6.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Leverkusen;9;2;17;6;169;FC Union Berlin;2;1;17;7;4;3;0.75;0.25;703;0.91;10;13;2;1;0;0;7;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;3;0.0357142857142857;0.2;640;0.015625;853.3333333333334;0.4117647058823529;9.333333333333334;10;0.5;4;1;-3;0.0241820768136557;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Leverkusen;9;17;9;6;142;Heidenheim;0;1;6;10;2;2;0.52;0.48;536;0.85;10;14;0;1;0;0;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;4;0.048;0.0;456;0.0219298245614035;876.9230769230769;0.0;0.0;-4;0.04;-4;-1;-4;0.0111940298507462;0.1666666666666666;0.52;0.0;0;1;1;1;0;0;1;0;0.1666666666666666;0.5;0.001865671641791;6.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Leverkusen;23;29;9;6;614;Arminia;5;3;13;8;4;3;0.52;0.48;383;0.63;12;14;5;3;0;0;6;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;7;0.06;0.4166666666666667;241;0.0497925311203319;463.46153846153845;0.4615384615384615;11.538461538461538;5;0.04;-1;2;-2;0.0339425587467362;0.0769230769230769;0.52;6.0;1;0;1;0;0;1;1;0;0.0769230769230769;0.25;0.0026109660574412;13.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-28;Leverkusen;9;2;4;6;178;Bochum;0;1;14;8;5;3;0.66;0.34;690;0.88;6;13;0;1;0;0;3;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2;0.0425;0.0;607;0.0098846787479406;919.6969696969696;0.2142857142857142;4.545454545454545;6;0.32;1;-1;-7;0.0202898550724637;0.2142857142857142;0.22;1.0;1;2;3;1;0;0;0;1;0.2142857142857142;0.6;0.0043478260869565;4.666666666666667;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Leverkusen;9;8;1;6;18;Stuttgart;2;3;16;11;4;6;0.57;0.43;438;0.8;14;13;2;3;0;0;10;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1;0.039090909090909;0.1428571428571428;350;0.04;614.0350877192983;0.625;17.54385964912281;5;0.1399999999999999;9;-1;1;0.0365296803652968;0.25;0.1425;2.5;0;4;4;1;0;0;1;0;0.25;1.0;0.0091324200913242;4.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-11;Leverkusen;0;5;3;6;23;Bayern;4;3;17;12;3;5;0.54;0.46;365;0.75;24;13;4;3;0;0;14;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;6;0.0383333333333333;0.1666666666666666;274;0.0875912408759124;507.4074074074074;0.8235294117647058;25.925925925925924;5;0.08;8;1;11;0.0465753424657534;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
