Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Lasse Finn Rieß-Mainz 05;Danny da Costa-Mainz 05;Andreas Hanche-Olsen-Mainz 05;Dominik Kohr-Mainz 05;Anthony Caci-Mainz 05;Kaishu Sano-Mainz 05;Nadiem Amiri-Mainz 05;Phillipp Mwene-Mainz 05;Paul Nebel-Mainz 05;Lee Jae-sung-Mainz 05;Jonathan Burkardt-Mainz 05;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Robin Zentner-Mainz 05;Moritz Jenz-Mainz 05;Nikolas Veratschnig-Mainz 05;Nelson Weiper-Mainz 05;Silvan Widmer-Mainz 05;Stefan Bell-Mainz 05;Armindo Sieb-Mainz 05;Maxim Leitsch-Mainz 05;Gabriel Vidović-Mainz 05;Hong Hyun-seok-Mainz 05;Karim Onisiwo-Mainz 05;Sepp van den Berg-Mainz 05;Leandro Barreiro-Mainz 05;Brajan Gruda-Mainz 05;Edimilson Fernandes-Mainz 05;Ludovic Ajorque-Mainz 05;Josuha Guilavogui-Mainz 05;Tom Krauß-Mainz 05;Merveille Papela-Mainz 05;Jessic Ngankam-Mainz 05;Marco Richter-Mainz 05;Daniel Batz-Mainz 05;Aymen Barkok-Mainz 05;Anton Stach-Mainz 05;Finn Dahmen-Mainz 05;Aarón Martín-Mainz 05;Marcus Ingvartsen-Mainz 05;Alexander Hack-Mainz 05;Angelo Fulgini-Mainz 05;Anderson Lucoqui-Mainz 05;Keanu Kraft-Mainz 05;Marlon Mustapha-Mainz 05;Eniss Shabani-Mainz 05;Moussa Niakhaté-Mainz 05;Daniel Brosinski-Mainz 05;Jean-Paul Boetius-Mainz 05
2025-05-10;Mainz 05;9;17;30;174;178;Bochum;0;3;22;11;8;6;0.57;0.43;442;0.78;6;9;0;3;0;0;6;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6;0.039090909090909;0.0;345;0.017391304347826;605.2631578947369;0.2727272727272727;10.526315789473683;11;0.1399999999999999;0;-3;-3;0.0497737556561085;0.1818181818181818;0.1425;1.5;1;3;4;1;0;0;1;0;0.1818181818181818;0.5;0.0090497737556561;5.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Mainz 05;9;17;17;174;87;Frankfurt;1;0;12;8;3;2;0.65;0.35;549;0.8;10;10;1;0;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.04375;0.1;439;0.0227790432801822;675.3846153846154;0.6666666666666666;12.307692307692308;4;0.3;7;1;0;0.0218579234972677;0.0833333333333333;0.65;8.0;0;1;1;0;1;0;0;1;0.0833333333333333;0.3333333333333333;0.0018214936247723;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Mainz 05;9;17;13;174;23;Bayern;2;2;8;14;3;6;0.41;0.59;393;0.82;17;13;2;2;0;0;4;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0421428571428571;0.1176470588235294;322;0.0527950310559006;785.3658536585366;0.5;9.75609756097561;-6;-0.18;0;0;4;0.0203562340966921;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Mainz 05;9;29;2;174;175;Wolfsburg;2;3;18;16;7;4;0.52;0.48;380;0.77;15;8;2;3;0;0;7;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;5;0.03;0.1333333333333333;293;0.0511945392491467;563.4615384615385;0.3888888888888889;13.461538461538462;2;0.04;2;-1;7;0.0473684210526315;0.1111111111111111;0.26;3.5;2;0;2;0;1;0;0;1;0.1111111111111111;0.2857142857142857;0.0052631578947368;9.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Mainz 05;9;17;3;174;97;Hoffenheim;1;4;14;8;1;5;0.65;0.35;508;0.82;11;18;0;4;1;0;7;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;4;0.04375;0.0909090909090909;417;0.026378896882494;641.5384615384615;0.5;10.769230769230768;6;0.3;3;-3;-7;0.0275590551181102;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Mainz 05;9;17;29;174;177;KSV Holstein;3;4;13;10;3;5;0.58;0.42;428;0.75;12;8;3;4;0;0;4;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0419999999999999;0.25;321;0.0373831775700934;553.448275862069;0.3076923076923077;6.896551724137932;3;0.1599999999999999;0;-1;4;0.0303738317757009;0.0769230769230769;0.58;4.0;0;1;1;0;1;0;0;1;0.0769230769230769;0.3333333333333333;0.0023364485981308;13.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Mainz 05;9;17;30;174;11;Dortmund;0;2;12;18;2;7;0.56;0.44;535;0.78;8;10;0;2;0;0;4;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;6;0.0244444444444444;0.0;417;0.0191846522781774;744.6428571428571;0.3333333333333333;7.142857142857142;-6;0.12;-2;-2;-2;0.022429906542056;0.0833333333333333;0.56;4.0;0;1;1;0;0;1;1;0;0.0833333333333333;0.5;0.0018691588785046;12.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Mainz 05;9;17;8;174;170;Friburgo;2;2;9;24;4;8;0.44;0.56;376;0.75;7;7;1;2;1;0;1;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0233333333333333;0.2857142857142857;282;0.0248226950354609;640.9090909090909;0.1111111111111111;2.272727272727273;-15;-0.12;-3;0;0;0.0239361702127659;0.2222222222222222;0.22;0.5;1;1;2;0;1;0;0;1;0.2222222222222222;0.5;0.0053191489361702;4.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-07;Mainz 05;9;17;3;174;172;Mönchengladbach;1;0;15;12;7;4;0.42;0.58;455;0.81;6;6;1;0;0;0;3;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0483333333333333;0.1666666666666666;369;0.016260162601626;878.5714285714286;0.2;7.142857142857143;3;-0.1599999999999999;-1;1;0;0.0329670329670329;0.2;0.1399999999999999;1.0;1;2;3;1;0;0;1;0;0.2;0.4285714285714285;0.0065934065934065;5.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Mainz 05;9;17;29;174;31;RB Leipzig;1;1;15;13;3;4;0.51;0.49;543;0.78;15;8;1;1;0;0;1;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.0376923076923076;0.0666666666666666;424;0.035377358490566;831.3725490196078;0.0666666666666666;1.96078431372549;2;0.02;-6;0;7;0.0276243093922651;0.1333333333333333;0.255;0.5;0;2;2;1;0;0;1;0;0.1333333333333333;0.6666666666666666;0.003683241252302;7.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
