Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Sergio Herrera Pirón-Osasuna;Jesús Areso-Osasuna;Enzo Boyomo-Osasuna;Alejandro Catena Marugán-Osasuna;Jorge Herrando-Osasuna;Abel Bretones-Osasuna;Jon Moncayola-Osasuna;Lucas Torró-Osasuna;Aimar Oroz-Osasuna;Ante Budimir-Osasuna;Rubén García Santos-Osasuna;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Aitor Fernández Abarisketa-Osasuna;Juan Cruz Álvaro Armada-Osasuna;Pablo Ibáñez Lumbreras-Osasuna;Iker Muñoz-Osasuna;José Arnaiz-Osasuna;Raúl García de Haro-Osasuna;Bryan Zaragoza-Osasuna;Rubén Peña Jiménez-Osasuna;Moi Gómez-Osasuna;Kike Barja-Osasuna;Nacho Vidal Miralles-Osasuna;Unai García-Osasuna;Iker Benito-Osasuna;Johan Mojica-Osasuna;David García-Osasuna;Darko Brašanac-Osasuna;Ezequiel Ávila-Osasuna;Aridane Hernández-Osasuna;Manuel Sánchez de la Peña-Osasuna;Abde Ezzalzouli-Osasuna;Diego Moreno Garbayo-Osasuna;Kike García-Osasuna;Roberto Torres Morales-Osasuna
2025-05-11;Osasuna;1;3;3;41;39;Betis;2;3;16;10;5;5;0.41;0.59;340;0.8;12;8;2;3;0;0;7;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;6;0.059;0.1666666666666666;272;0.0441176470588235;663.4146341463415;0.4375;17.073170731707318;6;-0.18;1;-1;4;0.0470588235294117;0.0625;0.41;7.0;0;1;1;0;1;0;1;0;0.0625;0.2;0.0029411764705882;16.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Osasuna;1;4;1;41;37;Villarreal;1;4;11;15;4;5;0.56;0.44;473;0.84;18;10;1;4;0;0;8;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2;0.0293333333333333;0.0555555555555555;397;0.0453400503778337;708.9285714285713;0.7272727272727273;14.285714285714285;-4;0.12;6;-3;8;0.0232558139534883;0.1818181818181818;0.28;4.0;0;2;2;0;0;1;1;0;0.1818181818181818;0.5;0.0042283298097251;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-24;Osasuna;1;4;3;41;43;Sevilla;4;3;9;12;2;3;0.58;0.42;485;0.88;14;13;4;2;0;1;4;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.0349999999999999;0.2857142857142857;427;0.0327868852459016;736.2068965517242;0.4444444444444444;6.896551724137932;-3;0.1599999999999999;0;1;1;0.0185567010309278;0.1111111111111111;0.58;4.0;1;0;1;1;0;0;0;1;0.1111111111111111;0.5;0.002061855670103;9.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Osasuna;1;4;7;41;51;Valladolid;1;1;11;12;6;5;0.49;0.51;508;0.85;17;12;1;1;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.0425;0.0588235294117647;432;0.0393518518518518;881.6326530612245;0.1818181818181818;4.081632653061225;-1;-0.02;-3;0;5;0.0216535433070866;0.2727272727272727;0.1633333333333333;0.6666666666666666;2;1;3;1;0;0;1;0;0.2727272727272727;0.5;0.0059055118110236;3.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Osasuna;1;4;3;41;24;Girona;2;1;13;18;6;8;0.31;0.69;254;0.78;17;15;2;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0383333333333333;0.1176470588235294;198;0.0858585858585858;638.7096774193549;0.3076923076923077;12.903225806451614;-5;-0.3799999999999999;0;1;2;0.0511811023622047;0.1538461538461538;0.155;2.0;1;1;2;1;0;0;0;1;0.1538461538461538;0.3333333333333333;0.0078740157480314;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-07;Osasuna;1;4;29;41;47;Leganés;3;3;13;13;6;7;0.44;0.56;323;0.75;14;18;3;3;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.043076923076923;0.2142857142857142;242;0.0578512396694214;550.0;0.6153846153846154;18.181818181818183;0;-0.12;4;0;-4;0.0402476780185758;0.0769230769230769;0.44;8.0;0;1;1;0;1;0;1;0;0.0769230769230769;0.1666666666666666;0.0030959752321981;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Osasuna;1;9;3;41;38;Athletic;1;1;5;11;2;5;0.38;0.62;333;0.74;12;12;1;1;0;0;4;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0563636363636363;0.0833333333333333;246;0.048780487804878;647.3684210526316;0.8;10.526315789473683;-6;-0.24;1;0;0;0.015015015015015;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-27;Osasuna;1;1;0;41;10;Barcelona;3;1;4;19;0;5;0.25;0.75;257;0.7;14;7;3;1;0;0;4;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;8;0.0394736842105263;0.2142857142857142;180;0.0777777777777777;720.0;1.0;16.0;-15;-0.5;-4;2;7;0.0155642023346303;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Osasuna;1;0;3;41;48;Getafe;2;3;12;7;4;4;0.63;0.37;453;0.83;19;15;2;2;0;1;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;2;0.0528571428571428;0.1052631578947368;376;0.050531914893617;596.8253968253969;0.25;4.761904761904762;5;0.26;1;-1;4;0.0264900662251655;0.0833333333333333;0.63;3.0;1;0;1;0;0;1;0;1;0.0833333333333333;0.25;0.0022075055187637;12.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Osasuna;1;3;3;41;52;Valencia C. F.;2;1;11;12;5;5;0.51;0.49;452;0.84;10;7;2;1;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0408333333333333;0.2;380;0.0263157894736842;745.0980392156863;0.2727272727272727;5.88235294117647;-1;0.02;0;1;3;0.0243362831858407;0.2727272727272727;0.17;1.0;3;0;3;0;1;0;0;1;0.2727272727272727;0.6;0.0066371681415929;3.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
