Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Weverton-Palmeiras;Agustín Giay-Palmeiras;Gustavo Gómez Portillo-Palmeiras;Bruno Fuchs-Palmeiras;Allan-Palmeiras;Lucas Evangelista Santana de Oliveira-Palmeiras;Emiliano Martínez Toranza-Palmeiras;Vanderlan-Palmeiras;Estêvão Willian-Palmeiras;Vitor Roque-Palmeiras;Facundo Torres-Palmeiras;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Felipe Anderson-Palmeiras;Richard Ríos Montoya-Palmeiras;Joaquín Piquerez-Palmeiras;Luiz Benedetti-Palmeiras;Aníbal Moreno-Palmeiras;Maurício Magalhães Prado-Palmeiras;José Manuel López-Palmeiras;Micael-Palmeiras;Murilo Cerqueira-Palmeiras;Raphael Veiga-Palmeiras;Mayke-Palmeiras;Marcos Rocha-Palmeiras;Kaiky Naves-Palmeiras;Fábio Silva de Freitas-Palmeiras;Luighi-Palmeiras;Thalys-Palmeiras;Marcelo Lomba-Palmeiras;Caio Paulista-Palmeiras;Rômulo-Palmeiras;Vitor Reis-Palmeiras;Ronielson da Silva Barbosa-Palmeiras;Eduardo Pereira Rodrigues-Palmeiras;Zé Rafael-Palmeiras;Lázaro Vinícius-Palmeiras;Gabriel Menino-Palmeiras;Jhonatan dos Santos Rosa-Palmeiras;Luis Guilherme-Palmeiras;Endrick-Palmeiras;Luan Garcia Teixeira-Palmeiras;Gustavo Garcia-Palmeiras;Breno Henrique Vasconcelos Lopes-Palmeiras;Bruno Rodrigues-Palmeiras;Kevin-Palmeiras;Artur Victor Guimarães-Palmeiras;Jailson-Palmeiras;Paulinho-Palmeiras
2025-05-15;Palmeiras;-1;3;0;217;213;Bolívar;0;0;19;5;9;3;0.52;0.48;416;0.85;8;7;0;0;0;0;8;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;4;0.096;0.0;354;0.0225988700564971;680.7692307692307;0.4210526315789473;15.384615384615383;14;0.04;4;0;1;0.0456730769230769;0.1052631578947368;0.26;4.0;2;0;2;1;0;0;0;1;0.1052631578947368;0.2222222222222222;0.0048076923076923;9.5;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-11;Palmeiras;10;17;3;217;201;São Paulo;1;2;17;6;4;2;0.58;0.42;460;0.81;12;16;1;2;0;0;10;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1;0.0699999999999999;0.0833333333333333;373;0.032171581769437;643.1034482758621;0.5882352941176471;17.24137931034483;11;0.1599999999999999;9;-1;-4;0.0369565217391304;0.0588235294117647;0.58;10.0;0;1;1;1;0;0;0;1;0.0588235294117647;0.25;0.0021739130434782;17.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2025-05-07;Palmeiras;-1;6;1;217;199;Cerro;3;1;9;17;6;2;0.55;0.45;412;0.8;13;10;3;1;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8;0.0264705882352941;0.2307692307692307;330;0.0393939393939393;600.0;0.5555555555555556;9.09090909090909;-8;0.1;-3;2;3;0.0218446601941747;0.2222222222222222;0.275;2.5;1;1;2;1;0;0;1;0;0.2222222222222222;0.3333333333333333;0.0048543689320388;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Palmeiras;10;6;1;217;777;Vasco da Gama;0;2;16;13;2;5;0.48;0.52;375;0.85;8;11;0;2;0;0;11;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;7;0.04;0.0;319;0.0250783699059561;664.5833333333334;0.6875;22.916666666666668;3;-0.04;4;-2;-3;0.0426666666666666;0.0625;0.48;11.0;0;1;1;1;0;0;1;0;0.0625;0.5;0.0026666666666666;16.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-30;Palmeiras;12;1;3;217;680;Ceará;4;3;12;13;4;2;0.45;0.55;379;0.78;19;19;4;3;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0423076923076923;0.2105263157894736;296;0.0641891891891891;657.7777777777777;0.3333333333333333;8.88888888888889;-1;-0.1;1;1;0;0.0316622691292876;0.0833333333333333;0.45;4.0;1;0;1;1;0;0;1;0;0.0833333333333333;0.25;0.0026385224274406;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Palmeiras;10;3;6;217;697;Bahía;1;2;21;11;2;5;0.51;0.49;432;0.84;12;16;1;2;0;0;6;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4;0.0445454545454545;0.0833333333333333;363;0.0330578512396694;711.7647058823529;0.2857142857142857;11.76470588235294;10;0.02;2;-1;-4;0.0486111111111111;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-24;Palmeiras;-1;17;3;217;213;Bolívar;1;0;10;19;6;6;0.23;0.77;165;0.6;7;8;1;0;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;12;0.0405263157894736;0.1428571428571428;99;0.0707070707070707;430.4347826086956;0.3;13.043478260869565;-9;-0.54;-9;1;-1;0.0606060606060606;0.3;0.0766666666666666;1.0;2;1;3;1;0;0;1;0;0.3;0.5;0.0181818181818181;3.333333333333333;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Palmeiras;10;17;17;217;644;Fortaleza;1;1;6;13;4;5;0.47;0.53;361;0.8;13;12;1;1;0;0;2;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;8;0.0407692307692307;0.0769230769230769;289;0.0449826989619377;614.8936170212767;0.3333333333333333;4.25531914893617;-7;-0.06;-6;0;1;0.0166204986149584;0.3333333333333333;0.235;1.0;1;1;2;1;0;0;1;0;0.3333333333333333;0.5;0.0055401662049861;3.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Palmeiras;10;17;3;217;641;Internacional;1;0;12;11;4;2;0.32;0.68;286;0.77;16;15;1;0;0;0;6;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1;0.0618181818181818;0.0625;220;0.0727272727272727;687.5;0.5;18.75;1;-0.36;5;1;1;0.0419580419580419;0.0833333333333333;0.32;6.0;0;1;1;1;0;0;1;0;0.0833333333333333;0.25;0.0034965034965034;12.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Palmeiras;10;17;28;217;652;Corinthians;6;5;13;8;5;1;0.33;0.67;272;0.79;17;18;6;5;0;0;1;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;3;0.08375;0.3529411764705882;215;0.0790697674418604;651.5151515151515;0.0769230769230769;3.0303030303030303;5;-0.34;-2;1;-1;0.0477941176470588;0.1538461538461538;0.165;0.5;2;0;2;1;0;0;0;1;0.1538461538461538;0.4;0.0073529411764705;6.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-09;Palmeiras;-1;17;0;217;199;Cerro;0;2;19;10;7;4;0.57;0.43;473;0.83;9;13;0;2;0;0;8;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;2;0.043;0.0;393;0.0229007633587786;689.4736842105264;0.4210526315789473;14.035087719298248;9;0.1399999999999999;6;-2;-4;0.040169133192389;0.0526315789473684;0.57;8.0;1;0;1;1;0;0;0;1;0.0526315789473684;0.1428571428571428;0.0021141649048625;19.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Palmeiras;10;17;5;217;679;Sport Recife;4;6;7;9;4;2;0.49;0.51;355;0.77;21;17;4;6;0;0;3;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;6;0.0566666666666666;0.1904761904761904;273;0.0769230769230769;557.1428571428571;0.4285714285714285;6.122448979591836;-2;-0.02;-3;-2;4;0.0197183098591549;0.2857142857142857;0.245;1.5;1;1;2;1;0;0;1;0;0.2857142857142857;0.5;0.0056338028169014;3.5;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-03;Palmeiras;-1;6;1;217;-1;Sporting Cristal;3;3;19;14;7;7;0.61;0.39;373;0.83;10;16;3;3;0;0;6;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;7;0.0278571428571428;0.3;310;0.032258064516129;508.1967213114754;0.3157894736842105;9.836065573770492;5;0.2199999999999999;-1;0;-6;0.0509383378016085;0.1578947368421052;0.2033333333333333;2.0;1;2;3;1;0;0;1;0;0.1578947368421052;0.4285714285714285;0.0080428954423592;6.333333333333333;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
