Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Álex Remiro-Real Sociedad;Hamari Traoré-Real Sociedad;Jon Martín-Real Sociedad;Aritz Elustondo-Real Sociedad;Aihen Muñoz-Real Sociedad;Beñat Turrientes-Real Sociedad;Takefusa Kubo-Real Sociedad;Pablo Marín-Real Sociedad;Luka Sučić-Real Sociedad;Sergio Gómez Martín-Real Sociedad;Mikel Oyarzabal-Real Sociedad;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Jon Aramburu-Real Sociedad;Martín Zubimendi-Real Sociedad;Ander Barrenetxea Muguruza-Real Sociedad;Igor Zubeldia-Real Sociedad;Javier López Carballo-Real Sociedad;Jon Ander Olasagasti-Real Sociedad;Nayef Aguerd-Real Sociedad;Orri Óskarsson-Real Sociedad;Brais Méndez-Real Sociedad;Sheraldo Becker-Real Sociedad;Unai Marrero-Real Sociedad;Arsen Zajarián-Real Sociedad;Jon Pacheco-Real Sociedad;Jon Balda-Real Sociedad;Álvaro Odriozola-Real Sociedad;Urko González de Zárate-Real Sociedad;Umar Sadiq-Real Sociedad;Jon Magunazelaia-Real Sociedad;Luken Beitia-Real Sociedad;Kieran Tierney-Real Sociedad;Mikel Merino-Real Sociedad;Javi Galán-Real Sociedad;Robin Le Normand-Real Sociedad;André Silva-Real Sociedad;Alberto Dadie-Real Sociedad;Momo Cho-Real Sociedad;Carlos Fernández Luna-Real Sociedad;Andoni Gorosabel-Real Sociedad;Diego Rico-Real Sociedad;Asier Illarramendi-Real Sociedad;Alexander Sørloth-Real Sociedad;David Silva-Real Sociedad
2025-05-04;Real Sociedad;1;7;3;46;38;Athletic;1;2;12;3;3;1;0.6;0.4;505;0.8;18;13;1;2;0;0;7;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;3;0.1333333333333333;0.0555555555555555;404;0.0445544554455445;673.3333333333334;0.5833333333333334;11.666666666666668;9;0.1999999999999999;4;-1;5;0.0237623762376237;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-23;Real Sociedad;1;7;3;46;45;Alavés;5;3;6;10;0;1;0.63;0.37;474;0.81;17;17;5;3;0;0;6;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;6;0.037;0.2941176470588235;384;0.0442708333333333;609.5238095238095;1.0;9.523809523809524;-4;0.26;0;2;0;0.0126582278481012;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Real Sociedad;1;7;1;46;37;Villarreal;1;4;4;20;4;5;0.42;0.58;381;0.83;12;12;1;4;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10;0.0289999999999999;0.0833333333333333;316;0.0379746835443038;752.3809523809524;1.0;9.523809523809524;-16;-0.1599999999999999;-6;-3;0;0.0104986876640419;0.5;0.21;2.0;1;1;2;0;1;0;1;0;0.5;0.5;0.0052493438320209;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Real Sociedad;1;3;4;46;40;R.C.D. Mallorca;3;1;15;7;4;3;0.66;0.34;520;0.84;11;12;3;1;0;0;8;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2;0.0485714285714285;0.2727272727272727;437;0.0251716247139588;662.1212121212121;0.5333333333333333;12.12121212121212;8;0.32;6;2;-1;0.0288461538461538;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Real Sociedad;1;7;1;46;50;U. D. Las Palmas;2;0;13;13;8;5;0.48;0.52;377;0.8;10;8;2;0;0;0;4;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;5;0.04;0.2;302;0.0331125827814569;629.1666666666667;0.3076923076923077;8.333333333333334;0;-0.04;-1;2;2;0.0344827586206896;0.2307692307692307;0.16;1.3333333333333333;1;2;3;1;0;0;1;0;0.2307692307692307;0.375;0.0079575596816976;4.333333333333333;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Real Sociedad;19;7;3;46;12;Real Madrid;4;1;11;26;5;10;0.41;0.59;496;0.86;23;6;4;1;0;0;6;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;10;0.0226923076923076;0.1739130434782608;427;0.0538641686182669;1041.4634146341464;0.5454545454545454;14.634146341463415;-15;-0.18;-4;3;17;0.0221774193548387;0.3636363636363636;0.1025;1.5;1;3;4;0;1;0;1;0;0.3636363636363636;0.8;0.0080645161290322;2.75;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Real Sociedad;1;7;3;46;51;Valladolid;2;3;12;12;2;5;0.56;0.44;471;0.87;20;10;2;3;0;0;3;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;6;0.0366666666666666;0.1;410;0.048780487804878;732.1428571428571;0.25;5.357142857142857;0;0.12;-3;-1;10;0.0254777070063694;0.1666666666666666;0.28;1.5;1;1;2;1;0;0;0;1;0.1666666666666666;1.0;0.0042462845010615;6.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Real Sociedad;1;7;3;46;42;Rayo Vallecano;2;3;8;10;4;5;0.44;0.56;362;0.74;9;16;2;3;0;0;4;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;4;0.056;0.2222222222222222;268;0.0335820895522388;609.0909090909091;0.5;9.090909090909092;-2;-0.12;0;-1;-7;0.0220994475138121;0.25;0.22;2.0;1;1;2;0;1;0;1;0;0.25;0.5;0.005524861878453;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Real Sociedad;5;0;17;46;62;Manchester United;8;2;8;25;3;10;0.4;0.6;325;0.75;13;6;7;2;1;0;4;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;6;0.024;0.6153846153846154;244;0.0532786885245901;610.0;0.5;10.0;-17;-0.1999999999999999;-2;6;7;0.0246153846153846;0.125;0.4;4.0;1;0;1;0;0;1;1;0;0.125;0.3333333333333333;0.003076923076923;8.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Real Sociedad;1;7;3;46;43;Sevilla;2;1;7;9;2;4;0.62;0.38;526;0.83;14;12;2;1;0;0;6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;3;0.0422222222222222;0.1428571428571428;437;0.0320366132723112;704.8387096774194;0.8571428571428571;9.67741935483871;-2;0.24;3;1;2;0.0133079847908745;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Real Sociedad;5;0;6;46;62;Manchester United;1;1;13;13;3;5;0.55;0.45;446;0.82;11;13;1;1;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2;0.0346153846153846;0.0909090909090909;366;0.0300546448087431;665.4545454545454;0.4615384615384615;10.909090909090908;0;0.1;4;0;-2;0.0291479820627802;0.0769230769230769;0.55;6.0;0;1;1;0;1;0;0;1;0.0769230769230769;0.3333333333333333;0.0022421524663677;13.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Real Sociedad;1;7;7;46;10;Barcelona;1;0;0;33;0;10;0.23;0.77;228;0.71;6;15;0;0;1;0;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;12;0.0233333333333333;0.1666666666666666;162;0.037037037037037;704.3478260869565;0.0;0.0;-33;-0.54;-12;1;-9;0.0;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Real Sociedad;19;7;1;46;12;Real Madrid;0;2;11;14;6;5;0.52;0.48;450;0.86;17;9;0;2;0;0;8;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;8;0.0342857142857142;0.0;387;0.0439276485788113;744.2307692307692;0.7272727272727273;15.384615384615383;-3;0.04;0;-2;8;0.0244444444444444;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Real Sociedad;1;7;4;46;47;Leganés;3;3;12;8;5;2;0.56;0.44;469;0.83;13;13;3;3;0;0;3;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;3;0.055;0.2307692307692307;389;0.0334190231362467;694.6428571428571;0.25;5.357142857142857;4;0.12;0;0;0;0.0255863539445629;0.25;0.1866666666666666;1.0;1;2;3;1;0;0;0;1;0.25;0.6;0.0063965884861407;4.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-20;Real Sociedad;5;0;0;46;88;Midtjylland;1;3;22;8;10;3;0.53;0.47;326;0.8;18;11;1;2;0;1;7;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;6;0.05875;0.0555555555555555;261;0.0689655172413793;492.4528301886792;0.3181818181818182;13.20754716981132;14;0.06;1;-2;7;0.0674846625766871;0.2272727272727272;0.106;1.4;3;2;5;1;0;0;0;1;0.2272727272727272;0.5;0.0153374233128834;4.4;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Real Sociedad;1;1;3;46;39;Betis;4;0;5;24;1;8;0.31;0.69;265;0.66;15;9;2;0;2;0;5;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;5;0.0287499999999999;0.2666666666666666;175;0.0857142857142857;564.516129032258;1.0;16.129032258064516;-19;-0.3799999999999999;0;4;6;0.0188679245283018;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-13;Real Sociedad;5;3;0;46;88;Midtjylland;4;3;9;13;3;3;0.39;0.61;294;0.67;22;16;4;3;0;0;3;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;8;0.0469230769230769;0.1818181818181818;197;0.1116751269035533;505.12820512820514;0.3333333333333333;7.692307692307692;-4;-0.2199999999999999;-5;1;6;0.0306122448979591;0.2222222222222222;0.195;1.5;2;0;2;1;0;0;1;0;0.2222222222222222;0.6666666666666666;0.0068027210884353;4.5;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Real Sociedad;1;0;1;46;49;RCD Espanyol;1;2;13;4;3;1;0.7;0.3;553;0.83;11;17;1;2;0;0;6;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0;0.075;0.0909090909090909;459;0.0239651416122004;655.7142857142858;0.4615384615384615;8.571428571428571;9;0.3999999999999999;6;-1;-6;0.023508137432188;0.1538461538461538;0.35;3.0;1;1;2;1;0;0;0;1;0.1538461538461538;0.6666666666666666;0.0036166365280289;6.5;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-06;Real Sociedad;19;7;3;46;41;Osasuna;3;5;11;9;4;3;0.57;0.43;385;0.82;19;12;3;4;0;1;9;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;4;0.0477777777777777;0.1578947368421052;316;0.060126582278481;554.3859649122808;0.8181818181818182;15.789473684210527;2;0.1399999999999999;5;-2;7;0.0285714285714285;0.1818181818181818;0.285;4.5;2;0;2;1;0;0;0;1;0.1818181818181818;0.5;0.0051948051948051;5.5;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Real Sociedad;1;7;0;46;41;Osasuna;3;3;13;11;3;4;0.63;0.37;533;0.84;8;10;3;3;0;0;5;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;3;0.0336363636363636;0.375;448;0.0178571428571428;711.1111111111111;0.3846153846153846;7.936507936507937;2;0.26;2;0;-2;0.024390243902439;0.0769230769230769;0.63;5.0;0;1;1;0;0;1;1;0;0.0769230769230769;0.3333333333333333;0.0018761726078799;13.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-30;Real Sociedad;5;1;3;46;107;PAOK;2;2;16;12;7;4;0.55;0.45;586;0.88;12;8;2;2;0;0;4;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;4;0.0375;0.1666666666666666;516;0.0232558139534883;938.181818181818;0.25;7.272727272727272;4;0.1;0;0;4;0.0273037542662116;0.125;0.275;2.0;1;1;2;1;0;0;0;1;0.125;0.2857142857142857;0.0034129692832764;8.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Real Sociedad;1;7;1;46;48;Getafe;3;6;13;13;4;4;0.57;0.43;366;0.65;11;15;3;6;0;0;5;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;2;0.033076923076923;0.2727272727272727;238;0.0462184873949579;417.5438596491229;0.3846153846153846;8.771929824561404;0;0.1399999999999999;3;-3;-4;0.0355191256830601;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
