Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Nikola Vasilj-St. Pauli;David Nemeth-St. Pauli;Hauke Wahl-St. Pauli;Siebe Van der Heyden-St. Pauli;Manolis Saliakas-St. Pauli;Carlo Boukhalfa-St. Pauli;Eric Smith-St. Pauli;Philipp Treu-St. Pauli;Morgan Guilavogui-St. Pauli;Danel Sinani-St. Pauli;Noah Weißhaupt-St. Pauli;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Connor Metcalfe-St. Pauli;Adam Dźwigała-St. Pauli;Jackson Irvine-St. Pauli;Oladapo Afolayan-St. Pauli;Elias Saad-St. Pauli;Lars Ritzka-St. Pauli;Johannes Eggestein-St. Pauli;James Sands-St. Pauli;Karol Mets-St. Pauli;Robert Wagner-St. Pauli;Fin Stevens-St. Pauli;Aljoscha Kemlein-St. Pauli;Marcel Hartel-St. Pauli;Sascha Burchert-St. Pauli;Etienne Amenyido-St. Pauli;Simon Zoller-St. Pauli;Andreas Albers-St. Pauli;Jakov Medić-St. Pauli;Leart Paqarada-St. Pauli;Lukas Daschner-St. Pauli;Aremu Afeez-St. Pauli;Betim Fazliji-St. Pauli;Jannes Wieckhoff-St. Pauli;David Otto-St. Pauli;Marcel Beifus-St. Pauli;Igor Matanović-St. Pauli;Dennis Smarsch-St. Pauli
2025-05-03;St. Pauli;9;6;3;176;18;Stuttgart;4;3;6;21;1;8;0.3;0.7;263;0.74;17;12;2;3;2;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0333333333333333;0.2352941176470588;195;0.0871794871794871;650.0;0.6666666666666666;13.333333333333334;-15;-0.3999999999999999;0;1;5;0.0228136882129277;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;St. Pauli;9;17;17;176;171;Werder Bremen;2;2;10;11;4;2;0.49;0.51;465;0.83;16;9;1;2;1;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0463636363636363;0.125;386;0.0414507772020725;787.7551020408164;0.3;6.122448979591836;-1;-0.02;2;0;7;0.021505376344086;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;St. Pauli;9;6;17;176;6;Leverkusen;1;4;10;6;5;4;0.42;0.58;427;0.81;12;12;1;4;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;4;0.0966666666666666;0.0833333333333333;346;0.0346820809248554;823.8095238095239;0.4;9.523809523809524;4;-0.1599999999999999;0;-3;0;0.0234192037470726;0.1;0.42;4.0;0;1;1;0;1;0;0;1;0.1;0.2;0.0023419203747072;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;St. Pauli;9;17;29;176;177;KSV Holstein;4;3;14;6;6;2;0.47;0.53;386;0.83;11;15;4;3;0;0;3;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;3;0.0883333333333333;0.3636363636363636;320;0.034375;680.8510638297872;0.2142857142857142;6.382978723404256;8;-0.06;0;1;-4;0.0362694300518134;0.1428571428571428;0.235;1.5;1;1;2;1;0;0;1;0;0.1428571428571428;0.3333333333333333;0.005181347150259;7.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;St. Pauli;9;29;3;176;172;Mönchengladbach;0;2;26;5;9;3;0.64;0.36;549;0.85;6;13;0;2;0;0;11;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;2;0.072;0.0;467;0.012847965738758;729.6875;0.4230769230769231;17.1875;21;0.28;9;-2;-7;0.0473588342440801;0.0384615384615384;0.64;11.0;0;1;1;0;1;0;0;1;0.0384615384615384;0.1111111111111111;0.0018214936247723;26.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;St. Pauli;9;29;3;176;23;Bayern;0;3;10;19;4;9;0.34;0.66;352;0.78;4;13;0;3;0;0;4;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;5;0.0347368421052631;0.0;275;0.0145454545454545;808.8235294117646;0.4;11.76470588235294;-9;-0.32;-1;-3;-9;0.0284090909090909;0.2;0.17;2.0;1;1;2;0;0;1;1;0;0.2;0.5;0.0056818181818181;5.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-14;St. Pauli;9;29;3;176;97;Hoffenheim;0;1;10;4;5;0;0.43;0.57;369;0.73;6;8;0;1;0;0;11;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;2;0.1425;0.0;269;0.0223048327137546;625.5813953488372;1.1;25.58139534883721;6;-0.1399999999999999;9;-1;-2;0.02710027100271;0.1;0.43;11.0;0;1;1;1;0;0;0;1;0.1;0.2;0.002710027100271;10.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;St. Pauli;9;29;3;176;175;Wolfsburg;0;1;14;16;4;4;0.42;0.58;348;0.75;13;11;0;1;0;0;6;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;6;0.03625;0.0;261;0.0498084291187739;621.4285714285714;0.4285714285714285;14.285714285714286;-2;-0.1599999999999999;0;-1;2;0.0402298850574712;0.0714285714285714;0.42;6.0;1;0;1;0;1;0;1;0;0.0714285714285714;0.25;0.0028735632183908;14.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;St. Pauli;9;6;3;176;11;Dortmund;1;2;7;14;1;3;0.43;0.57;407;0.79;11;13;1;2;0;0;7;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1;0.0407142857142857;0.0909090909090909;322;0.0341614906832298;748.8372093023256;1.0;16.27906976744186;-7;-0.1399999999999999;6;-1;-2;0.0171990171990172;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;St. Pauli;9;17;29;176;174;Mainz 05;3;3;12;10;0;5;0.47;0.53;373;0.79;10;9;3;3;0;0;5;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;6;0.053;0.3;295;0.0338983050847457;627.6595744680851;0.4166666666666667;10.638297872340424;2;-0.06;-1;0;1;0.032171581769437;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
