Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marco Bizot-Stade Brestois;Kenny Lala-Stade Brestois;Edimilson Fernandes-Stade Brestois;Abdoulaye Ndiaye-Stade Brestois;Massadio Haïdara-Stade Brestois;Mahdi Camara-Stade Brestois;Hugo Magnetti-Stade Brestois;Kamory Doumbia-Stade Brestois;Romain Del Castillo-Stade Brestois;Ludovic Ajorque-Stade Brestois;Mathias Pereira Lage-Stade Brestois;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Brendan Chardonnet-Stade Brestois;Pierre Lees-Melou-Stade Brestois;Grégoire Coudert-Stade Brestois;Julien Le Cardinal-Stade Brestois;Abdallah Sima-Stade Brestois;Justin Bourgault-Stade Brestois;Mama Baldé-Stade Brestois;Romain Faivre-Stade Brestois;Luck Zogbé-Stade Brestois;Soumaïla Coulibaly-Stade Brestois;Ibrahim Salah-Stade Brestois;Jordan Amavi-Stade Brestois;Jonas Martin-Stade Brestois;Jérémy Le Douaron-Stade Brestois;Lilian Brassier-Stade Brestois;Steve Mounié-Stade Brestois;Martín Satriano-Stade Brestois;Bradley Locko-Stade Brestois;Billal Brahimi-Stade Brestois;Achraf Dari-Stade Brestois;Jean-Kévin Duverne-Stade Brestois;Haris Belkebla-Stade Brestois;Franck Honorat-Stade Brestois;Félix Lemaréchal-Stade Brestois;Noah Fadiga-Stade Brestois;Taïryk Arconte-Stade Brestois;Christophe Hérelle-Stade Brestois;Alberth Elis-Stade Brestois;Joaquín Blázquez-Stade Brestois;Islam Slimani-Stade Brestois;Karamoko Dembélé-Stade Brestois;Jere Uronen-Stade Brestois
2025-05-10;Stade Brestois;2;0;1;5;15;LOSC;1;1;12;18;4;2;0.38;0.62;389;0.77;6;14;1;1;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.0344444444444444;0.1666666666666666;300;0.02;789.4736842105264;0.25;7.894736842105263;-6;-0.24;-4;0;-8;0.0308483290488431;0.1666666666666666;0.19;1.5;1;1;2;1;0;0;0;1;0.1666666666666666;0.5;0.0051413881748071;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Stade Brestois;2;0;9;5;775;Montpellier;1;2;16;6;5;1;0.64;0.36;636;0.88;14;18;1;2;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;6;0.06;0.0714285714285714;560;0.025;875.0;0.25;6.25;10;0.28;-2;-1;-4;0.0251572327044025;0.0625;0.64;4.0;1;0;1;1;0;0;0;1;0.0625;0.2;0.0015723270440251;16.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Stade Brestois;2;3;3;5;764;Marsella;4;1;9;11;4;6;0.45;0.55;417;0.84;16;14;4;1;0;0;3;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;4;0.05;0.25;350;0.0457142857142857;777.7777777777777;0.3333333333333333;6.666666666666666;-2;-0.1;-1;3;2;0.0215827338129496;0.1111111111111111;0.45;3.0;1;0;1;0;0;1;1;0;0.1111111111111111;0.25;0.0023980815347721;9.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Stade Brestois;2;0;17;5;765;Lens;1;0;11;17;5;9;0.44;0.56;385;0.82;11;11;0;0;1;0;7;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;6;0.0329411764705882;0.0909090909090909;316;0.0348101265822784;718.1818181818181;0.6363636363636364;15.909090909090908;-6;-0.12;1;1;0;0.0285714285714285;0.0909090909090909;0.44;7.0;1;0;1;0;0;1;0;1;0.0909090909090909;0.2;0.0025974025974025;11.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Stade Brestois;2;3;0;5;773;Saint-Étienne;4;2;13;9;6;4;0.39;0.61;307;0.79;18;21;4;2;0;0;9;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;7;0.0677777777777777;0.2222222222222222;243;0.074074074074074;623.0769230769231;0.6923076923076923;23.07692307692308;4;-0.2199999999999999;2;2;-3;0.0423452768729641;0.2307692307692307;0.13;3.0;3;0;3;0;1;0;1;0;0.2307692307692307;0.5;0.009771986970684;4.333333333333333;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Stade Brestois;2;0;1;5;4;Mónaco;3;3;13;10;5;3;0.4;0.6;347;0.73;13;16;3;3;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;9;0.06;0.2307692307692307;253;0.0513833992094861;632.5;0.1538461538461538;5.0;3;-0.1999999999999999;-7;0;-3;0.0374639769452449;0.1538461538461538;0.2;1.0;1;1;2;1;0;0;0;1;0.1538461538461538;0.4;0.0057636887608069;6.5;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Stade Brestois;2;0;17;5;772;Toulouse;5;0;10;17;5;4;0.47;0.53;393;0.78;18;10;5;0;0;0;3;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;10;0.0311764705882352;0.2777777777777778;307;0.0586319218241042;653.1914893617021;0.3;6.382978723404256;-7;-0.06;-7;5;8;0.0254452926208651;0.4;0.1175;0.75;2;2;4;1;0;0;1;0;0.4;0.8;0.010178117048346;2.5;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Stade Brestois;2;0;5;5;766;Reims;2;3;11;12;0;2;0.72;0.28;649;0.86;9;13;1;3;1;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;4;0.0233333333333333;0.2222222222222222;558;0.0161290322580645;775.0;0.3636363636363636;5.555555555555555;-1;0.4399999999999999;0;-1;-4;0.0169491525423728;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Stade Brestois;2;8;3;5;771;Angers;1;1;19;7;7;1;0.51;0.49;423;0.84;14;8;1;1;0;0;6;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;6;0.0699999999999999;0.0714285714285714;355;0.0394366197183098;696.0784313725491;0.3157894736842105;11.76470588235294;12;0.02;0;0;6;0.0449172576832151;0.1052631578947368;0.255;3.0;1;1;2;1;0;0;0;1;0.1052631578947368;0.2857142857142857;0.0047281323877068;9.5;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Stade Brestois;2;8;3;5;90;Lyon;1;2;15;10;5;4;0.34;0.66;303;0.75;12;16;1;2;0;0;5;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;2;0.066;0.0833333333333333;227;0.052863436123348;667.6470588235294;0.3333333333333333;14.705882352941176;5;-0.32;3;-1;-4;0.0495049504950495;0.0666666666666666;0.34;5.0;1;0;1;0;0;1;1;0;0.0666666666666666;0.2;0.0033003300330033;15.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
