Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Alphonse Aréola-West Ham;Jean-Clair Todibo-West Ham;Max Kilman-West Ham;Aaron Cresswell-West Ham;Aaron Wan-Bissaka-West Ham;Tomáš Souček-West Ham;Lucas Paquetá-West Ham;Emerson Palmieri-West Ham;Jarrod Bowen-West Ham;Mohammed Kudus-West Ham;Niclas Füllkrug-West Ham;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Konstantinos Mavropanos-West Ham;James Ward-Prowse-West Ham;Vladimír Coufal-West Ham;Carlos Soler-West Ham;Oliver Scarles-West Ham;Edson Álvarez-West Ham;Luis Guilherme-West Ham;Evan Ferguson-West Ham;Andy Irving-West Ham;Łukasz Fabiański-West Ham;Guido Rodríguez-West Ham;Crysencio Summerville-West Ham;Danny Ings-West Ham;Michail Antonio-West Ham;Freddie Potts-West Ham;Kurt Zouma-West Ham;Angelo Ogbonna-West Ham;Nayef Aguerd-West Ham;Kalvin Phillips-West Ham;Ben Johnson-West Ham;Maxwel Cornet-West Ham;Pablo Fornals-West Ham;Saïd Benrahma-West Ham;Divin Mubama-West Ham;Thilo Kehrer-West Ham;Levi Laing-West Ham;Flynn Downes-West Ham;Declan Rice-West Ham;Manuel Lanzini-West Ham;Gianluca Scamacca-West Ham
2025-05-11;West Ham;3;29;17;61;62;Manchester United;1;0;9;20;4;5;0.47;0.53;473;0.85;13;3;1;0;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;8;0.0265;0.0769230769230769;402;0.0323383084577114;855.3191489361702;0.5555555555555556;10.638297872340424;-11;-0.06;-3;1;10;0.0190274841437632;0.2222222222222222;0.235;2.5;1;1;2;1;0;0;1;0;0.2222222222222222;0.5;0.0042283298097251;4.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;West Ham;3;17;0;61;56;Tottenham;2;2;11;7;2;2;0.56;0.44;445;0.73;18;15;2;2;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0628571428571428;0.1111111111111111;325;0.0553846153846153;580.3571428571428;0.0909090909090909;1.7857142857142856;4;0.12;-2;0;3;0.0247191011235955;0.0909090909090909;0.56;1.0;1;0;1;0;1;0;0;1;0.0909090909090909;0.5;0.0022471910112359;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;West Ham;3;2;3;61;54;Brighton;1;2;12;16;4;9;0.47;0.53;469;0.88;9;7;1;2;0;0;1;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;8;0.033125;0.1111111111111111;413;0.0217917675544794;878.7234042553192;0.0833333333333333;2.127659574468085;-4;-0.06;-7;-1;2;0.0255863539445629;0.1666666666666666;0.235;0.5;0;2;2;0;0;1;1;0;0.1666666666666666;0.5;0.0042643923240938;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;West Ham;3;3;17;61;68;Southampton;2;1;12;15;4;4;0.52;0.48;496;0.9;14;13;2;1;0;0;2;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;5;0.032;0.1428571428571428;446;0.0313901345291479;857.6923076923076;0.1666666666666666;3.846153846153846;-3;0.04;-3;1;1;0.0241935483870967;0.0833333333333333;0.52;2.0;0;1;1;0;1;0;0;1;0.0833333333333333;0.25;0.002016129032258;12.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;West Ham;3;2;3;61;2;Liverpool;2;0;11;15;4;6;0.44;0.56;407;0.85;8;15;2;0;0;0;3;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;10;0.0373333333333333;0.25;346;0.0231213872832369;786.3636363636364;0.2727272727272727;6.818181818181818;-4;-0.12;-7;2;-7;0.027027027027027;0.0909090909090909;0.44;3.0;0;1;1;0;0;1;1;0;0.0909090909090909;0.25;0.0024570024570024;11.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;West Ham;3;3;3;61;59;Bournemouth;2;2;9;11;3;4;0.56;0.44;470;0.79;13;13;2;2;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;7;0.04;0.1538461538461538;371;0.0350404312668463;662.4999999999999;0.4444444444444444;7.142857142857142;-2;0.12;-3;0;0;0.0191489361702127;0.2222222222222222;0.28;2.0;0;2;2;0;1;0;0;1;0.2222222222222222;0.6666666666666666;0.0042553191489361;4.5;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;West Ham;3;17;17;61;67;Wolves;2;4;10;9;1;2;0.59;0.41;572;0.85;12;16;2;4;0;0;2;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1;0.0455555555555555;0.1666666666666666;486;0.0246913580246913;823.7288135593221;0.2;3.389830508474577;1;0.18;1;-2;-4;0.0174825174825174;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;West Ham;3;2;3;61;64;Everton;2;1;10;13;5;5;0.46;0.54;430;0.8;8;12;2;1;0;0;5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;6;0.0415384615384615;0.25;344;0.0232558139534883;747.8260869565217;0.5;10.869565217391305;-3;-0.08;-1;1;-4;0.0232558139534883;0.1;0.46;5.0;0;1;1;0;1;0;1;0;0.1;0.2;0.0023255813953488;10.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-10;West Ham;3;2;0;61;60;Newcastle;0;1;9;9;2;3;0.52;0.48;461;0.8;7;15;0;1;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;4;0.0533333333333333;0.0;369;0.018970189701897;709.6153846153846;0.3333333333333333;5.769230769230769;0;0.04;-1;-1;-8;0.0195227765726681;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-27;West Ham;3;2;3;61;63;Leicester City;0;0;8;10;2;2;0.58;0.42;647;0.89;12;6;0;0;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;3;0.0419999999999999;0.0;576;0.0208333333333333;993.103448275862;0.375;5.172413793103448;-2;0.1599999999999999;0;0;6;0.0123647604327666;0.25;0.29;1.5;2;0;2;1;0;0;0;1;0.25;1.0;0.0030911901081916;4.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
